Name,Id,JobName,Job1,Job2,Job3,Job4,Job5,Job6,Job7,Job8,Job9,Job10,StlKey,DisplayName
job_55,55,Musician Second Job,521,522,0,0,0,0,0,0,0,0,LCLA076,Musician Second Job
job_56,56,Soldier Third Job,621,622,623,624,0,0,0,0,0,0,LCLA056,Soldier Third Job
job_57,57,Muse Third Job,721,722,723,724,0,0,0,0,0,0,LCLA057,Muse Third Job
job_58,58,Hawker Third Job,821,822,823,824,0,0,0,0,0,0,LCLA058,Hawker Third Job
job_59,59,Dealer Third Job,921,922,923,924,0,0,0,0,0,0,LCLA059,Dealer Third Job
job_60,60,Musician Third Job,996,997,998,999,0,0,0,0,0,0,LCLA079,Musician Third Job
job_61,61,Knight Class,121,623,624,0,0,0,0,0,0,0,LCLA061,Knight Class
job_62,62,Champ Class,122,621,622,0,0,0,0,0,0,0,LCLA062,Champ Class
job_63,63,Magician Class,221,721,722,0,0,0,0,0,0,0,LCLA063,Magician Class
job_64,64,Cleric Class,222,723,724,0,0,0,0,0,0,0,LCLA064,Cleric Class
job_65,65,Raider Class,321,821,822,0,0,0,0,0,0,0,LCLA065,Raider Class
job_66,66,Scouter Class,322,823,824,0,0,0,0,0,0,0,LCLA066,Scouter Class
job_67,67,Bourgeois Class,421,921,922,0,0,0,0,0,0,0,LCLA067,Bourgeois Class
job_68,68,Artisan Class,422,923,924,0,0,0,0,0,0,0,LCLA068,Artisan Class
job_69,69,Bard Class,511,521,996,997,0,0,0,0,0,0,LCLA111,Dancer Class
job_70,70,Dancer Class,511,522,998,999,0,0,0,0,0,0,LCLA110,Bard Class
job_71,71,Soldier and Hawker Class,111,121,122,621,622,311,321,322,623,624,LCLA071,Soldier and Hawker Class
job_72,72,Soldier and Hawker Class,821,822,823,824,0,0,0,0,0,0,LCLA071,Soldier and Hawker Class
job_73,73,Non-Muse,121,122,321,322,421,422,0,0,0,0,LCLA072,Non-Muse
