Name,Id,Type,Defense,MagicResist,IconIdx,Quality,BasePrice,PriceRate,HairSettingF,HairSettingM,ReqStat1,ReqAmount1,ReqStat2,ReqAmount2,BonusStat1,BonusAmount1,BonusStat2,BonusAmount2,Durability,Weight,FieldItemId,MeshFemale,MeshMale,StlKey,DisplayName,Description
cap_20,20,124,140,110,5480,20,1800,0,LCAP020,2,,,,,11,30,22,50,120,2,243,/Game/Characters/Modular/Female/cap_20/cap_20/SkeletalMeshes/cap_20,/Game/Characters/Modular/Male/cap_20/cap_20/SkeletalMeshes/cap_20,LCAP020,Big Devil Horn,
cap_21,21,121,140,110,5633,20,1800,0,LCAP021,2,,,,,10,30,19,50,120,2,243,/Game/Characters/Modular/Female/cap_21/cap_21/SkeletalMeshes/cap_21,/Game/Characters/Modular/Male/cap_21/cap_21/SkeletalMeshes/cap_21,LCAP021,Spartan Helmet,
cap_22,22,124,140,110,5604,20,1800,0,LCAP022,2,,,,,11,30,22,50,120,2,243,/Game/Characters/Modular/Female/cap_22/cap_22/SkeletalMeshes/cap_22,/Game/Characters/Modular/Male/cap_22/cap_22/SkeletalMeshes/cap_22,LCAP022,Itachi Hat,
cap_23,23,123,140,110,5595,100,1000,0,LCAP023,4,,,,,11,30,22,50,120,2,243,/Game/Characters/Modular/Female/cap_23/cap_23/SkeletalMeshes/cap_23,/Game/Characters/Modular/Male/cap_23/cap_23/SkeletalMeshes/cap_23,LCAP023,Hawker Evo Hat,
cap_25,25,121,115,113,6292,75,270000,0,LCAP025,4,31,255,,,18,30,10,30,125,10,227,/Game/Characters/Modular/Female/cap_25/cap_25/SkeletalMeshes/cap_25,/Game/Characters/Modular/Male/cap_25/cap_25/SkeletalMeshes/cap_25,LCAP025,Aurum Plate Helm,x
cap_26,26,122,137,119,6293,75,270000,0,LCAP026,0,31,255,,,18,30,12,30,125,2,235,/Game/Characters/Modular/Female/cap_26/cap_26/SkeletalMeshes/cap_26,/Game/Characters/Modular/Male/cap_26/cap_26/SkeletalMeshes/cap_26,LCAP026,Orlean Bonnet,x
cap_27,27,123,148,119,6294,75,290000,0,LCAP027,4,31,255,,,18,30,11,30,125,2,231,/Game/Characters/Modular/Female/cap_27/cap_27/SkeletalMeshes/cap_27,/Game/Characters/Modular/Male/cap_27/cap_27/SkeletalMeshes/cap_27,LCAP027,Raptor Head,x
cap_28,28,123,148,122,6295,75,295000,0,LCAP028,0,31,255,,,18,30,13,30,125,2,239,/Game/Characters/Modular/Female/cap_28/cap_28/SkeletalMeshes/cap_28,/Game/Characters/Modular/Male/cap_28/cap_28/SkeletalMeshes/cap_28,LCAP028,Mercenary Goggles,x
cap_31,31,121,8,2,117,13,1100,0,LCAP031,2,31,10,,,,,,,34,10,227,/Game/Characters/Modular/Female/cap_31/cap_31/SkeletalMeshes/cap_31,/Game/Characters/Modular/Male/cap_31/cap_31/SkeletalMeshes/cap_31,LCAP031,Soldier Helm,A basic helm for Soldiers.
cap_32,32,121,11,3,118,18,2400,0,LCAP032,2,31,30,,,,,,,36,10,227,/Game/Characters/Modular/Female/cap_32/cap_32/SkeletalMeshes/cap_32,/Game/Characters/Modular/Male/cap_32/cap_32/SkeletalMeshes/cap_32,LCAP032,Iron Helm,A blue helm with a giant horn on each side.
cap_33,33,121,15,5,119,24,5400,0,LCAP033,2,31,50,,,,,,,38,10,227,/Game/Characters/Modular/Female/cap_33/cap_33/SkeletalMeshes/cap_33,/Game/Characters/Modular/Male/cap_33/cap_33/SkeletalMeshes/cap_33,LCAP033,Trunket Helm,A helm that is very efficient in protecting its wearer???s head from great impact because of its heavy weight.
cap_34,34,121,20,8,120,29,11150,0,LCAP034,2,31,70,,,,,,,41,10,227,/Game/Characters/Modular/Female/cap_34/cap_34/SkeletalMeshes/cap_34,/Game/Characters/Modular/Male/cap_34/cap_34/SkeletalMeshes/cap_34,LCAP034,Chrome Helm,"A light, yet surprisingly sturdy helm forged out of a rare metal."
cap_35,35,121,25,10,121,34,19600,0,LCAP035,2,31,88,,,,,,,43,10,227,/Game/Characters/Modular/Female/cap_35/cap_35/SkeletalMeshes/cap_35,/Game/Characters/Modular/Male/cap_35/cap_35/SkeletalMeshes/cap_35,LCAP035,Mighty Helm,"A lightweight, yet stout helm which efficiently protects its wearer from great impact."
cap_36,36,121,29,12,122,38,29250,0,LCAP036,4,31,104,,,,,,,45,10,227,/Game/Characters/Modular/Female/cap_36/cap_36/SkeletalMeshes/cap_36,/Game/Characters/Modular/Male/cap_36/cap_36/SkeletalMeshes/cap_36,LCAP036,Kurash Helm,"A powerful, ornate helm which intimidates opponents."
cap_37,37,121,34,15,123,42,44500,0,LCAP037,2,31,120,,,,,,,47,10,227,/Game/Characters/Modular/Female/cap_37/cap_37/SkeletalMeshes/cap_37,/Game/Characters/Modular/Male/cap_37/cap_37/SkeletalMeshes/cap_37,LCAP037,Plate Helm,"The best helm: beautifully designed, and has great defense."
cap_38,38,121,45,20,124,51,68310,0,LCAP038,0,31,145,,,,,,,51,10,227,/Game/Characters/Modular/Female/cap_38/cap_38/SkeletalMeshes/cap_38,/Game/Characters/Modular/Male/cap_38/cap_38/SkeletalMeshes/cap_38,LCAP038,Durable Band,A tough handband known for its reliable durability.
cap_39,39,121,53,24,125,56,90045,0,LCAP039,0,31,155,,,,,,,54,10,227,/Game/Characters/Modular/Female/cap_39/cap_39/SkeletalMeshes/cap_39,/Game/Characters/Modular/Male/cap_39/cap_39/SkeletalMeshes/cap_39,LCAP039,Cedric Band,A very useful band designed by a famous swordsman.
cap_40,40,121,58,28,126,59,138000,0,LCAP040,0,31,165,,,,,,,57,10,227,/Game/Characters/Modular/Female/cap_40/cap_40/SkeletalMeshes/cap_40,/Game/Characters/Modular/Male/cap_40/cap_40/SkeletalMeshes/cap_40,LCAP040,Execution Band,A handband worn by warriors in battle against mobs of villains.
cap_41,41,121,62,32,127,65,194650,0,LCAP041,4,31,175,,,,,,,60,10,227,/Game/Characters/Modular/Female/cap_41/cap_41/SkeletalMeshes/cap_41,/Game/Characters/Modular/Male/cap_41/cap_41/SkeletalMeshes/cap_41,LCAP041,Abyss Plate Helm,A helm forged of a mysterious metal discovered at the bottom of an abyss.
cap_42,42,121,67,35,128,70,234650,0,LCAP042,4,31,185,,,,,,,65,10,227,/Game/Characters/Modular/Female/cap_42/cap_42/SkeletalMeshes/cap_42,/Game/Characters/Modular/Male/cap_42/cap_42/SkeletalMeshes/cap_42,LCAP042,Righteous Plate Helm,A helm worn by heroes whose hearts understand the true meaning of justice.
cap_43,43,121,75,37,130,75,250000,0,LCAP043,4,31,200,,,20,10,10,10,68,10,227,/Game/Characters/Modular/Female/cap_43/cap_43/SkeletalMeshes/cap_43,/Game/Characters/Modular/Male/cap_43/cap_43/SkeletalMeshes/cap_43,LCAP043,Jabberwock Helm,A helm that shimmers freakily like the eyes of a madman.
cap_44,44,0,0,0,0,0,0,0,,,,,,,,,,,,,0,/Game/Characters/Modular/Female/cap_44/cap_44/SkeletalMeshes/cap_44,/Game/Characters/Modular/Male/cap_44/cap_44/SkeletalMeshes/cap_44,,,
cap_45,45,121,80,38,130,78,270000,0,LCAP045,4,31,205,,,20,10,10,10,72,10,227,/Game/Characters/Modular/Female/cap_45/cap_45/SkeletalMeshes/cap_45,/Game/Characters/Modular/Male/cap_45/cap_45/SkeletalMeshes/cap_45,LCAP045,Brave Jabberwock Helm,You entered deep into the depths of Prison and claimed this helm.
cap_46,46,0,0,0,0,0,0,0,,,,,,,,,,,,,0,/Game/Characters/Modular/Female/cap_46/cap_46/SkeletalMeshes/cap_46,/Game/Characters/Modular/Male/cap_46/cap_46/SkeletalMeshes/cap_46,,,
cap_47,47,0,0,0,0,0,0,0,,,,,,,,,,,,,0,/Game/Characters/Modular/Female/cap_47/cap_47/SkeletalMeshes/cap_47,/Game/Characters/Modular/Male/cap_47/cap_47/SkeletalMeshes/cap_47,,,
cap_48,48,121,215,213,5239,78,270000,0,LCAP048,4,31,255,,,10,45,20,100,125,10,227,/Game/Characters/Modular/Female/cap_48/cap_48/SkeletalMeshes/cap_48,/Game/Characters/Modular/Male/cap_48/cap_48/SkeletalMeshes/cap_48,LCAP048,Crusader's Pallid Helmet,Hat Exclusive for ETC iROSE
cap_49,49,121,215,213,5240,78,270000,0,LCAP049,4,31,255,,,10,45,18,100,125,10,227,/Game/Characters/Modular/Female/cap_49/cap_49/SkeletalMeshes/cap_49,/Game/Characters/Modular/Male/cap_49/cap_49/SkeletalMeshes/cap_49,LCAP049,Demon's Viking Helmet,Hat Exclusive for ETC iROSE
cap_50,50,123,21,12,3436,49,52841,0,LCAP050,2,31,90,,,20,19,,,51,3,243,/Game/Characters/Modular/Female/cap_50/cap_50/SkeletalMeshes/cap_50,/Game/Characters/Modular/Male/cap_50/cap_50/SkeletalMeshes/cap_50,LCAP050,Dariem Beret,A fashionable yet common beret.
cap_51,51,123,25,15,3437,51,64240,0,LCAP051,2,31,100,,,20,21,,,53,3,243,/Game/Characters/Modular/Female/cap_51/cap_51/SkeletalMeshes/cap_51,/Game/Characters/Modular/Male/cap_51/cap_51/SkeletalMeshes/cap_51,LCAP051,Bleached Cap,A bleached cap.
cap_52,52,123,30,18,3438,53,72891,0,LCAP052,2,31,120,,,20,23,,,55,3,243,/Game/Characters/Modular/Female/cap_52/cap_52/SkeletalMeshes/cap_52,/Game/Characters/Modular/Male/cap_52/cap_52/SkeletalMeshes/cap_52,LCAP052,Tye Dye Cap,A tye dyed cap.
cap_53,53,123,39,24,3439,55,84720,0,LCAP053,2,31,140,,,20,25,,,57,3,243,/Game/Characters/Modular/Female/cap_53/cap_53/SkeletalMeshes/cap_53,/Game/Characters/Modular/Male/cap_53/cap_53/SkeletalMeshes/cap_53,LCAP053,Desert Headband,A headband that will keep the sweat off of your face while walking in the desert.
cap_54,54,123,47,29,3440,57,96610,0,LCAP054,2,31,150,,,20,27,,,59,3,243,/Game/Characters/Modular/Female/cap_54/cap_54/SkeletalMeshes/cap_54,/Game/Characters/Modular/Male/cap_54/cap_54/SkeletalMeshes/cap_54,LCAP054,Warrior Headband,A headband commonly worn by the warriors of the desert.
cap_55,55,123,56,36,3441,59,102841,0,LCAP055,2,31,170,,,20,31,,,63,3,243,/Game/Characters/Modular/Female/cap_55/cap_55/SkeletalMeshes/cap_55,/Game/Characters/Modular/Male/cap_55/cap_55/SkeletalMeshes/cap_55,LCAP055,Explorer Hat,An expensive hat worn by famous explorers.
cap_56,56,123,62,40,3442,61,114629,0,LCAP056,2,31,180,,,20,33,,,65,3,243,/Game/Characters/Modular/Female/cap_56/cap_56/SkeletalMeshes/cap_56,/Game/Characters/Modular/Male/cap_56/cap_56/SkeletalMeshes/cap_56,LCAP056,Luxurious Explorer Hat,An enchanted hat worn by famous explorers.
cap_57,57,123,10,5,3443,63,200,0,LCAP057,2,,,,,,,,,20,3,243,/Game/Characters/Modular/Female/cap_57/cap_57/SkeletalMeshes/cap_57,/Game/Characters/Modular/Male/cap_57/cap_57/SkeletalMeshes/cap_57,LCAP057,Azure Hat,An alluring hat that keeps the sun out of one's face no matter what angle.
cap_61,61,122,5,4,143,18,950,0,LCAP061,2,31,10,,,,,,,34,2,235,/Game/Characters/Modular/Female/cap_61/cap_61/SkeletalMeshes/cap_61,/Game/Characters/Modular/Male/cap_61/cap_61/SkeletalMeshes/cap_61,LCAP061,Spiritual Beret ,This hat is intended to be used by new Muses as it makes one feel calm when it is worn.
cap_62,62,122,8,6,144,24,2950,0,LCAP062,2,31,30,,,28,1,,,36,2,235,/Game/Characters/Modular/Female/cap_62/cap_62/SkeletalMeshes/cap_62,/Game/Characters/Modular/Male/cap_62/cap_62/SkeletalMeshes/cap_62,LCAP062,Green Hat of Witch,A hat which is favored by well-experienced Mages.
cap_63,63,122,11,9,145,30,6500,0,LCAP063,2,31,50,,,28,2,,,38,2,235,/Game/Characters/Modular/Female/cap_63/cap_63/SkeletalMeshes/cap_63,/Game/Characters/Modular/Male/cap_63/cap_63/SkeletalMeshes/cap_63,LCAP063,Purple Hat of Witch,A hat which is favored by very well-experienced Mages.
cap_64,64,122,15,13,146,36,12250,0,LCAP064,2,31,70,,,28,2,,,40,2,235,/Game/Characters/Modular/Female/cap_64/cap_64/SkeletalMeshes/cap_64,/Game/Characters/Modular/Male/cap_64/cap_64/SkeletalMeshes/cap_64,LCAP064,Violet Beret,A fashionable beret which is favored by powerful Mages.
cap_65,65,122,19,16,147,41,21200,0,LCAP065,2,31,88,,,28,3,,,42,2,235,/Game/Characters/Modular/Female/cap_65/cap_65/SkeletalMeshes/cap_65,/Game/Characters/Modular/Male/cap_65/cap_65/SkeletalMeshes/cap_65,LCAP065,Hat of Shadow,A hat that is rumored to cover its wearer in shadow.
cap_66,66,122,23,19,148,46,32150,0,LCAP066,2,31,104,,,28,3,,,44,2,235,/Game/Characters/Modular/Female/cap_66/cap_66/SkeletalMeshes/cap_66,/Game/Characters/Modular/Male/cap_66/cap_66/SkeletalMeshes/cap_66,LCAP066,Velvet Hat of Witch,A hat that contains magical energy.
cap_67,67,122,27,23,149,51,49500,0,LCAP067,2,31,120,,,28,4,,,46,2,235,/Game/Characters/Modular/Female/cap_67/cap_67/SkeletalMeshes/cap_67,/Game/Characters/Modular/Male/cap_67/cap_67/SkeletalMeshes/cap_67,LCAP067,Heaven's Bonnet,A hat which is said to be worn by those from heaven.
cap_68,68,122,35,30,150,60,67770,0,LCAP068,4,31,145,,,28,5,,,50,2,235,/Game/Characters/Modular/Female/cap_68/cap_68/SkeletalMeshes/cap_68,/Game/Characters/Modular/Male/cap_68/cap_68/SkeletalMeshes/cap_68,LCAP068,Fairy Bonnet,A lovely bonnet crafted by Arua's Fairy.
cap_69,69,122,42,36,151,66,92070,0,LCAP069,2,31,155,,,28,5,,,52,2,235,/Game/Characters/Modular/Female/cap_69/cap_69/SkeletalMeshes/cap_69,/Game/Characters/Modular/Male/cap_69/cap_69/SkeletalMeshes/cap_69,LCAP069,Joker Bonnet,A hat that is typically worn by cheaters and confidence men.
cap_70,70,122,44,40,152,68,140800,0,LCAP070,2,31,165,,,28,5,,,54,2,235,/Game/Characters/Modular/Female/cap_70/cap_70/SkeletalMeshes/cap_70,/Game/Characters/Modular/Male/cap_70/cap_70/SkeletalMeshes/cap_70,LCAP070,Mystic Weaver Bonnet,A bonnet that is designed for intermediate level Muses.
cap_71,71,122,49,44,154,73,196500,0,LCAP071,4,31,175,,,28,6,,,56,2,235,/Game/Characters/Modular/Female/cap_71/cap_71/SkeletalMeshes/cap_71,/Game/Characters/Modular/Male/cap_71/cap_71/SkeletalMeshes/cap_71,LCAP071,Serenity Bonnet,"A bonnet that helps one to relax and focus, simply by wearing it."
cap_72,72,122,52,46,153,80,226500,0,LCAP072,4,31,185,,,28,7,,,59,2,235,/Game/Characters/Modular/Female/cap_72/cap_72/SkeletalMeshes/cap_72,/Game/Characters/Modular/Male/cap_72/cap_72/SkeletalMeshes/cap_72,LCAP072,Archmage Bonnet,A bonnet that is especially designed for advanced Muses.
cap_73,73,122,58,50,169,88,250000,0,LCAP073,4,31,200,,,28,10,12,10,62,2,235,/Game/Characters/Modular/Female/cap_73/cap_73/SkeletalMeshes/cap_73,/Game/Characters/Modular/Male/cap_73/cap_73/SkeletalMeshes/cap_73,LCAP073,Dimple Bonnet,"A cute, classy bonnet made by a famous designer."
cap_74,74,0,0,0,0,0,0,0,,,,,,,,,,,,,0,/Game/Characters/Modular/Female/cap_74/cap_74/SkeletalMeshes/cap_74,/Game/Characters/Modular/Male/cap_74/cap_74/SkeletalMeshes/cap_74,,,
cap_75,75,122,62,53,169,88,270000,0,LCAP075,4,31,205,,,28,10,12,10,64,2,235,/Game/Characters/Modular/Female/cap_75/cap_75/SkeletalMeshes/cap_75,/Game/Characters/Modular/Male/cap_75/cap_75/SkeletalMeshes/cap_75,LCAP075,Brave Dimple Bonnet,You entered deep into the depths of Prison and claimed this bonnet.
cap_76,76,0,0,0,0,0,0,0,,,,,,,,,,,,,0,/Game/Characters/Modular/Female/cap_76/cap_76/SkeletalMeshes/cap_76,/Game/Characters/Modular/Male/cap_76/cap_76/SkeletalMeshes/cap_76,,,
cap_77,77,0,0,0,0,0,0,0,,,,,,,,,,,,,0,/Game/Characters/Modular/Female/cap_77/cap_77/SkeletalMeshes/cap_77,/Game/Characters/Modular/Male/cap_77/cap_77/SkeletalMeshes/cap_77,,,
cap_78,78,122,237,228,5241,88,270000,0,LCAP078,2,31,255,,,12,45,20,100,125,2,235,/Game/Characters/Modular/Female/cap_78/cap_78/SkeletalMeshes/cap_78,/Game/Characters/Modular/Male/cap_78/cap_78/SkeletalMeshes/cap_78,LCAP078,Allabast Rift Hat,Hat Exclusive for ETC iROSE
cap_79,79,122,237,228,5242,88,270000,0,LCAP079,2,31,255,,,12,45,18,100,125,2,235,/Game/Characters/Modular/Female/cap_79/cap_79/SkeletalMeshes/cap_79,/Game/Characters/Modular/Male/cap_79/cap_79/SkeletalMeshes/cap_79,LCAP079,Heavenly Priest Hat,Hat Exclusive for ETC iROSE
cap_80,80,0,0,0,0,0,0,0,,,,,,,,,,,,,0,/Game/Characters/Modular/Female/cap_80/cap_80/SkeletalMeshes/cap_80,/Game/Characters/Modular/Male/cap_80/cap_80/SkeletalMeshes/cap_80,,,
cap_81,81,0,0,0,0,0,0,0,,,,,,,,,,,,,0,/Game/Characters/Modular/Female/cap_81/cap_81/SkeletalMeshes/cap_81,/Game/Characters/Modular/Male/cap_81/cap_81/SkeletalMeshes/cap_81,,,
cap_82,82,0,0,0,0,0,0,0,,,,,,,,,,,,,0,/Game/Characters/Modular/Female/cap_82/cap_82/SkeletalMeshes/cap_82,/Game/Characters/Modular/Male/cap_82/cap_82/SkeletalMeshes/cap_82,,,
cap_83,83,0,0,0,0,0,0,0,,,,,,,,,,,,,0,/Game/Characters/Modular/Female/cap_83/cap_83/SkeletalMeshes/cap_83,/Game/Characters/Modular/Male/cap_83/cap_83/SkeletalMeshes/cap_83,,,
cap_84,84,0,0,0,0,0,0,0,,,,,,,,,,,,,0,/Game/Characters/Modular/Female/cap_84/cap_84/SkeletalMeshes/cap_84,/Game/Characters/Modular/Male/cap_84/cap_84/SkeletalMeshes/cap_84,,,
cap_85,85,0,0,0,0,0,0,0,,,,,,,,,,,,,0,/Game/Characters/Modular/Female/cap_85/cap_85/SkeletalMeshes/cap_85,/Game/Characters/Modular/Male/cap_85/cap_85/SkeletalMeshes/cap_85,,,
cap_91,91,123,7,2,182,21,1350,0,LCAP091,2,31,10,,,,,,,34,2,231,/Game/Characters/Modular/Female/cap_91/cap_91/SkeletalMeshes/cap_91,/Game/Characters/Modular/Male/cap_91/cap_91/SkeletalMeshes/cap_91,LCAP091,Hunter Hat,A hat which helps you in harmonizing with nature.
cap_92,92,123,10,4,183,27,3100,0,LCAP092,2,31,30,,,,,,,36,2,231,/Game/Characters/Modular/Female/cap_92/cap_92/SkeletalMeshes/cap_92,/Game/Characters/Modular/Male/cap_92/cap_92/SkeletalMeshes/cap_92,LCAP092,Criker Hat,A light hat which is well designed for hunters.
cap_93,93,123,13,6,184,34,6200,0,LCAP093,2,31,50,,,,,,,38,2,231,/Game/Characters/Modular/Female/cap_93/cap_93/SkeletalMeshes/cap_93,/Game/Characters/Modular/Male/cap_93/cap_93/SkeletalMeshes/cap_93,LCAP093,Ranger Hat,A nice hat for veteran hunters.
cap_94,94,123,17,9,185,40,12100,0,LCAP094,2,31,70,,,,,,,40,2,231,/Game/Characters/Modular/Female/cap_94/cap_94/SkeletalMeshes/cap_94,/Game/Characters/Modular/Male/cap_94/cap_94/SkeletalMeshes/cap_94,LCAP094,Black Pirate Hat,A hat which is used by many pirates in the Black Sea.
cap_95,95,123,22,12,186,45,22150,0,LCAP095,2,31,88,,,,,,,43,2,231,/Game/Characters/Modular/Female/cap_95/cap_95/SkeletalMeshes/cap_95,/Game/Characters/Modular/Male/cap_95/cap_95/SkeletalMeshes/cap_95,LCAP095,Mariner's Hat,A hat for adventurers who love seafaring.
cap_96,96,123,26,15,187,50,34250,0,LCAP096,4,31,104,,,,,,,44,2,231,/Game/Characters/Modular/Female/cap_96/cap_96/SkeletalMeshes/cap_96,/Game/Characters/Modular/Male/cap_96/cap_96/SkeletalMeshes/cap_96,LCAP096,Jaguar Hat ,"A hat which lends you the speed of the jaguar, supposedly."
cap_97,97,123,31,18,188,55,53450,0,LCAP097,2,31,120,,,,,,,47,2,231,/Game/Characters/Modular/Female/cap_97/cap_97/SkeletalMeshes/cap_97,/Game/Characters/Modular/Male/cap_97/cap_97/SkeletalMeshes/cap_97,LCAP097,Wild Hawker Hat,A necessity for the ultimate Hawker!
cap_98,98,123,40,24,189,65,70875,0,LCAP098,4,31,145,,,,,,,50,2,231,/Game/Characters/Modular/Female/cap_98/cap_98/SkeletalMeshes/cap_98,/Game/Characters/Modular/Male/cap_98/cap_98/SkeletalMeshes/cap_98,LCAP098,Pirate Hood,A kerchief worn on the head in the same fashion as a bloodthirsty pirate.
cap_99,99,123,47,29,190,71,96345,0,LCAP099,2,31,155,,,,,,,53,2,231,/Game/Characters/Modular/Female/cap_99/cap_99/SkeletalMeshes/cap_99,/Game/Characters/Modular/Male/cap_99/cap_99/SkeletalMeshes/cap_99,LCAP099,Silentwalker Head,A hat that is worn by those that specialize in stealth and espionage.
cap_100,100,123,55,32,192,76,158200,0,LCAP100,2,31,165,,,,,,,56,2,231,/Game/Characters/Modular/Female/cap_100/cap_100/SkeletalMeshes/cap_100,/Game/Characters/Modular/Male/cap_100/cap_100/SkeletalMeshes/cap_100,LCAP100,Triggerman Head,A mysterious hat that hitmen generally wear.
