,FOOT\foot1_001.txt,FOOT\foot2_001.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,Item Set,Dynamic EQ,Trade Key,Expire,Prefix,
Violet Boots,FOOT\foot1_02400.txt,FOOT\foot2_02400.txt,,152,10700,0,3,43,640,236,579,18,3,313,32,52,,,31,70,,,,,,,,,55,,18,3,80,,,,,,LFOO064
Boots of Shadow,FOOT\foot1_01900.txt,FOOT\foot2_01900.txt,,152,19600,0,3,50,641,236,579,18,4,314,35,52,,,31,88,,,,,,,,,57,,23,4,82,,,,,,LFOO065
Velvet Boots of Witch,FOOT\foot1_00710.txt,FOOT\foot2_00710.txt,,152,29550,0,3,55,642,236,579,18,5,315,40,52,,,31,104,,,,,,,,,60,,27,5,82,,,,,,LFOO066
Heaven's Shoes,FOOT\foot1_04100.txt,FOOT\foot2_04100.txt,,152,45350,0,3,57,643,236,579,18,6,316,50,52,,,31,120,,,,,,,,,62,,32,5,84,,,,,,LFOO067
Fairy Shoes,FOOT\foot1_05000.txt,FOOT\foot2_05000.txt,,152,77220,0,3,61,644,236,579,18,7,317,55,52,,,31,145,,,,,,,,,68,,43,7,85,,,,,,LFOO060
Joker Shoes,FOOT\foot1_05300.txt,FOOT\foot2_05300.txt,,152,106605,0,3,64,645,236,579,18,8,318,60,52,,,31,155,,,,,,,,,71,,51,9,86,,,,,,LFOO068
Mystic Weaver Shoes,FOOT\foot1_06400.txt,FOOT\foot2_06400.txt,,152,143900,0,3,67,646,236,579,18,9,319,70,52,,,31,165,,,,,,,,,74,,59,10,87,,,,,,LFOO069
Serenity Shoes,FOOT\foot1_06000.txt,FOOT\foot2_06000.txt,,152,204650,0,3,69,647,236,579,18,10,320,75,52,,,31,175,,,,,,,,,79,,67,11,88,,,,,,LFOO070
Archmage Shoes,FOOT\foot1_06800.txt,FOOT\foot2_06800.txt,,152,257100,0,3,73,648,236,579,18,11,,80,52,,,31,185,,,,,,,,,82,,75,12,89,,,,,,LFOO071
Dimple Shoes,FOOT\foot1_07200.txt,FOOT\foot2_07200.txt,,152,286050,0,3,76,650,236,579,18,12,,85,52,,,31,200,,,,,,,,,87,,81,13,80,,,,,,LFOO072
Royal Sage Shoes,FOOT\foot1_08200.txt,FOOT\foot2_08200.txt,,152,301300,0,3,78,633,236,579,,,,,52,,,31,210,,,,,,,,,90,,87,14,82,,,,,,LFOO073
Muse 1,FOOT\foot1_career002_b.txt,FOOT\foot2_career002_b.txt,,152,1,0,3,78,3297,236,579,,,,,52,,,31,210,,,,,,,,,92,,150,150,84,,,,,,LFOO074
Caster Shoes of Rebirth,FOOT\foot1_career006_f.txt,FOOT\foot2_career006_f.txt,6,152,221000,0,3,78,3302,236,579,,,,,52,,,111,8,,,,,,,,,75,,11,2,85,,,,,,LFOO075
Muse 2,FOOT\foot1_career002_1b.txt,FOOT\foot2_career002_1b.txt,,152,1,0,3,78,3306,236,579,,,,,52,,,31,210,,,,,,,,,92,,150,150,84,,,,,,LFOO076
Burning Shoes of Caster,FOOT\foot1_career006_1f.txt,FOOT\foot2_career006_1f.txt,6,152,315520,0,3,78,3310,236,579,,,,,52,,,31,210,,,,12,1,,21,3,91,,90,15,84,,,392,,,LFOO077
Merciful Dawnfrost Shoes (Maiden),FOOT\foot1_career_a_003.txt,FOOT\foot2_career_a_003.txt,,152,325189,0,3,65,3315,236,579,,,182,,52,,,31,205,,,,18,-20,,148,-3,55,,101,16,82,25,,,,,LFOO079
Ruthless Dawnfrost Shoes (Maiden),FOOT\foot1_career_a_004.txt,FOOT\foot2_career_a_004.txt,,152,325189,0,3,65,3319,236,579,,,182,,52,,,31,205,,,,18,20,,148,2,55,,60,9,82,26,,,,,LFOO080
Oro's Walker Shoes,FOOT\foot1_muse200.txt,FOOT\foot2_muse200.txt,,152,325189,0,3,78,3838,236,579,,,,,52,,,31,220,,,,,,,,,68,,94,15,82,,,,,,LFOO81
Light Frost Boots,FOOT\foot1_sodMuseBoots.txt,FOOT\foot2_sodMuseBoots.txt,,153,12000,0,3,73,4859,236,579,,,,,42,,,31,160,,,,,,,,,19,24,181,208,90,,,,,,LFOO82
Magus Shoes,FOOT\foot1_muse_master.txt,FOOT\foot2_muse_master.txt,,152,351001,0,3,79,9612,236,579,,,,,52,,,140,10,,,,,,,,,69,,101,16,82,,,,,,LFOO083
Muse 2023 1,,,,152,351001,0,3,79,9360,236,579,,,,,52,,,31,228,,,,,,,,,69,,101,16,82,,,,,,LFOO084
Muse 2023 2,,,,152,351001,0,3,79,9361,236,579,,,,,52,,,31,228,,,,,,,,,69,,101,16,82,,,,,,LFOO085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
Hunter Boots,FOOT\foot1_02200.txt,FOOT\foot2_02200.txt,,151,1050,0,3,24,676,232,579,,,,,43,,,31,10,,,,,,,,,46,,6,1,80,,,,,,LFOO091
Criker Boots,FOOT\foot1_03300.txt,FOOT\foot2_03300.txt,,151,2750,0,3,31,677,232,580,17,1,301,18,43,,,31,30,,,,,,,,,49,,10,1,80,,,,,,LFOO092
Ranger Boots,FOOT\foot1_00700.txt,FOOT\foot2_00700.txt,,151,6450,0,3,38,678,232,579,17,2,302,24,43,,,31,50,,,,,,,,,52,,14,2,85,,,,,,LFOO093
Black Pirate Boots,FOOT\foot1_01500.txt,FOOT\foot2_01500.txt,,151,13050,0,3,45,679,232,579,17,3,303,28,53,,,31,70,,,,,,,,,55,,19,2,85,,,,,,LFOO094
Mariner's Boots,FOOT\foot1_02800.txt,FOOT\foot2_02800.txt,,151,21900,0,3,52,680,232,579,17,4,304,30,53,,,31,88,,,,,,,,,58,,24,3,83,,,,,,LFOO095
Jaguar Boots,FOOT\foot1_02000.txt,FOOT\foot2_02000.txt,,151,32250,0,3,57,681,232,579,17,5,305,34,53,,,31,104,,,,,,,,,60,,28,3,82,,,,,,LFOO096
Wild Hawker Boots,FOOT\foot1_04200.txt,FOOT\foot2_04200.txt,,151,56100,0,3,60,682,232,579,17,6,306,40,53,,,31,120,,,,,,,,,63,,34,4,83,,,,,,LFOO097
Pirate Sandals,FOOT\foot1_04700.txt,FOOT\foot2_04700.txt,,151,84420,0,3,63,683,232,579,17,7,307,43,53,,,31,145,,,,,,,,,68,,45,6,85,,,,,,LFOO090
Silentwalker Boots,FOOT\foot1_05200.txt,FOOT\foot2_05200.txt,,151,115380,0,3,65,684,232,579,17,8,308,48,53,,,31,155,,,,,,,,,72,,53,7,87,,,,,,LFOO098
Triggerman Boots,FOOT\foot1_06300.txt,FOOT\foot2_06300.txt,,151,181850,0,3,68,685,232,579,17,9,309,52,53,,,31,165,,,,,,,,,74,,61,7,88,,,,,,LFOO099
Captain Hawker Boots,FOOT\foot1_05900.txt,FOOT\foot2_05900.txt,,151,255150,0,3,71,686,232,579,17,10,310,55,53,,,31,175,,,,,,,,,78,,69,8,90,,,,,,LFOO100
Netherworld Boots,FOOT\foot1_04700.txt,FOOT\foot2_04700.txt,,151,250800,0,3,74,687,232,579,17,11,,60,53,,,31,185,,,,,,,,,85,,77,9,92,,,,,,LFOO101
Steel Resolve Boots,FOOT\foot1_07400.txt,FOOT\foot2_07400.txt,,151,298700,0,3,76,689,232,579,17,12,,65,53,,,31,200,,,,,,,,,89,,83,10,86,,,,,,LFOO102
Shadow Fall Shoes,FOOT\foot1_08400.txt,FOOT\foot2_08400.txt,,151,337500,0,3,78,634,232,579,,,,,53,,,31,210,,,,,,,,,92,,89,11,88,,,,,,LFOO103
Hawker 1,FOOT\foot1_career003_c.txt,FOOT\foot2_career003_c.txt,,151,1,0,3,78,3298,232,579,,,,,53,,,31,210,,,,,,,,,95,,150,150,90,,,,,,LFOO104
Reckless Ram Boots of Rebirth,FOOT\foot1_career007_g.txt,FOOT\foot2_career007_g.txt,6,151,201000,0,3,78,3303,232,579,,,,,53,,,111,8,,,,,,,,,75,,11,2,100,,,,,,LFOO105
Hawker 2,FOOT\foot1_career003_1c.txt,FOOT\foot2_career003_1c.txt,,151,1,0,3,78,3307,232,579,,,,,53,,,31,210,,,,,,,,,95,,150,150,90,,,,,,LFOO106
Reckless Ram Boots,FOOT\foot1_career007_1g.txt,FOOT\foot2_career007_1g.txt,6,151,351200,0,3,78,3311,232,579,,,,,53,,,31,210,,,,11,1,,21,3,93,,94,11,90,,,392,,,LFOO107
Merciful Dawnfrost Shoes (Hunter),FOOT\foot1_career_a_005.txt,FOOT\foot2_career_a_005.txt,,151,380014,0,3,65,3316,232,579,,,182,,53,,,31,205,,,,18,-20,,148,-3,55,,103,13,95,27,,,,,LFOO109
Ruthless Dawnfrost Shoes (Hunter),FOOT\foot1_career_a_006.txt,FOOT\foot2_career_a_006.txt,,151,380014,0,3,65,3320,232,579,,,182,,53,,,31,205,,,,18,20,,148,2,55,,62,7,95,28,,,,,LFOO110
Raptor Boots,FOOT\foot1_hawker200.txt,FOOT\foot2_hawker200.txt,,151,380014,0,3,78,3851,232,579,,,,,53,,,31,220,,,,,,,,,68,,97,12,95,,,,,,LFOO111
Leather Frost Boots,FOOT\foot1_sodHawker.txt,FOOT\foot2_sodHawker.txt,,153,12000,0,3,73,4858,232,579,,,,,43,,,31,160,,,,,,,,,15,59,218,163,90,,,,,,LFOO112
Rogue's Shoes,FOOT\foot1_hawker_master.txt,FOOT\foot2_hawker_master.txt,,151,425417,0,3,79,9613,232,579,,,,,53,,,140,10,,,,,,,,,69,,105,13,95,,,,,,LFOO113
Hawker 2023 1,,,,151,425417,0,3,79,9362,232,579,,,,,53,,,31,228,,,,,,,,,69,,105,13,95,,,,,,LFOO114
Hawker 2023 2,,,,151,425417,0,3,79,9363,232,579,,,,,53,,,31,228,,,,,,,,,69,,105,13,95,,,,,,LFOO115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
Brown Shoes,FOOT\foot1_03200.txt,FOOT\foot2_03200.txt,,153,1300,0,3,24,702,240,579,,,,,44,,,31,10,,,,,,,,,46,,7,1,80,,,,,,LFOO121
Vibe Shoes,FOOT\foot1_03100.txt,FOOT\foot2_03100.txt,,153,2750,0,3,31,703,240,579,18,1,321,22,44,,,31,30,,,,,,,,,49,,10,1,80,,,,,,LFOO122
Tamiya Shoes,FOOT\foot1_01800.txt,FOOT\foot2_01800.txt,,153,6450,0,3,38,704,240,579,18,2,322,26,44,,,31,50,,,,,,,,,52,,14,2,85,,,,,,LFOO123
Semiya Shoes,FOOT\foot1_02300.txt,FOOT\foot2_02300.txt,,153,13050,0,3,45,705,240,579,18,3,323,30,54,,,31,70,,,,,,,,,55,,19,2,85,,,,,,LFOO124
Merchant Boots,FOOT\foot1_03600.txt,FOOT\foot2_03600.txt,,153,21250,0,3,51,706,240,579,18,4,324,32,54,,,31,88,,,,,,,,,57,,23,3,85,,,,,,LFOO125
Rich Merchant Boots,FOOT\foot1_03500.txt,FOOT\foot2_03500.txt,,153,33900,0,3,56,707,240,579,18,5,325,36,54,,,31,104,,,,,,,,,60,,28,3,85,,,,,,LFOO126
Redfield Chairman Shoes,FOOT\foot1_04400.txt,FOOT\foot2_04400.txt,,153,52150,0,3,62,708,240,579,18,6,326,45,54,,,31,120,,,,,,,,,63,,33,4,85,,,,,,LFOO127
Fisherman Sandals,FOOT\foot1_04900.txt,FOOT\foot2_04900.txt,,153,80595,0,3,65,709,240,579,18,7,327,49,54,,,31,145,,,,,,,,,68,,44,6,85,,,,,,LFOO120
Bomber Shoes,FOOT\foot1_05400.txt,FOOT\foot2_05400.txt,,153,113085,0,3,67,710,240,579,18,8,328,52,54,,,31,155,,,,,,,,,71,,52,7,87,,,,,,LFOO128
Cart Racer Shoes,FOOT\foot1_06500.txt,FOOT\foot2_06500.txt,,153,161300,0,3,69,711,240,579,18,9,329,55,54,,,31,165,,,,,,,,,74,,60,7,87,,,,,,LFOO129
Bourgeois Shoes,FOOT\foot1_06100.txt,FOOT\foot2_06100.txt,,153,224250,0,3,71,712,240,579,18,10,330,60,54,,,31,175,,,,,,,,,77,,68,8,90,,,,,,LFOO130
Noble Lord Shoes,FOOT\foot1_04900.txt,FOOT\foot2_04900.txt,,153,264850,0,3,73,713,240,579,18,11,,70,54,,,31,185,,,,,,,,,82,,76,9,91,,,,,,LFOO131
Mana Steam Shoes,FOOT\foot1_07300.txt,FOOT\foot2_07300.txt,,153,295450,0,3,75,715,240,579,18,12,,75,54,,,31,200,,,,,,,,,90,,82,10,91,,,,,,LFOO132
Mana Fusion Boots,FOOT\foot1_08300.txt,FOOT\foot2_08300.txt,,153,324100,0,3,76,635,240,579,,,,,54,,,31,210,,,,,,,,,93,,88,11,94,,,,,,LFOO133
Dealer 1,FOOT\foot1_career004_d.txt,FOOT\foot2_career004_d.txt,,153,1,0,3,76,3299,240,579,,,,,54,,,31,210,,,,,,,,,95,,150,150,96,,,,,,LFOO134
Staid Gentleman Shoes of Rebirth,FOOT\foot1_career008_h.txt,FOOT\foot2_career008_h.txt,6,153,201000,0,3,76,3304,240,579,,,,,54,,,111,8,,,,,,,,,75,,10,2,95,,,,,,LFOO135
Dealer 2,FOOT\foot1_career004_1d.txt,FOOT\foot2_career004_1d.txt,,153,1,0,3,76,3308,240,579,,,,,54,,,31,210,,,,,,,,,95,,150,150,96,,,,,,LFOO136
Staid Gentleman Shoes,FOOT\foot1_career008_1h.txt,FOOT\foot2_career008_1h.txt,6,153,338300,0,3,76,3312,240,579,,,,,54,,,31,210,,,,13,1,,21,3,94,,92,11,96,,,392,,,LFOO137
Merciful Dawnfrost Shoes (Trader),FOOT\foot1_career_a_007.txt,FOOT\foot2_career_a_007.txt,,153,354778,0,3,65,3317,240,579,,,182,,54,,,31,205,,,,18,-20,,148,-3,55,,102,7,90,29,,,,,LFOO139
Ruthless Dawnfrost Shoes (Trader),FOOT\foot1_career_a_008.txt,FOOT\foot2_career_a_008.txt,,153,354778,0,3,65,3321,240,579,,,182,,54,,,31,205,,,,18,20,,148,2,55,,61,13,90,30,,,,,LFOO140
Mercenary Boots,FOOT\foot1_dealer200.txt,FOOT\foot2_dealer200.txt,,153,354778,0,3,76,3864,240,579,,,,,54,,,31,220,,,,,,,,,68,,96,12,90,,,,,,LFOO141
Sturdy Frost Boots,FOOT\foot1_sodDealerBoots.txt,FOOT\foot2_sodDealerBoots.txt,,153,12000,0,3,73,4860,240,579,,,,,44,,,31,160,,,,,,,,,28,34,302,117,90,,,,,,LFOO142
Judgement Shoes,FOOT\foot1_dealer_master.txt,FOOT\foot2_dealer_master.txt,,153,390014,0,3,77,9614,240,579,,,,,54,,,140,10,,,,,,,,,69,,104,13,90,,,,,,LFOO143
Dealer 2023 1,,,,153,390014,0,3,77,9364,240,579,,,,,54,,,31,228,,,,,,,,,69,,104,13,90,,,,,,LFOO144
Dealer 2023 2,,,,153,390014,0,3,77,9365,240,579,,,,,54,,,31,228,,,,,,,,,69,,104,13,90,,,,,,LFOO145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Disguise Kit Dont Edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ET Shoes,FOOT\foot_ET.txt,FOOT\foot_ET.txt,6,153,0,0,3,50,661,236,579,,,,,,,,,,,,,29,60,,25,5000,850,0,999,999,100,,,,,,LFOO150
GM Shoes,FOOT\foot1_04500.txt,FOOT\foot2_04500.txt,6,153,0,0,3,50,590,236,579,,,,,,,,,,,,,29,60,,23,1000,850,0,999,999,100,,,,,,LFOO151
Santa Boots,FOOT\foot1_04300.txt,FOOT\foot2_04300.txt,7,153,1500,0,3,22,587,236,579,,,,,,,,,,,,,,,,,,20,,5,3,85,,,,,,LFOO152
