string,??????,string
1??(T1->S1),56,T1-S1
1??(S2->T2),56,S2-T2
1??(T2->S2),56,T2-S2
1??(S3->T3),56,S3-T3
1??(T3->S3),56,T3-S3
2??(S1->T1),57,S1-T1
2??(T1->S1),57,S2-T2
LZ01->LZ02(1??->2??),57,WARP-LZ01-LZ02
LZ02->LZ01(2??->1??),56,WARP-LZ02-LZ01
t4 to p6,54,WARP-LZ02-LP03
,,
,,
,,
LMT01->LP01(????????????->????????????),52,WARP-LMT01-LP01
LMT01->LP02(????????????->??????????),53,WARP-LMT01-LP02
LMT01->LP03(????????????->????????????),54,WARP-LMT01-LP03
LMT01->LP04(????????????->????????????),55,WARP-LMT01-LP04
LMT01->LP05(????????????->????????????),58,WARP-LMT01-LP05
LP01->LMT01(????????????->????????????),51,WARP-LP01-LMT01
LP01->LP02(????????????->??????????),53,WARP-LP01-LP02
,,
LP02->LMT01(??????????->????????????),51,WARP-LP02-LMT01
LP02->LP01(??????????->????????????),52,WARP-LP02-LP01
,,
LP03->LMT01(????????????->????????????),51,WARP-LP03-LMT01
LP03->LP04(????????????->????????????),55,WARP-LP03-LP04
,,
LP04->LMT01(????????????->????????????),51,WARP-LP04-LMT01
LP04->LP03(????????????->????????????),54,WARP-LP04-LP03
LP05->LMT01(????????????->????????????),51,WARP-LP05-LMT01
LZ01->LP03(????1????->????????????),54,WARP-LZ011-LP03
LZ01->LP03(????2????->????????????),54,WARP-LZ011-LP03
LZ01->LP03(????3????->????????????),54,WARP-LZ011-LP03
LZ02->LP03(????1????->????????????),54,WARP-LZ011-LP03
LZ02->LP03(????2????->????????????),54,WARP-LZ011-LP03
LPVP01->LP03(????????->????????????),54,WARP-LZ011-LP03
,,
,,
EJT01->EJ01(??????????->??????????)-11??,62,WARP-EJT01-EJ01-11
EJT01->EJ01(??????????->??????????)-1??,62,WARP-EJT01-EJ01-1
EJ01->EJT01(??????????->??????????)-7??,61,WARP-EJ01-EJT01-7
EJ01->EJT01(??????????->??????????)-5??,61,WARP-EJ01-EJT01-5
EJ01->EJ02(??????????->????????),63,WARP-EJ01-EJ02
EJ02->EJ01(????????->??????????),62,WARP-EJ02-EJ01
EJ01->EJ03(??????????->????????),64,WARP-EJ01-EJ03
EJ03->EJ01(????????->??????????),62,WARP-EJ03-EJ01
EJ02->EZ01(????????->??????????????),65,WARP-EJ02-EZ01
EZ01->EJ02(??????????????->????????)-6??,63,WARP-EJ02-EZ01-6
,,
JZP01->JD02(?G???o?[?????????s???~?b?g?O),24,WARP-JD2-3432
JD02->JZP01?i?s???~?b?h?_???W???????j,41,WARP-JZP01-3232
JZP01->JZP02?i???K???????K???j,42,WARP-JZP01-3232
JZP02->JZP01WARP-JZP02-3232?i???K???????K???j,41,WARP-JZP02-3232
elvenroon->pyramid,41,WARP-JD02-JZP01-MF
paradise to helio,75,WARP-FIELD-TOWN
helio to paradise,72,WARP-TOWN-FIELD
Ra to Geb,71,WARP-FIELD-GEB
Geb to Ra,72,WARP-GEB-FIELD
B1 to B2,77,WARP-OZP01-OZP02
B2 to B1,76,WARP-OZP02-OZP01
B2-1 to B3-1,78,WARP-OZP02-1-OZP03-1
B2-2 to B3-2,78,WARP-OZP02-2-OZP03-2
B3-1 to B2-1,77,WARP-OZP03-1-OZP02-1
B3-2 to B2-2,77,WARP-OZP03-2-OZP02-2
,,
B4 to B3,78,WARP-OZP04-OZP03
B3zone1-b3zone2,78,WARP-OZP03Z1-OZP03Z2
B3zone2-b3zone1,78,WARP-OZP03Z2-OZP03Z1
B3zone3-b3zone4,78,WARP-OZP03Z3-OZP03Z4
B3zone4-b3zone3,78,WARP-OZP03Z4-OZP03Z3
B3zone5-b3zone6,78,WARP-OZP03Z5-OZP03Z6
B3zone6-b3zone5,78,WARP-OZP03Z6-OZP03Z5
,,
Zant to Sunshine Islands,90,Zant2SunshineIslands
RamessesToGeb,71,RamessesToGeb
OCFToRamesses,80,OCFToRamesses
GebToRamesses,80,GebToRamesses
RaToPyramid,72,RaToPyramid
VillageToOCF,81,VillageToOCF
OCFToVillage,86,OCFToVillage
,,
ELCE01-3232-out,68,ELCE01-3232-out
DoorToPrison,65,DoorToPrison
ForestToRuins,67,WARP-EJ02-EJ04
RuinsToForest,63,WARP-EJ04-EJ02
MemToPyramid,83,MemToPyramid
PyramidToMem,84,PyramidToMem
RealRaToPyramid,83,RealRaToPyramid
MemphisToRifts,119,MemphisToRifts
RiftsToMemphis,84,RiftsToMemphis
PyramidToRifts,119,PyramidToRifts
RiftsToPyramid,124,RiftsToPyramid
CMinesToPyramid-1,124,CMinesToPyramid-1
CMinesToPyramid-2,124,CMinesToPyramid-2
CMinesToPyramid-3,124,CMinesToPyramid-3
PyramidToCMines-1,125,PyramidToCMines-1
PyramidToCMines-2,125,PyramidToCMines-2
PyramidToCMines-3,125,PyramidToCMines-3
GebToPyramid,124,GebToPyramid
PyramidToGeb,71,PyramidToGeb
KrayahToLOS,131,STOK-to-LOS
LOStoKrayah,130,LOS-to-STOK
STOKtoPOO,134,STOK-to-POO
POOtoSTOK,130,POO-to-STOK
POO1toPOO2,134,POO1-to-POO2
POO2toPOO3,134,POO2-to-POO3
POO3toPOO4,134,POO3-to-POO4
POO4toPOO1,134,POO4-to-POO1
LOStoFS,132,LOS-to-FS
FStoLOS,131,FS-to-LOS
FStoCOD,133,FS-to-COD
CODtoFS,132,COD-to-FS
DODtoCOTD,39,WARP-JD04-ID10
COTDtoDOD,29,WARP-ID10-JD04
OFtoLOS,131,WARP-OF-LOS
LOStoOF,134,WARP-LOS-OF
LP05toID06,58,WARP-LP05-ID06
JD04toJZ02_1,34,WARP-JD04-JZ02_1
JZ02_1toJD04,29,WARP-JZ02_1-JD04
DoorToExecChamber,69,ELC01-3232
PrisonToDoor,68,ELCE01-3232
SoDToEruca,58,WARP-LSOD01-LP05
RESERVED,,
RESERVED,,
,,
,,
,,
,,
,,
