string,,,,,,,,,,,,,,,,,,,,,,,,,Can Target,300,,1,,,,,,,,,,,,string,string,,Unused,Collision On/Off,Bone Index,Box X Scale,Box Y Scale,Box Z Scale,Ignore Database Data,Dialog Mob,Event Id,Invincible,Seasonal Event,Stun Immune,Swap,Pet Scale,Pet Y,Pet Height,Damage Limit,Servertype,Hide Armory,Expire Damage,Stat Tracker,AB Adjust,AX,AY,AZ,BX,BY,BZ,AB Hit,Block AOE Damage,Clan Stat Tracker,Whitelist
Mini-Choropy,larva2.mon,160,242,35,,,4,31,6,59,29,13,6,90,,1,2,104,5,60,,,,,,180,1,1,36,,,,401,1401,182,,11,,,LNPC0011,5052-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choropy,larva1.mon,175,260,45,,,6,26,10,61,33,16,8,90,,2,3,105,8,62,,,,,,200,1,1,36,,,,402,1401,182,,11,,,LNPC0012,QB_CS_Proxy_Drop,,,,,,,,,,,,,,,40,-60,50,,,,,,,,,,,,,,,,
Mother Choropy,larva1.mon,180,266,60,,,10,35,32,78,62,27,10,80,,2,5,106,10,62,,,,,,220,2,1,36,,,,403,1401,182,,11,,,LNPC0013,952-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,403,1401,,,,,,LNPC0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Choropy,larva3.mon,180,266,50,,,11,34,35,80,65,28,11,85,,2,6,107,12,65,,,,,,230,2,1,60,,,,403,1401,182,,11,,,LNPC0015,952-32,,,,,,,,,,,,,,,40,-60,50,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,403,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,403,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Pumpkin,pumpkin1.mon,200,240,35,,,8,24,27,64,32,18,23,90,,590,3,336,10,58,,,,,,220,1,1,28,,,,401,1401,182,,11,,,LNPC0020,231-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkin,pumpkin1.mon,200,260,45,,,9,23,32,65,39,20,25,100,,590,4,108,10,58,,,,,,220,1,1,28,,,,401,1401,182,,11,,,LNPC0021,105-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Pumpkin,pumpkin1.mon,200,260,60,,,10,35,31,74,62,27,10,85,,2,6,109,10,60,,,,,,230,2,1,28,,,,402,1401,182,,11,,,LNPC0022,903-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder Pumpkin,pumpkin2.mon,230,400,110,,,13,28,48,65,39,28,30,95,,21,6,110,12,60,,,,,,250,3,1,79,,,,403,1401,182,,11,,,LNPC0023,853-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboy Pumpkin,pumpkin3.mon,200,260,120,,,14,25,55,85,56,18,18,110,,23,6,111,15,65,,,,,,250,4,1,78,,,,403,1401,182,,11,,,LNPC0024,Arua_APs_Karitte_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,403,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,,1401,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalping,snail02.mon,200,290,90,1071,,21,25,73,83,65,39,39,90,,26,13,112,7,60,,,,,,1600,1,0,56,,,,,1401,,,11,,,LNPC0031,1007-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranger Dalping,snail01.mon,210,302,100,1071,,22,23,70,81,46,50,53,90,,26,12,113,7,62,,,,,,1800,5,0,56,,,,,1401,,,11,,,LNPC0032,5003-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Dalping,snail01.mon,220,314,100,1071,,24,20,91,105,65,28,48,80,,13,12,114,9,60,,,,,,1800,6,0,85,,,,,1401,,,11,,,LNPC0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalping Leader,snail02.mon,240,338,115,1071,,26,34,100,102,86,36,49,100,,28,25,115,12,62,,,,,,2000,8,0,56,,,,,1401,,,11,,,LNPC0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,1500,,0,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,1500,,0,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,1500,,0,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,1500,,0,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,1500,,0,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,1500,,0,,,,,,1401,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flanae,livida1.mon,0,0,80,1072,,7,25,20,63,30,17,22,90,1,15,6,116,1,55,,,,,,1750,1,1,40,,,,,1401,198,,11,,,LNPC0041,902-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder Flanae,livida1.mon,0,0,100,1072,,8,28,30,59,30,20,24,85,1,15,6,117,1,60,,,,,,1750,3,1,40,,,,,1401,198,,11,,,LNPC0042,902-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Flanae,livida2.mon,0,0,100,1073,,16,28,58,70,45,32,33,85,1,15,9,118,1,58,,,,,,2400,3,1,40,,,,,1401,198,,11,,,LNPC0043,5041-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Flanae,livida2.mon,0,0,120,1073,,18,34,69,89,66,26,39,95,1,18,14,119,1,60,,,,,,2500,8,1,40,,,,,1401,198,,11,,,LNPC0044,5007-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Flanae,livida1.mon,0,0,200,1073,,21,31,65,91,92,46,17,75,1,18,10,120,1,60,,,,,,2600,2,1,40,,,,,1401,198,,11,,,LNPC0045,5007-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,1200,,1,40,,,,,1401,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,1200,,1,40,,,,,1401,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,1200,,1,40,,,,,1401,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,1200,,1,40,,,,,1401,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,1200,,1,,,,,,1401,198,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smouly,smallree1.mon,220,314,100,1074,,44,27,158,119,126,83,68,95,1,26,16,121,10,56,,,,,,1200,1,1,27,,,,,1401,198,,12,,,LNPC0051,3003-31,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder Smouly,smallree1.mon,230,326,125,1074,,46,30,173,114,113,90,71,90,1,28,16,122,12,58,,,,,,1250,3,1,27,,,,,1401,198,,12,,,LNPC0052,5012-32,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Smouly,smallree2.mon,240,338,135,1075,,48,35,190,140,147,70,79,100,1,29,25,123,15,62,,,,,,1300,8,1,88,,,,,1401,198,,12,,,LNPC0053,5012-33,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,450,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,450,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,450,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,450,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,450,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,450,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,450,,1,,,,,,1401,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needle HoneyBee,bee1.mon,200,350,62,,,11,25,38,68,43,23,28,90,,2,10,124,8,62,,,,,,200,1,1,26,205,,,401,1401,206,,11,,,LNPC0061,1003-31,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoneyBee,bee1.mon,220,440,70,,,12,25,42,70,45,24,29,93,,3,11,125,10,60,,,,,,210,1,1,26,205,,,402,1401,206,,11,,,LNPC0062,756-21,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needle Hornet,bee3.mon,240,400,70,,,15,28,55,68,43,31,32,87,,5,11,126,12,64,,,,,,230,3,1,54,205,,,403,1401,206,,11,,,LNPC0063,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornet,bee3.mon,260,370,80,,,18,25,70,92,65,22,21,100,,9,12,127,12,65,,,,,,250,4,1,54,205,,,403,1401,206,,11,,,LNPC0064,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,205,,,403,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,205,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen HoneyBee,queen_bee1.mon,240,320,95,1061,,26,20,85,90,51,100,45,80,1,26,13,128,10,60,,,,,,800,7,1,25,205,,,,1401,210,,11,,,LNPC0067,118-32,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen Bibi,queen_bee1.mon,240,350,107,1061,,27,34,104,103,88,38,51,95,1,28,25,129,10,62,,,,,,900,8,1,25,205,,,,1401,210,,11,,,LNPC0068,857-31,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master Queen Bibi,queen_bee1.mon,300,450,135,333,,33,43,136,117,109,68,42,90,1,1267,35,130,12,67,,,,,,1500,9,1,25,205,,,,1401,210,,15,,,LNPC0069,Arua_APs_Lina_Drop,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,800,,1,,,,,,1401,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needle Pomic,ant3.mon,140,400,80,1011,,12,25,42,70,45,24,29,85,,2,10,131,20,62,,,,,,200,1,1,19,213,,,,1401,214,,11,,,LNPC0071,5006-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomic,ant3.mon,140,420,88,1011,,13,25,45,71,47,26,30,90,,2,11,132,20,65,,,,,,220,1,1,19,213,,,,1401,214,,11,,,LNPC0072,5002-31,,,,,,,,,,,,,,,80,-60,50,,,,,,,,,,,,,,,,
Red Pomic,ant4.mon,170,500,90,1012,,15,28,55,68,43,31,32,80,,3,11,133,20,68,,,,,,230,3,1,90,213,,,,1401,214,,11,,,LNPC0073,5006-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomic Soldier,ant1.mon,160,420,92,1031,,17,32,52,84,81,39,15,75,,2,12,134,30,62,,,,,,300,2,0,18,213,,,,1401,214,,11,,,LNPC0074,5006-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomic Fighter,ant2.mon,160,380,102,1032,,19,27,73,74,51,37,39,90,,5,12,135,35,65,,,,,,320,3,0,91,213,,,,1401,214,,11,,,LNPC0075,5006-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomic Fighter,ant4.mon,180,700,185,1012,,27,37,80,80,70,43,40,90,,318,24,135,40,65,,,,,,350,3,1,18,213,,,,1401,214,,11,,,LNPC0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,1,18,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,1,,,,,,1401,,,,,000100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enormous Beetle,stagbeetle1.mon,165,480,180,,,28,90,102,95,77,54,46,110,,3,28,213,40,90,,,,,,200,9,2,16,217,,219,402,1401,218,,11,,,LNPC0080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beetle,stagbeetle1.mon,150,420,70,,,20,25,69,81,63,37,38,95,,3,14,136,15,58,,,,,,180,1,2,16,217,,219,401,1401,218,,11,,,LNPC0081,855-31,,,,,,,,,,,,,,,60,-60,50,,,,,,,,,,,,,,,,
Beetle Fighter,stagbeetle1.mon,145,350,80,,,22,27,80,78,57,43,40,100,,5,14,137,19,62,,,,,,200,3,2,16,217,,219,402,1401,218,,11,,,LNPC0082,855-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,200,,2,,217,,219,403,1401,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle,turtle_beetle1.mon,160,370,75,,,27,25,94,92,80,49,46,100,,3,14,138,20,58,,,,,,200,1,2,24,217,,219,403,1401,218,,12,,,LNPC0084,QB_Zant_AS_T_Proxy_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Guard,turtle_beetle1.mon,180,470,85,,,29,32,91,104,116,62,23,90,,4,15,139,23,60,,,,,,220,2,2,24,217,,219,403,1401,218,,12,,,LNPC0085,5008-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,200,,2,,217,,219,,1401,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crack,may_beetle01.mon,130,400,66,,,20,25,69,81,63,37,38,95,,21,13,140,8,50,,,,,,200,1,2,15,217,,219,,1401,218,,16,,,LNPC0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crack Fighter,may_beetle01.mon,130,320,75,,,22,27,80,78,57,43,40,105,,105,13,141,12,55,,,,,,230,3,2,15,217,,219,,1401,218,,16,,,LNPC0088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,2,15,217,,219,,1401,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander Rackie,raccoon2.mon,195,600,200,140,8,33,130,105,135,125,64,60,110,,23,30,214,60,90,,,,,,250,10,1,14,,,,,1401,222,,12,,,LNPC0090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey Rackie,raccoon1.mon,130,400,90,1011,,24,25,57,87,73,44,43,95,,106,11,142,25,60,,,,,,230,1,1,14,221,,,,1401,222,,12,,,LNPC0091,QB_Zant_WB_Proxy_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rackie Hooligan,raccoon1.mon,180,520,98,1014,,26,25,70,105,86,32,28,110,,106,11,143,35,61,,,,,,250,4,1,14,221,,,,1401,222,,12,,,LNPC0092,5008-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fighter Rackie,raccoon2.mon,145,370,100,1005,301,28,28,71,87,70,53,48,100,,23,12,144,40,62,,,,,,260,3,0,87,221,,,,1401,222,,12,,,LNPC0093,118-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rackie Hooligan,raccoon1.mon,140,330,100,1014,,25,25,76,114,83,24,27,120,,24,11,145,1,60,,,,,,260,4,1,14,221,,,,1401,222,,18,,,LNPC0094,Arua_APs_Belz_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purified Honey Rackie,raccoon1.mon,130,400,90,,,18,999,1,1,999,999,999,95,,306,11,142,1,60,,,,,,230,,1,14,221,,,,1401,222,,,,,LNPC0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Rackie,raccoon3.mon,160,400,96,941,,26,20,79,102,70,34,50,85,,28,11,146,30,63,,,,,,2000,6,0,87,221,,,,1401,222,,12,,,LNPC0096,5008-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purified Rackie Hooligan,raccoon1.mon,180,520,98,,,18,999,1,1,999,999,999,110,,306,11,143,1,61,,,,,,250,,1,14,221,,,,1401,222,,,,,LNPC0097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purified Fighter Rackie,raccoon2.mon,145,370,100,,,18,999,1,1,999,999,999,100,,306,11,144,1,62,,,,,,260,,1,87,221,,,,1401,222,,,,,LNPC0098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purified Hunter Rackie,raccoon3.mon,160,400,96,,,18,999,1,1,999,999,99,120,,306,11,146,1,63,,,,,,300,,1,97,221,,,,1401,222,,,,,LNPC0099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,300,,1,,,,,,1401,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woopie,wolf1.mon,150,350,90,1003,,16,25,56,75,54,31,33,90,,21,11,147,20,60,,,,,,250,1,1,37,229,,,,1401,230,,11,,,LNPC0101,756-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woopie Chef,wolf2.mon,190,480,96,1080,,17,23,54,74,37,40,46,85,,26,12,148,30,63,,,,,,1500,5,1,37,229,,,,1401,230,,11,,,LNPC0102,QB_Zant_WC_Proxy_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woopie Glutton,wolf3.mon,170,390,110,1003,302,18,34,47,89,66,26,39,95,,23,15,149,35,65,,,,,,260,8,1,86,229,,,,1401,230,,11,,,LNPC0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berserk Woopy,wolf4.mon,200,500,90,1080,,20,30,50,70,40,50,50,90,,26,13,147,20,60,,,,,,250,1,1,37,229,,,,1401,230,,11,,,LNPC0104,animalproof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woopie,wolf1.mon,150,350,90,,,250,999,56,75,9999,9999,9999,90,,1259,,,,100,,,,,1,250,,1,37,,,,,,,,11,,213037153,LNPC0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woopie Chef,wolf2.mon,190,480,96,,,250,999,54,74,9999,9999,9999,85,,1259,,,,100,,,,,1,250,,1,37,,,,,,,,11,,213037153,LNPC0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelly Bean,jellybean1.mon,170,390,60,,,250,999,4,59,9999,9999,9999,90,,1260,,,,100,,,,,1,210,,1,12,,,,,,,,11,,213037153,LNPC0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,300,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,300,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,300,,1,,,,,,1401,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldie,mole1.mon,180,520,95,,,37,26,91,107,106,68,59,100,,21,16,150,20,58,,,,,,220,1,1,13,225,,,401,1401,226,,12,,,LNPC0111,3402-31,,,,,,,,,,,,,,,65,-60,50,,,,,,,,,,,,,,,,
Coal Mine Moldie,mole1.mon,200,460,105,,,38,32,84,119,145,81,30,90,,107,16,151,25,60,,,,,,230,2,1,13,225,,,402,1401,226,,12,,,LNPC0112,3602-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Mine Moldie,mole2.mon,200,450,102,1016,,39,27,155,128,122,51,40,105,,107,17,152,25,52,,,,,,250,4,1,82,225,,,403,1401,226,,12,,,LNPC0113,5017-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain Moldie,mole2.mon,200,500,116,1016,,42,44,175,133,135,86,51,100,,24,33,153,30,65,,,,,,260,9,1,82,225,,,403,1401,226,,12,,,LNPC0114,127-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,225,,,403,1401,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,225,,,,1401,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,13,225,,,,1401,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,250,,1,,,,,,1401,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krawfy,lobster1.mon,220,550,120,,,64,30,237,154,187,128,96,95,,114,26,154,15,55,,,,,,230,1,0,49,233,,219,401,1401,234,,13,,,LNPC0121,3007-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krawfy Warrior,lobster1.mon,200,450,140,,,65,30,268,177,205,96,67,115,,115,26,155,17,57,,,,,,240,4,0,49,233,,219,402,1401,234,,13,,,LNPC0122,3407-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krawfy Captain,lobster2.mon,240,530,155,,,68,47,292,183,220,144,83,105,,114,41,156,20,63,,,,,,250,9,0,57,233,,219,403,1401,234,,13,,,LNPC0123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,0,49,233,,219,403,1401,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,350,,0,,233,,219,403,1401,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
