Name,MotionRow,MotionCol,Action,AnimName,ZmoPath
m_262_13,262,13,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_14,262,14,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_15,262,15,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_16,262,16,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_17,262,17,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_18,262,18,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_19,262,19,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_0,263,0,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_1,263,1,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_2,263,2,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_3,263,3,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_4,263,4,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_5,263,5,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_6,263,6,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_7,263,7,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_8,263,8,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_9,263,9,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_10,263,10,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_11,263,11,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_12,263,12,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_13,263,13,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_14,263,14,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_15,263,15,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_16,263,16,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_17,263,17,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_18,263,18,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_263_19,263,19,ATTACK01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_0,264,0,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_1,264,1,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_2,264,2,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_3,264,3,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_4,264,4,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_5,264,5,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_6,264,6,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_7,264,7,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_8,264,8,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_9,264,9,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_10,264,10,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_11,264,11,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_12,264,12,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_13,264,13,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_14,264,14,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_15,264,15,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_16,264,16,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_17,264,17,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_18,264,18,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_264_19,264,19,ATTACK02,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_0,265,0,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_1,265,1,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_2,265,2,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_3,265,3,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_4,265,4,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_5,265,5,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_6,265,6,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_7,265,7,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_8,265,8,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_9,265,9,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_10,265,10,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_11,265,11,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_12,265,12,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_13,265,13,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_14,265,14,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_15,265,15,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_16,265,16,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_17,265,17,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_18,265,18,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_265_19,265,19,ATTACK03,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_0,266,0,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_1,266,1,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_2,266,2,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_3,266,3,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_4,266,4,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_5,266,5,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_6,266,6,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_7,266,7,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_8,266,8,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_9,266,9,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_10,266,10,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_11,266,11,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_12,266,12,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_13,266,13,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_14,266,14,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_15,266,15,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_16,266,16,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_17,266,17,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_18,266,18,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_266_19,266,19,DIE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_0,267,0,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_1,267,1,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_2,267,2,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_3,267,3,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_4,267,4,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_5,267,5,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_6,267,6,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_7,267,7,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_8,267,8,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_9,267,9,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_10,267,10,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_11,267,11,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_12,267,12,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_13,267,13,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_14,267,14,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_15,267,15,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_16,267,16,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_17,267,17,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_18,267,18,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_267_19,267,19,SPECIAL01,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_281_0,281,0,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_1,281,1,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_2,281,2,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_3,281,3,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_4,281,4,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_5,281,5,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_6,281,6,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_7,281,7,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_8,281,8,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_9,281,9,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_10,281,10,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_11,281,11,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_12,281,12,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_13,281,13,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_14,281,14,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_15,281,15,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_16,281,16,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_17,281,17,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_18,281,18,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_281_19,281,19,STOP1,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_282_0,282,0,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_1,282,1,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_2,282,2,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_3,282,3,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_4,282,4,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_5,282,5,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_6,282,6,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_7,282,7,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_8,282,8,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_9,282,9,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_10,282,10,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_11,282,11,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_12,282,12,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_13,282,13,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_14,282,14,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_15,282,15,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_16,282,16,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_17,282,17,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_18,282,18,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_282_19,282,19,MOVE,car_move_01,3DDATA\MOTION\AVATAR\car_move_01.ZMO
m_283_0,283,0,ATTACK01,car_attack_stonhemmer01,3DDATA\MOTION\AVATAR\car_attack_stonhemmer01.ZMO
m_283_1,283,1,ATTACK01,car_attack_stonhemmer01,3DDATA\MOTION\AVATAR\car_attack_stonhemmer01.ZMO
m_283_2,283,2,ATTACK01,car_attack_bow01,3DDATA\MOTION\AVATAR\car_attack_bow01.ZMO
m_283_3,283,3,ATTACK01,car_attack_bow01,3DDATA\MOTION\AVATAR\car_attack_bow01.ZMO
m_283_4,283,4,ATTACK01,car_attack_catar01,3DDATA\MOTION\AVATAR\car_attack_catar01.ZMO
m_283_5,283,5,ATTACK01,car_attack_nucle01,3DDATA\MOTION\AVATAR\car_attack_nucle01.ZMO
m_283_6,283,6,ATTACK01,car_attack_mirror01,3DDATA\MOTION\AVATAR\car_attack_mirror01.ZMO
m_283_7,283,7,ATTACK01,car_attack_mirror01,3DDATA\MOTION\AVATAR\car_attack_mirror01.ZMO
m_283_8,283,8,ATTACK01,car_attack_luncher01,3DDATA\MOTION\AVATAR\car_attack_luncher01.ZMO
m_283_9,283,9,ATTACK01,car_attack_luncher01,3DDATA\MOTION\AVATAR\car_attack_luncher01.ZMO
m_283_10,283,10,ATTACK01,car_attack_01,3DDATA\MOTION\AVATAR\car_attack_01.ZMO
m_283_11,283,11,ATTACK01,car_attack_01,3DDATA\MOTION\AVATAR\car_attack_01.ZMO
m_283_12,283,12,ATTACK01,car_attack_01,3DDATA\MOTION\AVATAR\car_attack_01.ZMO
m_283_13,283,13,ATTACK01,car_attack_01,3DDATA\MOTION\AVATAR\car_attack_01.ZMO
m_283_14,283,14,ATTACK01,car_attack_01,3DDATA\MOTION\AVATAR\car_attack_01.ZMO
m_283_15,283,15,ATTACK01,car_attack_01,3DDATA\MOTION\AVATAR\car_attack_01.ZMO
m_283_16,283,16,ATTACK01,car_attack_01,3DDATA\MOTION\AVATAR\car_attack_01.ZMO
m_283_17,283,17,ATTACK01,car_attack_01,3DDATA\MOTION\AVATAR\car_attack_01.ZMO
m_283_18,283,18,ATTACK01,car_attack_01,3DDATA\MOTION\AVATAR\car_attack_01.ZMO
m_283_19,283,19,ATTACK01,car_attack_01,3DDATA\MOTION\AVATAR\car_attack_01.ZMO
m_284_0,284,0,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_1,284,1,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_2,284,2,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_3,284,3,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_4,284,4,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_5,284,5,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_6,284,6,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_7,284,7,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_8,284,8,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_9,284,9,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_10,284,10,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_11,284,11,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_12,284,12,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_13,284,13,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_14,284,14,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_15,284,15,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_16,284,16,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_17,284,17,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_18,284,18,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_284_19,284,19,ATTACK02,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_0,285,0,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_1,285,1,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_2,285,2,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_3,285,3,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_4,285,4,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_5,285,5,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_6,285,6,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_7,285,7,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_8,285,8,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_9,285,9,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_10,285,10,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_11,285,11,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_12,285,12,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_13,285,13,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_14,285,14,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_15,285,15,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_16,285,16,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_17,285,17,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_18,285,18,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_285_19,285,19,ATTACK03,car_stop_01,3DDATA\MOTION\AVATAR\car_stop_01.ZMO
m_361_0,361,0,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_1,361,1,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_2,361,2,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_3,361,3,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_4,361,4,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_5,361,5,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_6,361,6,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_7,361,7,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_8,361,8,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_9,361,9,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_10,361,10,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_11,361,11,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_12,361,12,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_13,361,13,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_14,361,14,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
m_361_15,361,15,STOP1,Eagle_Avatar,3Ddata\PAT\CASTLEGEAR\EAGLE\Eagle_Avatar.ZMO
