,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durability,Rare Type,Defence,Magic Resistence,Move Speed,Item Set,Dynamic EQ,Trade Key,Expire,Effect,NPC,Space,Prefix,
Astarot Wings of Corruption,BACK\back_wing15_7.txt,,7,163,1000,0,10,16,3732,248,579,,,,,,,,,,,,,38,350,,39,500,50,,25,45,,,,,,,,,,LBAC26
Astarot Wings of Humility,BACK\back_wing15_8.txt,,,163,100000,0,10,65,3718,248,579,,,,,,,,31,170,,,,23,70,,10,10,60,,25,45,,,,,,,,,,LBAC27
Astarot Wings of Kindness,BACK\back_wing15_9.txt,,,163,100000,0,10,65,3719,248,579,,,,,,,,31,170,,,,23,70,,11,10,60,,25,45,,,,,,,,,,LBAC28
Astarot Wings of Forgiveness,BACK\back_wing15_10.txt,,,163,100000,0,10,65,3720,248,579,,,,,,,,31,170,,,,23,70,,12,10,60,,25,45,,,,,,,,,,LBAC29
Astarot Wings of Diligence,BACK\back_wing15_11.txt,,,163,100000,0,10,65,3721,248,579,,,,,,,,31,170,,,,23,70,,13,10,60,,25,45,,,,,,,,,,LBAC30
Astarot Wings of Charity,BACK\back_wing15_12.txt,,,163,100000,0,10,65,3722,248,579,,,,,,,,31,170,,,,23,70,,14,10,60,,25,45,,,,,,,,,,LBAC31
Astarot Wings of Temperance,BACK\back_wing15_13.txt,,,163,100000,0,10,65,3723,248,579,,,,,,,,31,170,,,,23,70,,15,10,60,,25,45,,,,,,,,,,LBAC32
Astarot Wings of Purity,BACK\back_wing15_14.txt,,,163,100000,0,10,65,3724,248,579,,,,,,,,31,170,,,,38,500,,39,750,60,10,25,45,,,,,,,,,,LBAC33
Raccoon Tail,,,,161,8000,0,10,25,5356,248,579,,,,,,,,31,25,,,,11,3,,20,2,40,,3,4,,,,,,,,,,LBAC34
Explorer Backpack,BACK\edeline_backpack.txt,,7,162,1000,0,10,56,3733,248,579,,,,,,,,,,,,,25,1000,,,,30,,10,2,,,,,,,,24,,LBAC35
Electric Ghost Backpack,BACK\electghost_backpack02.txt,,6,162,1000,0,25,59,3734,248,579,,,,,,,,,,,,,,,,,,30,,25,45,,,,,,,,,,LBAC36
Illusion Ghost Backpack,BACK\electghost_backpack01.txt,,7,161,1000,0,5,62,3735,248,579,,,,,,,,,,,,,,,,,,33,,25,45,,,,,,,,,,LBAC37
Ice Spirit Backshield,BACK\snowman_backpack.txt,,7,161,1000,0,5,64,3736,248,579,,,,,,,,,,,,,,,,,,36,,25,45,,,,,,,,,,LBAC38
Curious Backpack,BACK\monkey_backpack.txt,,7,161,1000,0,5,67,3737,248,579,,,,,,,,,,,,,,,,,,39,,25,45,,,,,,,,,,LBAC39
Insane Shaman Backshield,BACK\zombie_backpack.txt,,7,161,1000,0,20,70,3738,248,579,,,,,,,,,,,,,,,,,,42,,25,45,,,,,,,,,,LBAC40
Mammy Queen Backpack,BACK\mummy_backpack.txt,,6,162,1000,0,30,73,3739,248,579,,,,,,,,,,,,,23,50,,,,45,,25,45,,,,,,,,,,LBAC41
Varus Backshield,BACK\Tyrantmagic4_backshield.txt,,6,161,1000,0,50,54,3740,248,580,,,,,,,,,,,,,23,50,,,,31,,25,45,,,,,,,,,,LBAC42
Warship Backshield,BACK\yetityrant_backshield.txt,,6,161,0,0,50,57,3741,248,580,,,,,,,,,,,,,,,,,,75,,25,45,,,,,,,,,,LBAC43
Sikuku Psychic Backshield,BACK\s_shaman_backshield.txt,,7,161,1000,0,30,65,3742,248,580,,,,,,,,,,,,,38,100,,39,100,35,,45,15,,,,,,,,,,LBAC44
Turak Backshield,BACK\Turakwing.txt,,7,161,1000,0,50,71,3744,248,580,,,,,,,,,,,,,38,100,,18,8,37,,45,15,,,,,,,,,,LBAC45
Red Dragon Hunter Wings,BACK\back_wing20_r.txt,,7,163,1000,0,15,44,3745,248,579,,,,,,,,,,,,,23,50,,,,45,,25,45,,,,,,,,,,LBAC46
Blue Dragon Hunter Wings,BACK\back_wing20_b.txt,,7,163,1000,0,15,44,3746,248,579,,,,,,,,,,,,,23,50,,,,45,,25,45,,,,,,,,,,LBAC47
Frost Wyrm Wing,BACK\Fronzenwing.txt,,6,163,1000,0,20,30,3747,248,579,,,,,,,,,,,,,23,50,,,,50,,10,10,,,,,,,,,,LBAC48
Xita Dragon Wing,BACK\XitaWing.txt,,,163,156800,0,20,73,3748,248,579,,,,,,,,31,153,,,,23,120,,26,12,65,,18,27,,,,,,,,,,LBAC49
Hook Wing,BACK\Hookerwing.txt,,,163,136000,0,20,76,5360,248,579,,,446,30,,,,31,146,,,,23,70,,24,5,65,,14,19,,,,,,,,,,LBAC50
Gargoyle Wing,BACK\Gargoyle_Fighterwing.txt,,,163,1000,0,20,79,3750,248,579,,,,,,,,31,165,,,,23,50,,19,30,30,,28,39,,,,,,,,,,LBAC51
Eudy Fairy Wing,BACK\Eudywing.txt,,6,163,1000,0,20,82,3751,248,579,,,,,,,,,,,,,23,50,,,,24,,25,45,,,,,,,,,,LBAC52
Mighty Hook Wings,BACK\Hookwing.txt,,,163,189000,0,25,76,5361,248,579,,,447,35,,,,31,146,,,,23,100,,24,10,65,,19,24,,,,,,,,,,LBAC53
Pumpkin Backpack,BACK\back_pack060.txt,,6,162,1000,0,2,25,3753,248,579,,,,,,,,,,,,,25,400,,,,23,,1,5,,,,,,,,,,LBAC54
Pumpkin Wings,BACK\back_wing190.txt,,6,163,1000,0,2,25,3752,248,579,,,,,,,,,,,,,23,50,,,,45,,5,5,,,,,,,,,,LBAC55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Butterfly Wings,BACK\back_wing01_b.txt,,7,163,1000,0,5,30,3754,248,579,,,,,,,,,,,,,23,50,,12,8,30,,25,22,,,,,,,,,,LBAC57
Emerald Butterfly Wings,BACK\back_wing01_g.txt,,7,163,1000,0,5,30,3755,248,579,,,,,,,,,,,,,23,50,,15,8,30,,25,22,,,,,,,,,,LBAC58
Ruby Butterfly Wings,BACK\back_wing01_r.txt,,7,163,1000,0,5,30,3757,248,579,,,,,,,,,,,,,23,50,,10,8,30,,25,22,,,,,,,,,,LBAC59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frost Wyrm Wing,BACK\Fronzenwing.txt,,6,163,1000,0,20,66,3747,248,579,,,,,,,,,,,,,23,50,,,,19,,25,45,,,,,,,,,,LBAC48
Queen Bibi's Wings,BACK\BACK_mjQB.txt,,7,163,0,0,0,0,4786,248,579,,,,,,,,,,,,,23,70,,,,30,,15,25,,,,,,,,,,LBAC62
Cherub Wings,BACK\back_wing190.txt,,6,163,0,0,2,18,7375,248,579,,,,,,,,,,,,,23,35,,,,25,,0,2,,,,,,,,,,LBAC063
Purple Cupid Wings,BACK\yunmao_wing.txt,,6,163,1152,0,2,10,8807,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC064
Pink Purple Cupid Wings,BACK\yunmao_wing.txt,,6,163,1152,0,2,10,8173,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC065
Egg Bag,BACK\eggback.txt,,6,162,100,0,1,20,798,248,579,,,,,,,,,,,,,25,300,,,,30,,1,1,,,,,,,,,,LBAC066
Cupid Wings,BACK\yunmao_wing.txt,,6,163,0,0,2,10,4277,248,579,,,,,,,,,,,,,23,45,,,,75,,3,7,,,,,,,,,,LBAC067
Black Leather Bag,BACK\back_F0821.txt,,6,162,0,0,10,10,3045,248,579,,,,,,,,,,,,,25,600,,,,75,,10,10,,,,,,,,,,LBAC068
Red Leather Bag,BACK\back_F0822.txt,,6,162,0,0,10,10,3549,248,579,,,,,,,,,,,,,25,600,,,,75,,10,10,,,,,,,,,,LBAC069
Pink Leather Bag,BACK\back_F0851.txt,,6,162,0,0,10,10,3550,248,579,,,,,,,,,,,,,25,600,,,,75,,10,10,,,,,,,,,,LBAC070
Tiger Bag,,,6,162,0,0,10,40,9006,248,579,,,,,,,,,,,,,,,,,,75,,1,1,,,,,,,,,,LBAC071
Kappa Backshield,,,,161,4000,0,10,23,9488,248,579,,,,,,,,31,14,,,,38,20,,,,40,,7,1,,,,,,,,,,LBAC072
????1??-????03,,,,161,2600,0,,45,,,,,2,,,42,,,31,30,,,,,,,,,34,,7,2,,,,,,,,,,
????1??-????04,,,,161,3450,0,,50,,,,,3,,,42,,,31,40,,,,,,,,,38,,8,2,,,,,,,,,,
Penguin Backpack,BACK\back_penguin.txt,,,162,0,0,5,16,4226,248,,,,,,,,,,,,,,25,1150,,,,100,,12,12,,,,,,,,,,LBAC75
Astarot Green Wing,BACK\back_wing23.txt,,,163,0,0,20,16,4227,248,,,,,,,,,,,,,,23,90,,,,100,,25,41,,,,,,,,,,LBAC76
Astarot Purple Wing,BACK\back_wing22.txt,,,163,0,0,20,16,4228,248,,,,,,,,,,,,,,23,90,,,,100,,25,41,,,,,,,,,,LBAC77
Brown Kitten Backpack,BACK\schoolEvent\backpack_kitten_brown.txt,,6,162,0,0,5,16,4229,248,,,,,,,,,,,,,,25,600,,,,75,,10,20,,,,,,,,,,LBAC78
Gray Kitten Backpack,BACK\schoolEvent\backpack_kitten_gray.txt,,6,162,0,0,5,16,4230,248,,,,,,,,,,,,,,25,600,,,,75,,10,20,,,,,,,,,,LBAC79
Black Panda Backpack,BACK\schoolEvent\backpack_panda_black.txt,,6,162,0,0,5,16,4231,248,,,,,,,,,,,,,,25,600,,,,75,,10,20,,,,,,,,,,LBAC80
Coffin of the Undead,BACK/back_Coffin_Cross_Backpack.txt,,6,161,1000,0,25,16,4232,248,579,,,,,,,,,,,,,,,,,,30,,10,1,,,,,,,,,,LBAC81
Summer Backpack,BACK\back_summer_backpack.txt,,6,162,0,0,20,16,4925,248,,,,,,,,,,,,,,14,20,,25,700,30,,2,1,,,,,,,,,,LBAC82
Santa Christmas Bag,BACK\back_gmSanta.txt,,6,162,0,0,,16,4472,248,,,,,,,,,,,,,,,,,,,27,,1,1,,,,,,,,,,LBAC83
Christmas Wreath,BACK\back_wreath.txt,,6,161,1000,0,15,25,4473,248,579,,,,,,,,,,,,,38,100,,19,20,23,,1,1,,,,,,,,,,LBAC84
Snowflake,BACK\back_snowflake.txt,,6,161,1000,0,1,25,4474,248,579,,,,,,,,,,,,,39,250,,22,20,20,,1,1,,,,,,,,,,LBAC85
Gingerbread Man,BACK\back_gingerbread.txt,,6,161,1000,0,5,16,4475,248,579,,,,,,,,,,,,,38,150,,22,10,25,,1,1,,,,,,,,,,LBAC86
Gingerbread Bag,BACK\back_gingerbread.txt,,6,162,1000,0,5,16,7706,248,579,,,,,,,,,,,,,,,,,,25,,1,1,,,,,,,,,,LBAC87
Heart Balloons,BACK\heart_balloons.txt,,6,161,100,0,2,25,7733,248,579,,,,,,,,,,,,,,,,,,25,,0,0,,,,,,,,,,LBAC88
Small Bee Wing,,,6,163,0,0,2,10,2785,248,579,,,,,,,,,,,,,23,35,,,,75,,5,5,,,,,,,,,,LBAC089
Moo Pig Bag,,,6,162,0,0,10,40,3046,248,579,,,,,,,,,,,,,,,,,,75,,1,1,,,,,,,,,,LBAC090
Chocolate Tower,,,6,161,0,0,10,10,3047,248,579,,,,,,,,,,,,,,,,,,50,,2,1,,,,,,,,,,LBAC091
Shoulder Duckling,,,6,160,0,0,2,10,3620,248,579,,,,,,,,,,,,,,,,,,75,,1,1,,,,,,,,,,LBAC092
Shoulder Mouse,,,6,160,0,0,2,10,3621,248,579,,,,,,,,,,,,,,,,,,75,,1,1,,,,,,,,,,LBAC093
Dark Cupid Wings,,,6,163,0,0,2,10,3978,248,579,,,,,,,,,,,,,23,45,,,,75,,3,7,,,,,,,,,,LBAC094
Shoulder Chipmunk,,,6,160,0,0,2,10,3991,248,579,,,,,,,,,,,,,,,,,,75,,1,1,,,,,,,,,,LBAC095
High School Bag,,,6,162,0,0,10,10,4347,248,579,,,,,,,,,,,,,25,300,,,,75,,1,1,,,,,,,,,,LBAC096
Bronze Trophy,,,6,160,0,0,2,10,8742,248,579,,,,,,,,,,,,,,,,,,75,,1,1,,,,,,710,,,,LBAC097
Silver Trophy,,,6,160,0,0,2,10,8743,248,579,,,,,,,,,,,,,,,,,,75,,1,1,,,,,,711,,,,LBAC098
Gold Trophy,,,6,160,0,0,2,10,8744,248,579,,,,,,,,,,,,,,,,,,75,,1,1,,,,,,712,,,,LBAC099
Force Ring Backshield,BACK \force_ring.txt,,,161,1000000,0,45,93,5561,248,580,,,449,50,,,,31,200,,,,38,150,,20,15,75,,64,32,,,,,,,,,,LBAC100
Damned Angel Wings,BACK\damned_aw.txt,,,163,1000000,0,40,93,5560,248,579,,,450,50,,,,31,185,,,,23,175,,62,30,75,,23,42,,,,,,,,,,LBAC101
Reinforced Miners' Bag,BACK\hydralizer.txt,,,162,1000000,0,45,93,5559,248,579,,,451,35,,,,31,120,,,,25,1300,,14,35,75,,25,23,,,,,,708,,24,,LBAC102
Steel Ossuary,BACK\back_elc_boss01.txt,,,162,115110,0,40,96,9655,248,579,,,,,,,,31,146,,,,25,1600,,19,15,75,,25,23,,,,,,,,24,,LBAC819
????3??-??????????,,,,161,115350,0,,113,,,,,14,,,24,,,31,165,,,,,,,,,88,,35,10,,,,,,,,,,
Dark Plasma Wings,DemonPlasmaticWing.txt,,,163,421654,0,35,75,5306,248,579,,,,,,,,31,187,,,,23,190,,26,10,75,,37,45,,,,,,,,,,LBAC105
Forest Dragon Wings,Dragon_wing_Elven.txt,,,163,200321,0,40,70,5307,248,579,,,,,,,,31,160,,,,23,120,,15,6,70,,28,39,,,,,,,,,,LBAC106
Aurum Plate Backshield,BACK\back_soldier200.txt,,,161,143950,0,40,82,4830,248,580,,,,,51,,,31,220,,,,38,200,,20,18,75,,65,35,,,,,,,,,,LBAC107
Oro's Walker Ring Backshield,BACK\back_muse200.txt,,,161,143950,0,20,82,4831,248,580,,,,,52,,,31,220,,,,38,200,,12,10,75,,34,68,,,,,,,3780,,,LBAC108
Raptor Bones Backshield,BACK\back_hawker200.txt,,,161,143950,0,20,82,4832,248,580,,,,,53,,,31,220,,,,38,200,,22,15,75,,51,40,,,,,,,,,,LBAC109
Mercenary's Traveling Backpack,BACK\back_dealer200.txt,,,162,143950,0,40,82,4833,248,579,,,,,54,,,31,220,,,,25,1500,,63,2,75,,35,39,,,,,,,,30,,LBAC110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wings of the Skaajan Phoenix,BACK\back_fashion_wing013.txt,,,163,250000,0,15,70,6214,248,579,,,,760,,,,31,100,,,,23,120,,22,10,60,5,20,30,,,,,,,,,,LBAC112
Wings of the Karkian Phoenix,BACK\back_fashion_wing013.txt,,,163,250000,0,15,70,6216,248,579,,,,760,,,,31,100,,,,23,120,,20,10,60,5,20,30,,,,,,,,,,LBAC113
Wings of the Lunarian Phoenix,BACK\back_fashion_wing013.txt,,,163,250000,0,15,70,6215,248,579,,,,760,,,,31,100,,,,23,120,,24,10,60,5,20,30,,,,,,,,,,LBAC114
Wings of the Hebarnian Phoenix,BACK\back_fashion_wing013.txt,,,163,250000,0,15,70,6217,248,579,,,,760,,,,31,100,,,,23,120,,18,15,60,5,20,30,,,,,,,,,,LBAC115
Blood Dragon Wings,Dragon_wing_Blood.txt,,,163,200000,0,40,70,6152,248,579,,,,,,,,31,160,,,,23,120,,19,10,70,,28,39,,,,,,,,,,LBAC116
Hydratic Dragon Wings,Dragon_wing_Hydratic.txt,,,163,200000,0,40,70,6153,248,579,,,,,,,,31,160,,,,23,120,,20,6,70,,28,39,,,,,,,,,,LBAC117
Sunlight Dragon Wings,Dragon_wing_Sunlight.txt,,,163,200000,0,40,70,6154,248,579,,,,,,,,31,160,,,,23,120,,38,100,70,,28,39,,,,,,,,,,LBAC118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Aurum Plate Backshield,BACK\back_soldier200.txt,,,161,143950,0,40,82,4830,248,580,,,,,51,,,31,225,,,,38,300,,20,25,75,,73,43,,,,,,,,,7,LBAC107
Holy Oro's Walker Ring Backshield,BACK\back_muse200.txt,,,161,143950,0,20,82,4831,248,580,,,,,52,,,31,225,,,,38,300,,12,10,75,,42,76,,,,,,,3780,,7,LBAC108
Holy Raptor Bones Backshield,BACK\back_hawker200.txt,,,161,143950,0,20,82,4832,248,580,,,,,53,,,31,225,,,,38,300,,22,20,75,,59,48,,,,,,,,,7,LBAC109
Holy Mercenary's Traveling Backpack,BACK\back_dealer200.txt,,,162,143950,0,40,82,4833,248,579,,,,,54,,,31,225,,,,25,2000,,63,2,75,,43,47,,,,,,,,30,7,LBAC110
????2??-????????,,,,161,38800,0,,85,,,,,9,,,15,,,31,105,,,,,,,,,69,,24,4,,,,,,,,,,
????2??-????????,,,,161,48500,0,,90,,,,,10,,,15,,,31,115,,,,,,,,,73,,26,5,,,,,,,,,,
????2??-??????????,,,,161,14850,0,,69,,,,,6,,,16,,,31,75,,,,,,,,,56,,16,3,,,,,,,,,,
????2??-??????????,,,,161,21650,0,,74,,,,,7,,,16,,,31,85,,,,,,,,,61,,19,3,,,,,,,,,,
????2??-??????????,,,,161,28150,0,,79,,,,,8,,,16,,,31,95,,,,,,,,,65,,21,4,,,,,,,,,,
????2??-??????????,,,,161,38800,0,,85,,,,,9,,,16,,,31,105,,,,,,,,,69,,24,4,,,,,,,,,,
????2??-??????????,,,,161,48500,0,,90,,,,,10,,,16,,,31,115,,,,,,,,,73,,26,5,,,,,,,,,,
????3??-????,,,,161,57750,0,,93,,,,,10,,,58,,,31,120,,,,,,,,,76,,28,5,,,,,,,,,,
????3??-????,,,,161,70550,0,,98,,,,,11,,,58,,,31,130,,,,,,,,,80,,30,6,,,,,,,,,,
????3??-????,,,,161,95400,0,,104,,,,,12,,,58,,,31,140,,,,,,,,,84,,34,6,,,,,,,,,,
????3??-????,,,,161,119600,0,,109,,,,,13,,,58,,,31,150,,,,,,,,,89,,37,7,,,,,,,,,,
????3??-??????????,,,,161,64000,0,,96,,,,,11,,,25,,,31,125,,,,,,,,,78,,29,5,,,,,,,,,,
????3??-??????????,,,,161,82300,0,,101,,,,,11,,,25,,,31,135,,,,,,,,,82,,32,6,,,,,,,,,,
????3??-??????????,,,,161,104000,0,,106,,,,,12,,,25,,,31,145,,,,,,,,,86,,35,7,,,,,,,,,,
????3??-??????????,,,,161,130100,0,,112,,,,,13,,,25,,,31,155,,,,,,,,,91,,38,7,,,,,,,,,,
????3??-??????????,,,,161,167000,0,,117,,,,,14,,,25,,,31,165,,,,,,,,,95,,42,8,,,,,,,,,,
????3??-????????????,,,,161,64000,0,,96,,,,,11,,,26,,,31,125,,,,,,,,,78,,29,5,,,,,,,,,,
????3??-????????????,,,,161,82300,0,,101,,,,,11,,,26,,,31,135,,,,,,,,,82,,32,6,,,,,,,,,,
????3??-????????????,,,,161,104000,0,,106,,,,,12,,,26,,,31,145,,,,,,,,,86,,35,7,,,,,,,,,,
????3??-????????????,,,,161,130100,0,,112,,,,,13,,,26,,,31,155,,,,,,,,,91,,38,7,,,,,,,,,,
????3??-????????????,,,,161,167000,0,,117,,,,,14,,,26,,,31,165,,,,,,,,,95,,42,8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrell Propeller Booster,BACK\purrel_jet_0805_wa.txt,,,162,40000,0,15,35,7783,248,580,,,,,,,,31,120,114,20,,23,80,,25,800,60,,10,8,,,,,,,3798,18,,LBAC146
Righteous Protection,BACK\righteous_back_1126_wa.txt,,,161,40000,0,20,35,7780,248,580,,,,100,,,,31,99,114,0,,10,4,,38,100,55,,41,20,,,,,,,,,,LBAC147
Kelo Backitem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Disguise Kit Don't Edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
????1??-????01,,,,161,1200,0,,33,,,,,0,,,44,,,31,10,,,,,,,,,26,,5,1,,,,,,,,,,
????1??-????02,,,,161,1700,0,,38,,,,,1,,,44,,,31,20,,,,,,,,,30,,6,1,,,,,,,,,,
????1??-????03,,,,162,2500,0,,43,,,,,2,,,44,,,31,30,,,,,,,,,34,,8,1,,,,,,,,,,
????1??-????04,,,,161,3950,0,,48,,,,,3,,,44,,,31,40,,,,,,,,,38,,9,2,,,,,,,,,,
????1????,,,,161,5900,0,,53,,,,,4,,,44,,,31,50,,,,,,,,,42,,11,2,,,,,,,,,,
????1????,,,,161,8550,0,,58,,,,,5,,,44,,,31,60,,,,,,,,,46,,13,2,,,,,,,,,,
????2??-????,,,,161,10750,0,,63,,,,,6,,,54,,,31,70,,,,,,,,,50,,14,3,,,,,,,,,,
????2??-????,,,,161,14600,0,,68,,,,,7,,,54,,,31,80,,,,,,,,,54,,16,3,,,,,,,,,,
????2??-????,,,,161,21500,0,,73,,,,,7,,,54,,,31,90,,,,,,,,,58,,19,4,,,,,,,,,,
????2??-????,,,,161,27600,0,,78,,,,,8,,,54,,,31,100,,,,,,,,,62,,21,4,,,,,,,,,,
????2??-??????????,,,,161,12650,0,,66,,,,,6,,,17,,,31,75,,,,,,,,,52,,15,3,,,,,,,,,,
????2??-??????????,,,,161,18650,0,,71,,,,,7,,,17,,,31,85,,,,,,,,,56,,18,3,,,,,,,,,,
????2??-??????????,,,,161,24550,0,,76,,,,,8,,,17,,,31,95,,,,,,,,,60,,20,4,,,,,,,,,,
????2??-??????????,,,,161,31250,0,,81,,,,,9,,,17,,,31,105,,,,,,,,,64,,22,4,,,,,,,,,,
????2??-??????????,,,,161,42600,0,,86,,,,,10,,,17,,,31,115,,,,,,,,,68,,25,5,,,,,,,,,,
????2??-????????,,,,161,12650,0,,66,,,,,6,,,18,,,31,75,,,,,,,,,52,,15,3,,,,,,,,,,
????2??-????????,,,,161,18650,0,,71,,,,,7,,,18,,,31,85,,,,,,,,,56,,18,3,,,,,,,,,,
????2??-????????,,,,161,24550,0,,76,,,,,8,,,18,,,31,95,,,,,,,,,60,,20,4,,,,,,,,,,
????2??-????????,,,,161,31250,0,,81,,,,,9,,,18,,,31,105,,,,,,,,,64,,22,4,,,,,,,,,,
????2??-????????,,,,161,42600,0,,86,,,,,10,,,18,,,31,115,,,,,,,,,68,,25,5,,,,,,,,,,
????3??-????,,,,161,47000,0,,88,,,,,10,,,59,,,31,120,,,,,,,,,70,,26,5,,,,,,,,,,
????3??-????,,,,161,61250,0,,93,,,,,11,,,59,,,31,130,,,,,,,,,74,,29,5,,,,,,,,,,
????3??-????,,,,162,1500,0,,98,,,,,12,,,59,,,31,140,,,,,,,,,78,,31,6,,,,,,,,,,
????3??-????,,,,161,94700,0,,103,,,,,13,,,59,,,31,150,,,,,,,,,82,,34,7,,,,,,,,,,
????3??-????????????,,,,161,52350,0,,91,,,,,11,,,27,,,31,125,,,,,,,,,72,,27,5,,,,,,,,,,
????3??-????????????,,,,161,68350,0,,96,,,,,11,,,27,,,31,135,,,,,,,,,84,,30,6,,,,,,,,,,
????3??-????????????,,,,161,86700,0,,101,,,,,12,,,27,,,31,145,,,,,,,,,80,,33,6,,,,,,,,,,
????3??-????????????,,,,161,109000,0,,106,,,,,13,,,27,,,31,155,,,,,,,,,84,,36,7,,,,,,,,,,
????3??-????????????,,,,161,135100,0,,111,,,,,14,,,27,,,31,165,,,,,,,,,88,,39,8,,,,,,,,,,
