,,,,441,,,,Usestring,Icon,LUA,SysMsg,,,,,,,,,,,,,,,,,,,,,Description
?????? ??????,,,,441,,,,,1731,,,,,,,,,,,,,,,,,,,,,,5127,
?????? ????,,,,441,,,,,1732,,,,,,,,,,,,,,,,,,,,,,5128,
?????? ????,,,,441,,,,,1733,,,,,,,,,,,,,,,,,,,,,,5129,
?????? ????,,,,441,,,,,1734,,,,,,,,,,,,,,,,,,,,,,5130,
Fainted Cerberus,,,,441,,,,,5317,,,,,,,,,,,,,,,,,,,,,,,LQIT041
Broken Ancient Tablet II,,,,441,,,,,5315,,,,,,,,,,,,,,,,,,,,,,,LQIT042
Broken Ancient Tablet I,,,,441,,,,,5314,,,,,,,,,,,,,,,,,,,,,,,LQIT043
Relic's Recipe,,,,441,,,,,5285,,1,,,,,,,,,,,,,,,,,,,,,LQIT044
Enchanted Herb,,,,441,,,,,5284,,1,,,,,,,,,,,,,,,,,,,,,LQIT045
Amun Feather,,,,441,,,,,5283,,,,,,,,,,,,,,,,,,,,,,,LQIT046
Translated Relic's Recipe,,,,441,,,,,5286,,,,,,,,,,,,,,,,,,,,,,,LQIT047
Soul Amber,,,,441,,,,,5287,,,,,,,,,,,,,,,,,,,,,,,LQIT048
Cerberus Tooth Necklace,,,,441,,,,2341,9757,82,,,,,,,,,,,,,,,,,,,,,,LQIT049
Woopie Cloth,,,,441,,,,,3820,,,,,,,,,,,,,,,,,,,,,,,LQIT050
HoneyBee Nectar,,,,441,,,,,3814,,,,,,,,,,,,,,,,,,,,,,,LQIT051
Aqua Skin,,,,441,,,,,3809,,,,,,,,,,,,,,,,,,,,,,,LQIT052
Rackie Bat,,,,441,,,,,3816,,,,,,,,,,,,,,,,,,,,,,,LQIT053
Turtle Back,,,,441,,,,,3819,,,,,,,,,,,,,,,,,,,,,,,LQIT054
Jewellery Box,,,,441,,,,,2309,,,,,,,,,,,,,,,,,,,,,,,LQIT055
Lampas Milk,,,,441,,,,,3812,,,,,,,,,,,,,,,,,,,,,,,LQIT056
Animal Fur,,,,441,,,,,1984,,,,,,,,,,,,,,,,,,,,,,,LQIT057
,,,,441,,,,,3812,,,,,,,,,,,,,,,,,,,,,,,LQIT058
,,,,441,,,,,3812,,,,,,,,,,,,,,,,,,,,,,,LQIT059
Captured Moldie,,,,441,,,,,4316,,,,,,,,,,,,,,,,,,,,,,,LQIT060
A Mining Axe,,,,441,,,,,4317,,,,,,,,,,,,,,,,,,,,,,,LQIT061
Guardian Tree Sap,,,,441,,,,,4318,,,,,,,,,,,,,,,,,,,,,,,LQIT062
Ranger Clown Bow,,,,441,,,,,4319,,,,,,,,,,,,,,,,,,,,,,,LQIT063
Kaiman Meat,,,,441,,,,,4320,,,,,,,,,,,,,,,,,,,,,,,LQIT064
Doonga Meat,,,,441,,,,,4321,,,,,,,,,,,,,,,,,,,,,,,LQIT065
Krawfy King Claw,,,,441,,,,,4327,,,,,,,,,,,,,,,,,,,,,,,LQIT066
Head Sample,,,,441,,,,,4322,,,,,,,,,,,,,,,,,,,,,,,LQIT067
Gem Sample,,,,441,,,,,4323,,,,,,,,,,,,,,,,,,,,,,,LQIT068
Glow Dust Sample,,,,441,,,,,4324,,,,,,,,,,,,,,,,,,,,,,,LQIT069
Boulder Sample,,,,441,,,,,4325,,,,,,,,,,,,,,,,,,,,,,,LQIT070
Feet Sample,,,,441,,,,,4326,,,,,,,,,,,,,,,,,,,,,,,LQIT071
Master Stone Golem Rock,,,,441,,,,,4329,,,,,,,,,,,,,,,,,,,,,,,LQIT072
Worm Dragon Wing,,,,441,,,,,4330,,,,,,,,,,,,,,,,,,,,,,,LQIT073
Grandmaster Goblin Crest,,,,441,,,,,4331,,,,,,,,,,,,,,,,,,,,,,,LQIT074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Pumpkin,,,,441,,,,,5325,,,,,,,,,,,,,,,,,,,,,,,LQIT080
A Pumpkin,,,,441,,,,,4355,,,,,,,,,,,,,,,,,,,,,,,LQIT080
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Crystal,,,,441,,,,,5918,,1,,,,,,,,,,,,,,,,,,,,,LQIT082
Broken Sculpture,,,,441,,,,,5919,,,,,,,,,,,,,,,,,,,,,,,LQIT083
Fixed Sculpture,,,,441,,,,,5919,,,,,,,,,,,,,,,,,,,,,,,LQIT084
Present #1,,,,441,,,,,9030,,,,,,,,,,,,,,,,,,,,,,,LQIT085
Present #2,,,,441,,,,,5753,,,,,,,,,,,,,,,,,,,,,,,LQIT086
Present #3,,,,441,,,,,9031,,,,,,,,,,,,,,,,,,,,,,,LQIT087
Present #4,,,,441,,,,,5754,,,,,,,,,,,,,,,,,,,,,,,LQIT088
Present #5,,,,441,,,,,5753,,,,,,,,,,,,,,,,,,,,,,,LQIT089
Reindeer Dust,,,,441,,,,,4487,,,,,,,,,,,,,,,,,,,,,,,LQIT090
Rudolph Clothing,,,,441,,,,,4488,,,,,,,,,,,,,,,,,,,,,,,LQIT091
Christmas Spirit,,,,441,,,,,4489,,1,,,,,,,,,,,,,,,,,,,,,LQIT092
Snowman Legs,,,,441,,,,,5920,,1,,,,,,,,,,,,,,,,,,,,,LQIT093
Snowman Firecracker,,,,441,,,,,5924,17,,,,,,,,,,,,,,,,,,,,,,LQIT094
Santa Disguise Kit,,,,441,,,,2258,5925,19,,,,,,,,,,,,,,,,,,,,,,LQIT095
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mildun's Recommendation,,,,441,,,,,1691,,,,,,,,,,,,,,,,,,,,,,,LQIT098
Mairard's Certification,,,,441,,,,,1692,,,,,,,,,,,,,,,,,,,,,,,LQIT099
Luce's certification,,,,441,,,,,1693,,,,,,,,,,,,,,,,,,,,,,,LQIT100
Identification,,,,441,,,,,9158,,,,,,,,,,,,,,,,,,,,,,801,LQIT101
Soldier Job Recommendation,,,,441,,,,,1691,,,,,,,,,,,,,,,,,,,,,,854,LQIT102
HoneyBee Stinger,,,,441,,,,,2002,,,,,,,,,,,,,,,,,,,,,,"852, 952",LQIT103
Small Spearhead,,,,441,,,,,1084,,,,,,,,,,,,,,,,,,,,,,853,LQIT104
Nectar of Deep Sleep,,,,441,,,,,1868,,,,,,,,,,,,,,,,,,,,,,904,LQIT105
Flanae Seed,,,,441,,,,,1983,,,,,,,,,,,,,,,,,,,,,,902,LQIT106
Pomic Fluid,,,,441,,,,,1600,,,,,,,,,,,,,,,,,,,,,,903,LQIT107
Tarren Earring,,,,441,,,,,860,,,,,,,,,,,,,,,,,,,,,,953,LQIT108
Dealer Job Recommendation,,,,441,,,,,1692,,,,,,,,,,,,,,,,,,,,,,1004,LQIT109
Pomic Skin,,,,441,,,,,2000,,,,,,,,,,,,,,,,,,,,,,1002,LQIT110
Small Metal Board,,,,441,,,,,1759,,,,,,,,,,,,,,,,,,,,,,1003,LQIT111
Fleece,,,,441,,,,,1807,,,,,,,,,,,,,,,,,,,,,,1003,LQIT112
Mina's Ruby,,,,441,,,,,6675,,,,,,,,,,,,,,,,,,,,,,954,LQIT113
Crystal Necklace,,,,441,,,,,884,,,,,,,,,,,,,,,,,,,,,,955,LQIT114
Rackie's Tail Fur,,,,441,,,,,2007,,,,,,,,,,,,,,,,,,,,,,1005,LQIT115
Cobra Leather,,,,441,,,,,1811,,,,,,,,,,,,,,,,,,,,,,1006,LQIT116
Crack Feeler,,,,441,,,,,1974,,,,,,,,,,,,,,,,,,,,,,1007,LQIT117
Aqua Molar,,,,441,,,,,2028,,,,,,,,,,,,,,,,,,,,,,857,LQIT118
Stone of Nature (Fire),,,,441,,,,,1932,,,,,,,,,,,,,,,,,,,,,,906,LQIT119
Stone of Nature (Water),,,,441,,,,,1929,,,,,,,,,,,,,,,,,,,,,,906,LQIT120
Stone of Nature (Earth),,,,441,,,,,1931,,,,,,,,,,,,,,,,,,,,,,906,LQIT121
Old Horse Saddle,,,,441,,,,,2029,,1,,,,,,,,,,,,,,,,,,,,858,LQIT122
Rusted Iron Helmet,,,,441,,,,,3619,,1,,,,,,,,,,,,,,,,,,,,858,LQIT123
Single Leather Boot,,,,441,,,,,676,,1,,,,,,,,,,,,,,,,,,,,858,LQIT124
Old Leather Diary,,,,441,,,,2320,1558,47,1,,,,,,,,,,,,,,,,,,,,858,LQIT125
Hovert's Belt,,,,441,,,,,253,,,,,,,,,,,,,,,,,,,,,,858,LQIT126
Hovert's Necklace,,,,441,,,,,884,,,,,,,,,,,,,,,,,,,,,,858,LQIT127
Hovert's Letter,,,,441,,,,,2070,,,,,,,,,,,,,,,,,,,,,,859,LQIT128
Pumpkin Seed,,,,441,,,,,1983,,,,,,,,,,,,,,,,,,,,,,853 903,LQIT129
Crystal Dew,,,,441,,,,,1996,,,,,,,,,,,,,,,,,,,,,,952,LQIT130
Queen Bibi's Staff,,,,441,,,,,1113,,,,,,,,,,,,,,,,,,,,,,857,LQIT131
Beetle Shell,,,,441,,,,,2000,,,,,,,,,,,,,,,,,,,,,,1005,LQIT132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choropy Doll Head,,,,441,,,,,5320,,,,,,,,,,,,,,,,,,,,,,,LQIT134
Choropy Doll Body,,,,441,,,,,5321,,,,,,,,,,,,,,,,,,,,,,,LQIT135
Choropy Doll Tail,,,,441,,,,,5322,,,,,,,,,,,,,,,,,,,,,,,LQIT136
Choropy Doll Antenna,,,,441,,,,,5323,,,,,,,,,,,,,,,,,,,,,,,LQIT137
Kelly Choropy Doll,,,,441,,,,,5324,,,,,,,,,,,,,,,,,,,,,,,LQIT138
Lucky Charm,,,,441,,,,,5328,,,,,,,,,,,,,,,,,,,,,,,LQIT139
Videotape,,,,441,,,,,5327,,1,,,,,,,,,,,,,,,,,,,,,LQIT140
Lost Present,,,,441,,,,,5915,,,,,,,,,,,,,,,,,,,,,,,LQIT141
Treasure Map,,,,441,,,,2315,5325,11,,,,,,,,,,,,,,,,,,,,,,LQIT142
Spade,,,,441,,,,,6677,13,,,,,,,,,,,,,,,,,,,,,,LQIT143
Choropy Doll Head,,,,441,,,,2318,5320,30,,,,,,,,,,,,,,,,,,,,,,LQIT134
Red Jelly,,,,441,,,,,9146,,1,,,,,,,,,,,,,,,,,,,,,LQIT145
Jar of Red Jelly,,,,441,,,,,9152,,,,,,,,,,,,,,,,,,,,,,,LQIT146
Gods and Heroes Book,,,,441,,,,2311,9150,70,,,,,,,,,,,,,,,,,,,,,,LQIT147
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid's Crown,,,,441,,,,,253,,1,,,,,,,,,,,,,,,,,,,,,LQIT201
Fragment of Lucid's Sword (1),,,,441,,,,,2030,,1,,,,,,,,,,,,,,,,,,,,,LQIT202
Fragment of Lucid's Sword (2),,,,441,,,,,2031,,1,,,,,,,,,,,,,,,,,,,,,LQIT203
Fragment of Lucid's Sword (3),,,,441,,,,,2031,,1,,,,,,,,,,,,,,,,,,,,,LQIT204
Fragment of Lucid's Sword (4),,,,441,,,,,2031,,1,,,,,,,,,,,,,,,,,,,,,LQIT205
Fragment of Lucid's Sword (5),,,,441,,,,,2032,,1,,,,,,,,,,,,,,,,,,,,,LQIT206
Lucid's Sword,,,,441,,,,,1054,,,,,,,,,,,,,,,,,,,,,,,LQIT207
Token of Friendship,,,,441,,,,,1916,,1,,,,,,,,,,,,,,,,,,,,,LQIT208
Jones' Recommendation,,,,441,,,,,1690,,,,,,,,,,,,,,,,,,,,,,,LQIT209
Namielle's Wedding Ring,,,,441,,,,,827,,1,,,,,,,,,,,,,,,,,,,,,LQIT210
Old Priest Chain,,,,441,,,,,2033,,1,,,,,,,,,,,,,,,,,,,,,LQIT211
Hairpin of Oblivious,,,,441,,,,,2034,,,,,,,,,,,,,,,,,,,,,,,LQIT212
Mina's Recommendation,,,,441,,,,,1691,,,,,,,,,,,,,,,,,,,,,,,LQIT213
Kirnale's Journal (Vol. 1),,,,441,,,,,1703,,1,,,,,,,,,,,,,,,,,,,,,LQIT214
Kirnale's Journal (Vol. 2),,,,441,,,,,1704,,1,,,,,,,,,,,,,,,,,,,,,LQIT215
Kirnale's Journal (Vol. 3),,,,441,,,,,1705,,1,,,,,,,,,,,,,,,,,,,,,LQIT216
Kirnale's Journal (Vol. 4),,,,441,,,,,1704,,1,,,,,,,,,,,,,,,,,,,,,LQIT217
Kirnale's Journal (Vol. 5),,,,441,,,,,1703,,1,,,,,,,,,,,,,,,,,,,,,LQIT218
Phoenix Writing Quill,,,,441,,,,,2035,,1,,,,,,,,,,,,,,,,,,,,,LQIT219
Kirnale's Compass,,,,441,,,,,2036,,1,,,,,,,,,,,,,,,,,,,,,LQIT220
Portable Sundial,,,,441,,,,,2037,,1,,,,,,,,,,,,,,,,,,,,,LQIT221
Sharlin's Recommendation,,,,441,,,,,1692,,,,,,,,,,,,,,,,,,,,,,,LQIT222
Family Emblem,,,,441,,,,,2038,,1,,,,,,,,,,,,,,,,,,,,,LQIT223
Bottled Love Letter,,,,441,,,,,2039,,1,,,,,,,,,,,,,,,,,,,,,LQIT224
Lillith's Scales,,,,441,,,,,2041,,1,,,,,,,,,,,,,,,,,,,,,LQIT225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torn Page,,,,441,,,,,2333,,,,,,,,,,,,,,,,,,,,,,,LQIT230
Tablet of Horridus,,,,441,,,,,6350,,1,,,,,,,,,,,,,,,,,,,,,LQIT231
Tablet of Imparis,,,,441,,,,,6351,,1,,,,,,,,,,,,,,,,,,,,,LQIT232
Tablet of Entiku,,,,441,,,,,6352,,1,,,,,,,,,,,,,,,,,,,,,LQIT233
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Butterfly,,,,441,,,,,3868,,,,,,,,,,,,,,,,,,,,,,,LQIT250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akram Key,,,,441,,,,,4706,,,,,,,,,,,,,,,,,,,,,,,LQIT255
Resurrection Bottle,,,,441,,,,,4707,,,,,,,,,,,,,,,,,,,,,,,LQIT256
Proof of Kill,,,,441,,,,,4708,,,,,,,,,,,,,,,,,,,,,,,LQIT257
Proof of Arena Kill,,,,441,,,,,7185,,,,,,,,,,,,,,,,,,,,,,,LQIT258
Proof of Arena Victory,,,,441,,,,,7185,,,,,,,,,,,,,,,,,,,,,,,LQIT259
Proof of Arena Spree,,,,441,,,,,7185,,,,,,,,,,,,,,,,,,,,,,,LQIT260
Proof of Arena Completion,,,,441,,,,,7185,,,,,,,,,,,,,,,,,,,,,,,LQIT261
Arena Proof,,,,441,,,,,7185,,,,,,,,,,,,,,,,,,,,,,,LQIT262
Proof of Arena Collection,,,,441,,,,,7185,,,,,,,,,,,,,,,,,,,,,,,LQIT263
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fainted Shadow Wolf,,,,441,,,,,5373,,,,,,,,,,,,,,,,,,,,,,,LQIT270
Fainted Frozen Thorn,,,,441,,,,,5374,,,,,,,,,,,,,,,,,,,,,,,LQIT271
Fainted Thorn Hound,,,,441,,,,,5375,,,,,,,,,,,,,,,,,,,,,,,LQIT272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Mummy Staff,,,,441,,,,,4505,,,,,,,,,,,,,,,,,,,,,,,LQIT279
A Horus Shield,,,,441,,,,,4506,,,,,,,,,,,,,,,,,,,,,,,LQIT280
Treasure Piece,,,,441,,,,,4507,,,,,,,,,,,,,,,,,,,,,,,LQIT281
Alexsandros Heart,,,,441,,,,,4508,,,,,,,,,,,,,,,,,,,,,,,LQIT282
Amun Feather,,,,441,,,,,4509,,,,,,,,,,,,,,,,,,,,,,,LQIT283
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rune Stone,,,,441,,,,,4511,,,,,,,,,,,,,,,,,,,,,,,LQIT285
Ruper Mage Cape,,,,441,,,,,4512,,,,,,,,,,,,,,,,,,,,,,,LQIT286
Mammoth Blood,,,,441,,,,,4514,,,,,,,,,,,,,,,,,,,,,,,LQIT287
Vulcan Skin,,,,441,,,,,4513,,,,,,,,,,,,,,,,,,,,,,,LQIT288
Behemoth King,,,,441,,,,,4515,,,,,,,,,,,,,,,,,,,,,,,LQIT289
Frozen Thorn,,,,441,,,,,4516,,,,,,,,,,,,,,,,,,,,,,,LQIT290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotten Tree,,,,441,,,,,4517,,,,,,,,,,,,,,,,,,,,,,,LQIT292
Sikuku Captain Katar,,,,441,,,,,4518,,,,,,,,,,,,,,,,,,,,,,,LQIT293
Sikuku Gargoyle,,,,441,,,,,4519,,,,,,,,,,,,,,,,,,,,,,,LQIT294
Dizzle Drizzle,,,,441,,,,,4520,,,,,,,,,,,,,,,,,,,,,,,LQIT295
Executor Kera,,,,441,,,,,4521,,,,,,,,,,,,,,,,,,,,,,,LQIT296
,,,,441,,,,,4522,,,,,,,,,,,,,,,,,,,,,,,LQIT297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porkie Spine,,,,441,,,,,1992,,,,,,,,,,,,,,,,,,,,,,,LQIT301
Thick Pulpwood,,,,441,,,,,1795,,,,,,,,,,,,,,,,,,,,,,,LQIT302
Junon Scripture,,,,441,,,,,1692,,,,,,,,,,,,,,,,,,,,,,,LQIT303
Healing Medicine,,,,441,,,,,1595,,,,,,,,,,,,,,,,,,,,,,,LQIT304
Training Gloves,,,,441,,,,,416,,,,,,,,,,,,,,,,,,,,,,,LQIT305
Mana Focus Potion,,,,441,,,,,1591,,,,,,,,,,,,,,,,,,,,,,,LQIT306
Grunter Foot,,,,441,,,,,1991,,,,,,,,,,,,,,,,,,,,,,,LQIT307
Moldie Eyelash,,,,441,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,LQIT308
Smouly Leaf,,,,441,,,,,1982,,,,,,,,,,,,,,,,,,,,,,,LQIT309
Market Price Analysis Table,,,,441,,,,,1690,,,,,,,,,,,,,,,,,,,,,,,LQIT310
High Quality Coal,,,,441,,,,,1784,,,,,,,,,,,,,,,,,,,,,,,LQIT311
Grunter Axe,,,,441,,,,,1118,,,,,,,,,,,,,,,,,,,,,,,LQIT312
Doonga Claw,,,,441,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,LQIT313
Doonga's Sausage,,,,441,,,,,1641,,,,,,,,,,,,,,,,,,,,,,,LQIT314
Krawfy Hard Shell,,,,441,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,LQIT315
Krawfy Long Antenna,,,,441,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,LQIT316
Sticky Fluid,,,,441,,,,,1747,,,,,,,,,,,,,,,,,,,,,,,LQIT317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
