Name,Id,PatClass,PartType,PartSlot,ItemType,MaxFuel,FuelRate,MoveSpeed,AtkRange,AtkPower,AtkSpeed,PatMotion,AvatarMotion,Scale,HidePlayer,HpGauge,StopSound,MoveSound,HasModel
pat_584,584,1,21,-1,102,0,0,150,0,0,0,331,251,100,0,0,0,683,1
pat_585,585,1,21,-1,100,0,0,0,0,0,0,331,251,100,0,0,682,0,1
pat_586,586,1,21,-1,100,0,0,0,0,0,0,331,251,100,0,0,682,0,1
pat_587,587,1,21,-1,101,0,0,160,0,0,0,-1,-1,100,0,0,0,0,1
pat_588,588,1,21,-1,102,0,0,150,0,0,0,331,251,100,0,0,0,683,1
pat_589,589,1,21,-1,100,0,0,0,0,0,0,331,251,100,0,0,682,0,1
pat_590,590,1,21,-1,100,0,0,0,0,0,0,331,251,100,0,0,682,0,1
pat_591,591,1,21,-1,100,0,0,0,0,0,0,331,251,100,0,0,682,0,1
pat_592,592,1,21,-1,100,0,0,0,0,0,0,331,251,100,0,0,682,0,1
pat_593,593,1,21,-1,101,0,0,160,0,0,0,-1,-1,100,0,0,0,0,1
pat_594,594,1,21,-1,102,0,0,150,0,0,0,331,251,100,0,0,0,683,1
