,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability Type,Break IDX,,,Arms Type,Hide Player,Scaling,Preview,Expire,Prefix,Show Back,
Sporty WR Frame,3Ddata\PAT\CART\BODY\cart01_BODY03_CW1.txt,0,0,511,732000,0,20,54,2266,246,580,21,4,1039,62,21,46,,,,,,,19,47,,21,25,41,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,4000,,,,,1,,,,,2186,,,,LPAT011
Sporty WB Frame,3Ddata\PAT\CART\BODY\cart01_BODY03_CW2.txt,0,0,511,732000,0,20,55,2267,246,580,21,5,1040,63,21,46,,,,,,,19,47,,21,25,41,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,4000,,,,,1,,,,,2186,,,,LPAT012
Sporty BR Frame,3Ddata\PAT\CART\BODY\cart01_BODY03_CBK.txt,0,0,511,732000,0,20,56,2268,246,580,21,5,1041,64,21,46,,,,,,,19,47,,21,25,41,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,4000,,,,,1,,,,,2186,,,,LPAT013
Sporty Orange Frame,,0,0,511,741000,0,20,57,9240,246,580,21,5,1045,65,21,46,,,,,,,19,47,,21,25,41,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,4000,,,,,1,,,,,2186,,,,LPAT014
Blue Racing Frame,3Ddata\PAT\CART\BODY\cart01_BODY_F00070.txt,0,,511,482700,0,15,35,2277,246,580,,8,,230,21,50,,,,,,,23,100,,0,0,50,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT015
Green Racing Frame,3Ddata\PAT\CART\BODY\cart01_BODY_F00080.txt,0,,511,482700,0,15,35,2275,246,580,,8,,230,21,50,,,,,,,23,100,,0,0,50,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT016
Red Racing Frame,3Ddata\PAT\CART\BODY\cart01_BODY_F00090.txt,0,,511,552700,0,15,35,2276,246,580,,9,,230,21,50,,,,,,,23,100,,0,0,50,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT017
Yellow Racing Frame,3Ddata\PAT\CART\BODY\cart01_BODY_F00100.txt,0,,511,552700,0,15,35,2278,246,580,,9,,230,21,50,,,,,,,23,100,,0,0,50,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT018
Halloween Frame,3Ddata\PAT\CART\BODY\cart01_HALLBODY01.txt,0,,511,602500,0,25,35,2348,246,580,,,,,21,50,,,,,,,,,,,,50,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT019
,,0,,511,,,10,74,,246,580,,10,,,21,74,,,,,,,19,83,,21,47,55,1,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.I.G. Frame,3Ddata\PAT\CART\BODY\cart01_BODY05.txt,0,6,511,0,0,20,76,2238,246,580,,,,,21,62,,,,,,,,,,,,34,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT021
Bull Frame,3Ddata\PAT\CART\BODY\NIUCHE_BODY.txt,0,,511,781000,0,20,76,2242,246,580,21,6,1042,70,21,46,,,,,,,19,86,,21,49,57,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT022
GM Frame,3Ddata\PAT\CART\BODY\gmcart.txt,0,6,511,1000,0,20,76,2298,246,580,,,,,21,30,,,,,,,19,2000,,21,2000,120,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,15000,,,,,1,,,,,2186,,,,LPAT023
Black GM Frame,3Ddata\PAT\CART\BODY\gmcart.txt,0,6,511,1000,0,20,76,2299,246,580,,,,,21,30,,,,,,,19,91,,21,52,120,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,15000,,,,,1,,,,,2186,,,,LPAT024
,,0,,511,,,10,84,,246,580,,,,,21,84,,,,,,,19,96,,21,55,60,1,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wooden Sleigh Body,3Ddata\PAT\CART\BODY\basya_1109_ka.txt,0,6,511,1000,0,10,47,4923,246,580,,,,,21,47,,,,,,,21,20,,,,40,,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,1500,,,,,1,,,,,2186,,,,LPAT026
Wooden Sleigh Engine,3Ddata\PAT\CART\ENGINE\mokuba_1109_ka.txt,1,6,521,620,0,5,42,4449,246,580,,,,,21,36,,,,,,,,,,,,40,,600,3,124,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2186,,,,LPAT027
Wooden Sleigh Wheels,3Ddata\PAT\CART\WHEEL\tire_1109_ka.txt,2,6,531,550,0,10,38,4450,246,580,,,,,21,38,,,,,,,,,,,,32,,,,134,30,,,,,,281,261,,,,,,,,302,671,,,,,,,,,,,,,,,,,,,,,,1,,,,,2186,,,,LPAT028
,,0,,511,,,10,92,,246,580,,,,,21,92,,,,,,,19,214,,21,62,63,1,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Wooden Dont Edit,,0,,511,,,10,94,,246,580,,,,,21,94,,,,,,,19,260,,21,63,64,1,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wooden Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,472100,0,40,35,5417,246,580,22,1,1051,63,31,30,,,,31,70,,19,280,,21,60,51,0,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT031
Reinforced Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,534900,0,50,37,2179,246,580,22,1,1052,68,31,35,,,,31,80,,19,325,,21,65,52,0,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT032
Black Wooden Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,472100,0,40,35,5408,246,580,91,1,1701,1,31,30,,,,31,70,,19,280,,21,60,51,0,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT036
Blue Wooden Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,472100,0,40,35,5409,246,580,91,1,1702,1,31,30,,,,31,70,,19,280,,21,60,51,0,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT037
Green Wooden Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,472100,0,40,35,5410,246,580,91,1,1703,1,31,30,,,,31,70,,19,280,,21,60,51,0,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT038
Pink Wooden Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,472100,0,40,35,5411,246,580,91,1,1704,1,31,30,,,,31,70,,19,280,,21,60,51,0,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT039
Purple Wooden Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,472100,0,40,35,5412,246,580,91,1,1705,1,31,30,,,,31,70,,19,280,,21,60,51,0,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT040
Red Wooden Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,472100,0,40,35,5413,246,580,91,1,1706,1,31,30,,,,31,70,,19,280,,21,60,51,0,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT041
White Wooden Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,472100,0,40,35,5414,246,580,91,1,1707,1,31,30,,,,31,70,,19,280,,21,60,51,0,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT042
Yellow Wooden Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,472100,0,40,35,5415,246,580,91,1,1708,1,31,30,,,,31,70,,19,280,,21,60,51,0,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT043
Black Reinforced Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,534900,0,50,37,5421,246,580,91,1,1710,1,31,35,,,,31,80,,19,325,,21,65,52,0,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT044
Blue Reinforced Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,534900,0,50,37,5422,246,580,91,1,1711,1,31,35,,,,31,80,,19,325,,21,65,52,0,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT045
Green Reinforced Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,534900,0,50,37,5423,246,580,91,1,1712,1,31,35,,,,31,80,,19,325,,21,65,52,0,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT046
Pink Reinforced Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,534900,0,50,37,5424,246,580,91,1,1713,1,31,35,,,,31,80,,19,325,,21,65,52,0,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT047
Purple Reinforced Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,534900,0,50,37,5425,246,580,91,1,1714,1,31,35,,,,31,80,,19,325,,21,65,52,0,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT048
Red Reinforced Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,534900,0,50,37,5426,246,580,91,1,1715,1,31,35,,,,31,80,,19,325,,21,65,52,0,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT049
White Reinforced Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,534900,0,50,37,5427,246,580,91,1,1716,1,31,35,,,,31,80,,19,325,,21,65,52,0,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT050
Yellow Reinforced Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,534900,0,50,37,5428,246,580,91,1,1717,1,31,35,,,,31,80,,19,325,,21,65,52,0,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT051
Oro Black Core,3Ddata\PAT\CastleGear\CastleGear15\BODY\CGB_F02410.txt,0,,512,628400,0,40,50,5434,246,580,91,1,1719,1,31,40,,,,31,90,,19,370,,21,75,52,,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT052
Oro Blue Core,3Ddata\PAT\CastleGear\CastleGear15\BODY\CGB_F02410.txt,0,,512,628400,0,40,50,5435,246,580,91,1,1720,1,31,40,,,,31,90,,19,370,,21,75,52,,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT053
Oro Green Core,3Ddata\PAT\CastleGear\CastleGear15\BODY\CGB_F02410.txt,0,,512,628400,0,40,50,5436,246,580,91,1,1721,1,31,40,,,,31,90,,19,370,,21,75,52,,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT054
Oro Pink Core,3Ddata\PAT\CastleGear\CastleGear15\BODY\CGB_F02410.txt,0,,512,628400,0,40,50,5437,246,580,91,1,1722,1,31,40,,,,31,90,,19,370,,21,75,52,,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT055
Oro Purple Core,3Ddata\PAT\CastleGear\CastleGear15\BODY\CGB_F02410.txt,0,,512,628400,0,40,50,5438,246,580,91,1,1723,1,31,40,,,,31,90,,19,370,,21,75,52,,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT056
Oro Yellow Core,3Ddata\PAT\CastleGear\CastleGear15\BODY\CGB_F02410.txt,0,,512,628400,0,40,50,5440,246,580,91,1,1724,1,31,40,,,,31,90,,19,370,,21,75,52,,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT057
Oro White Core,3Ddata\PAT\CastleGear\CastleGear15\BODY\CGB_F02410.txt,0,,512,628400,,40,50,5439,246,580,91,1,1725,1,31,40,,,,31,90,,19,370,,21,75,52,,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT058
,,0,,512,,,20,85,,246,580,,,,,31,85,,,,,,,19,368,,21,157,85,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,512,,,20,87,,246,580,,,,,31,87,,,,,,,19,376,,21,161,86,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,512,,,20,89,,246,580,,,,,31,89,,,,,,,19,386,,21,166,88,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,512,,,20,91,,246,580,,,,,31,91,,,,,,,19,394,,21,170,89,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrel Guild Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,472100,0,50,35,5417,246,580,,,,,31,30,,,,31,70,,19,280,,21,60,51,0,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT060
Arumic Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,472100,0,50,35,5417,246,580,,,,,31,30,,,,31,70,,19,280,,21,60,51,0,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT061
Righteous Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,472100,0,50,35,5417,246,580,,,,,31,30,,,,31,70,,19,280,,21,60,51,0,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT062
Junon Order Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY01.txt,0,,512,472100,0,50,35,5417,246,580,,,,,31,30,,,,31,70,,19,280,,21,60,51,0,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT063
,,0,,513,,,,,,246,580,,,,,11,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaster Core,3Ddata\PAT\CastleGear\Robot_Jr04\robot_body.txt,0,,512,784410,0,50,55,7973,246,580,22,5,1054,65,31,45,,,,31,100,,19,450,,21,110,75,0,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT065
Blaster Legs,3Ddata\PAT\CastleGear\Robot_Jr04\robot_leg.txt,2,,532,784410,0,30,55,7974,246,580,22,5,1074,65,31,44,,,,,,,19,140,,21,55,75,,,,30,,,,,,,,,,,,,,,,1251,701,,,,,,,,,,,,,,,,,,,,,,2,,,,,2188,,,,LPAT066
Blaster Arms,3Ddata\PAT\CastleGear\Robot_Jr04\robot_arms.txt,4,,552,784410,0,30,55,7975,246,580,22,5,1088,65,31,40,,,,,,,18,190,,26,55,75,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,,,,2188,,,,LPAT067
Blaster Arms Launch,3Ddata\PAT\CastleGear\Robot_Jr04\robot_arms.txt,4,,552,784410,0,30,55,7976,246,580,22,5,1093,65,31,40,,,,,,,18,210,,26,60,75,,,5, ,,2000,350,11,,,3,261,,,,,,,,,,,84,,84,774,,,,,,,,,,,8,,,,,,2,,,,,2188,,,,LPAT068
,,0,,513,,,,,,246,580,,,,,11,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wooden Backseat,3Ddata\PAT\CART\ABILITY\cart01_ability08.txt,3,,541,275000,,5,55,2251,246,580,,,,,21,28,,,,,,,,,,,,34,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,2186,,,,LPAT070
Steel Backseat,3Ddata\PAT\CART\ABILITY\cart01_ability09.txt,3,,541,1980000,,10,55,2252,246,580,,,,,21,28,,,,,,,23,60,,,,34,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,2186,,,,LPAT071
Halloween Backseat,3Ddata\PAT\CART\ABILITY\Halloween_back.txt,3,,541,10000,,10,55,5353,246,580,,,,,21,28,,,,,,,,,,,,34,,,0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,2186,,,,LPAT072
,,0,,513,,,,,,246,580,,,,,11,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,513,,,,,,246,580,,,,,11,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Sleigh,3Ddata\PAT\CART\BODY\cart01_BODY01.txt,0,7,513,1000,0,20,30,7315,246,580,,,,,128,30,,70,1,,,,,,,,,30,1,,,1200,,,,,,,290,261,,,,,,,,,,,,,,,,,,,,1942,,,,,,1000,,,1,,3,,,,,1506,,,,LPAT075
Christmas Sleigh Engine,3Ddata\PAT\CART\ENGINE\cart01_ENGINE01.txt,1,7,521,1000,0,5,30,0,246,580,,,,,24,30,,,,,,,,,,,,32,,1600,2,102,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,LPAT076
Christmas Sleigh Skis,3Ddata\PAT\CART\WHEEL\cart01_WHEEL01.txt,2,7,531,1000,0,2,30,0,246,580,,,,,24,30,,,,,,,,,,,,28,,,,102,20,,,,,,290,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,LPAT077
Green Christmas Sleigh,3Ddata\PAT\CART\BODY\cart01_BODY01.txt,0,7,513,1000,0,20,30,7317,246,580,,,,,128,30,,70,1,,,,,,,,,30,1,,,1200,,,,,,,290,261,,,,,,,,,,,,,,,,,,,,1942,,,,,,1000,,,1,,3,,,,,1507,,,,LPAT078
Pink Christmas Sleigh,3Ddata\PAT\CART\BODY\cart01_BODY01.txt,0,6,513,1000,0,20,30,7317,246,580,,,,,128,30,,70,1,,,,,,,,,30,1,,,1200,,,,,,,290,261,,,,,,,,,,,,,,,,,,,,1942,,,,,,1000,,,1,,3,,,,,,,,,LPAT079
Snake Cart,3Ddata\PAT\CART\BODY\snakecart_body_1211_cr.txt,0,7,511,1000,0,20,47,6222,246,580,,,,,21,47,,,,,,,23,100,,21,20,40,,,,,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,,2187,,,,LPAT080
Snake Cart Engine,3Ddata\PAT\CART\ENGINE\invisiblescart02_0112_cr.txt,1,7,521,620,0,10,42,6223,246,580,,,,,21,36,,,,,,,,,,,,40,,600,3,126,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187,,,,LPAT081
Snake Cart Wheels,3Ddata\PAT\CART\WHEEL\snakecart_wheel_1211_cr.txt,2,7,531,550,0,10,38,6236,246,580,,,,,21,36,,,,,,,,,,,,32,,,,137,30,,,,,,281,261,,,,,,,,302,671,,,,,,,,,,,,,,,,,,,,,,,,,,,2187,,,,LPAT082
,,0,,513,,,,,,246,580,,,,,11,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,513,,,,,,246,580,,,,,11,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkin Frame,3Ddata\PAT\CART\BODY\pumpkin_body_1005_ka.txt,0,6,511,10000,0,15,47,6914,246,580,,,,,21,47,,,,,,,,,,,,40,,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,2000,,,,,1,,,,,2186,,,,LPAT085
Pumpkin Engine,3Ddata\PAT\CART\ENGINE\pumpkin_engine_1005_ka.txt,1,6,521,6200,0,10,42,6769,246,580,,,,,21,36,,,,,,,,,,,,40,,600,3,126,13,,,,,,,,,,,,,,,,,,,,,,,,,305,305,,,,,,,,,,,,1,,,,,2186,,,,LPAT086
Pumpkin Wheels,3Ddata\PAT\CART\WHEEL\pumpkin_tire_1005_ka.txt,2,6,531,5500,0,10,38,6782,246,580,,,,,21,38,,,,,,,,,,,,32,,,,136,30,,,,,,281,261,,,,,,,,302,671,,,,,,,,,,,,,,,,,,,,,,1,,,,,2186,,,,LPAT087
,,0,,513,,,,,,246,580,,,,,11,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,513,,,,,,246,580,,,,,11,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,
Matts Spaceship Body,3Ddata\PAT\CART\BODY\cart01_BODY380.txt,0,2,511,10000,0,70,30,4303,246,580,,,,,21,25,,,,,,,,,,,,55,,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT090
Matts Spaceship Wheel,3Ddata\PAT\CART\WHEEL\cart01_WHEEL380.txt,2,2,531,10000,0,30,30,4304,246,580,,,,,21,25,,,,,,,,,,,,55,,,,166,40,,,,,,281,261,,,,,,,,302,671,,,,,,,,,,,,,,,,, ,,,,,1,,,,,2186,,,,LPAT091
Matts Spaceship Engine,3Ddata\PAT\CART\ENGINE\cart01_ENGINE06.txt,1,2,521,10000,0,30,30,4305,246,580,,,,,21,25,,,,,,,,,,,,55,,200,10,143,13,,,,,,,,,,,,,,,,,,,,,,,,,299,299,,,,,,,,,,,,1,,,,,2186,,,,LPAT092
