3DDATA\LUNAR\Sky\day01.zms,3Ddata\Lunar\SkyUnion\day01.dds,3Ddata\Lunar\SkyUnion\night01.dds,,,5,166195255,255255255,168201210,155175203,176225250,216245250,210200185,255255255,180160170,1901400160,130120210,135142250,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\ORO\RAMESES\SKY\DEONGEN01.DDS,3DDATA\ORO\RAMESES\SKY\DEONGEN01.DDS,,,5,255255255,255255255,255255255,255255255,110180180,080150110,110180180,160160160,110180180,160160160,110180180,160160160,,,,
3Ddata\ORO\Sky\day01.zms,3Ddata\ORO\Sky\night01.dds,3Ddata\ORO\Sky\night01.dds,,,5,116155220,116155220,116155220,116155220,120140210,120140210,120140210,120140210,120140210,120140210,120140210,120140210,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\day02.dds,3DDATA\JUNON\Sky\day02.dds,,,5,227135135,227135135,227135135,227135135,227135135,227135135,227135135,227135135,227135135,227135135,227135135,227135135,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\deongen01.dds,3DDATA\JUNON\Sky\deongen01.dds,,,5,255255255,255255255,255255255,255255255,255255255,255255255,255255255,255255255,255255255,255255255,255255255,255255255,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\night01.dds,3DDATA\JUNON\Sky\night01.dds,,,5,067067227,067067227,067067227,067067227,067067227,067067227,067067227,067067227,067067227,067067227,067067227,067067227,,,,
3DDATA\JUNON\Sky\day01.zms,3Ddata\JUNON\Sky\day_mugen.dds,3Ddata\JUNON\Sky\day_mugen_night.dds,,,5,255255255,255255255,255255255,255255255,110180180,080150110,110180180,160160160,110180180,160160160,110180180,160160160,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\deongen01.dds,3DDATA\JUNON\Sky\deongen01.dds,,,5,146125200,255255255,190121110,125090100,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
3Ddata\ORO\Sky\day01.zms,3Ddata\ORO\Sky\day02.DDS,3Ddata\ORO\Sky\night02.dds,,,5,116155220,255255255,198171190,125135163,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
3DDATA\KAKIA\Sky\day01.zms,3DDATA\KAKIA\Sky\DAY01.dds,3DDATA\KAKIA\Sky\DAY01.dds,,,5,255255255,255255255,255255255,255255255,255255255,255255255,255255255,255255255,255255255,255255255,255255255,255255255,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\KAKIA\Sky\DAY03.dds,3DDATA\KAKIA\Sky\night03.dds,,,5,188068227,211142250,188068227,168056190,217066249,252084181,167091236,193141241,185062238,192107184,122049221,183067252,,,,
3Ddata\ORO\Sky\day01.zms,3Ddata\ORO\Sky\dayIN.DDS,3Ddata\ORO\Sky\nightIN.dds,,,5,116155220,255255255,198171190,125135163,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\NIGHT02.dds,3DDATA\JUNON\Sky\NIGHT02.dds,,,5,116155220,255255255,198171190,125135163,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\deongen01.dds,3DDATA\JUNON\Sky\deongen01.dds,,,5,255255255,255255255,255255255,255255255,110180180,080150110,110180180,160160160,110180180,160160160,110180180,160160160,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\day01.dds,3DDATA\JUNON\Sky\night01.dds,,,5,116155220,255255255,198171190,125135163,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\day01.dds,3DDATA\JUNON\Sky\night01.dds,,,5,116155220,255255255,198171190,125135163,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\deongen02.dds,3DDATA\JUNON\Sky\deongen02.dds,,,5,000000000,000000000,000000000,000000000,065065065,065065065,065065065,065065065,065065065,065065065,065065065,065065065,,,,
3DDATA\MAPOBJ\Sky\day01.zms,3DDATA\MAPOBJ\Sky\day01.dds,3DDATA\MAPOBJ\Sky\night01.dds,,,5,116155220,255255255,198171190,125135163,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
3DDATA\LUNAR\Sky\day01.zms,3Ddata\LUNAR\SkyUnion\day01.dds,3Ddata\LUNAR\SkyUnion\night01.dds,,,5,166195255,255255255,168201210,155175203,176225250,216245250,210200185,255255255,180160170,1901400160,130120210,135142250,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\deongen01.dds,3DDATA\JUNON\Sky\deongen01.dds,,,5,255255255,255255255,255255255,255255255,209175201,160160160,209175201,160160160,209175201,160160160,209175201,160160160,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\deongen01.dds,3DDATA\JUNON\Sky\deongen01.dds,,,5,255255255,255255255,255255255,255255255,209175201,160160160,209175201,160160160,209175201,160160160,209175201,160160160,,,,
3DDATA\MAPOBJ\Sky\day01.zms,3DDATA\MAPOBJ\Sky\DAY_PK011.dds,3DDATA\MAPOBJ\Sky\NIGHT_PK011.dds,,,5,116155220,255255255,198171190,125135163,146185250,176225250,210200185,255255255,180160170,1901400160,120140210,095102230,,,,
3DDATA\ELDEON\Sky\day01.zms,3Ddata\ELDEON\Sky\elc_fog.dds,3Ddata\ELDEON\Sky\elc_fog.dds,,,5,220100120,220100120,220100120,220100120,123100126,120131112,123100126,120131112,123100126,120131112,123100126,120131112,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\night01.dds,3DDATA\JUNON\Sky\night01.dds,,,5,125135163,255125135163,125135163,125135163,120140210,095102230,120140210,095102230,120140210,095102230,120140210,095102230,,,,
3DDATA\LUNAR\Sky\day01.zms,3DDATA\LUNAR\Sky\day02.dds,3DDATA\LUNAR\Sky\day02.dds,,,5,166195255,255255255,166195255,255255255,176225250,216245250,210200185,255255255,180160170,1901400160,176225250,216245250,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\deongen01.dds,3DDATA\JUNON\Sky\deongen01.dds,,,5,211142250,211142250,211142250,211142250,207046219,222064151,177091236,193151221,185062238,162087154,187147172,183067222,,,,
3DDATA\JUNON\Sky\day01.zms,3DDATA\JUNON\Sky\deongen01.dds,3DDATA\JUNON\Sky\deongen01.dds,,,5,255255255,255255255,255255255,255255255,110180180,080150110,110180180,160160160,110180180,160160160,110180180,160160160,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
