string,Type,Can Duplicate,0:Good/1:Bad/2:Other,0:Removable/1:Not Removable,Status Call No.,Per 1 Second,(????????),,Symbol,Effect,Step Sound,Control,Control,Control,Classic Effect,Shotdown Sound,Prifits Losses by State,Setting String,Ending String,String ID,Type Motion,Start Trigger,End Trigger,Ability String
Advanced Scroll (HP),4,,2,2,,,,,3,250,,,,,,,,,,LSTA075,,,,38
Advanced Scroll (MP),5,,2,2,,,,,2,251,,,,,,,,,,LSTA076,,,,39
Advanced Scroll (MSPEED),6,,2,2,,,,,4,252,,,,,,,,,,LSTA077,,,,23
Advanced Scroll (ASPEED),8,,2,2,,,,,18,253,,,,,,,,,,LSTA078,,,,24
Advanced Scroll (ATK),10,,2,2,,,,,14,254,,,,,,,,,,LSTA079,,,,18
Advanced Scroll (DEF),12,,2,2,,,,,20,255,,,,,,,,,,LSTA080,,,,19
Advanced Scroll (MRES),14,,2,2,,,,,5,256,,,,,,,,,,LSTA081,,,,21
Advanced Scroll (HIT),16,,2,2,,,,,13,257,,,,,,,,,,LSTA082,,,,20
Advanced Scroll (CRIT),18,,2,2,,,,,26,258,,,,,,,,,,LSTA083,,,,26
Advanced Scroll (DR),20,,2,2,,,,,15,259,,,,,,,,,,LSTA084,,,,22
Advanced Scroll (ADD DMG),28,,2,3,,,,,16,260,,,,,,,,,,LSTA085,,,,
Quick HP reduction,3,,2,1,86,500,,,17,1425,,,,,,,,,,LSTA064,,,,
Quick HP reduction (kill),29,,2,1,87,5,,,17,1425,,,,,,,,,,LSTA064,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Defenders Red,50,,2,2,,,,,20,75,,,,,,,,,,LSTA090,,,,
Crystal Defenders Blue,51,,2,2,,,,,20,76,,,,,,,,,,LSTA091,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Node Test,4,,,2,,,,,,,,,,,,,,,,LSTA093,,gm-nodetest,,
Item Block,13,1,1,2,,,,,111,3308,,,,,,,1,,,LSTA094,,,,
Moldie Priest Mark,19,1,0,3,,,,,35,3287,,,,,,,,,,LSTA095,,TOS-MarkStatus1,TOS-MarkStatus2,
Priest Instant Death,19,,1,3,,,,,,,,,,,,,,,,LSTA096,,TOS-MarkStatus3,,
,,,,,,,,,,,,,,,,,,,,,,,,
HPoT Tier 23,1,1,2,1,98,507,,,30,143,,,,,,,,,,LSTA001,,,,
HPoT Tier 24,1,1,2,1,99,539,,,30,143,,,,,,,,,,LSTA001,,,,
HPoT Tier 25,1,1,2,1,100,572,,,30,143,,,,,,,,,,LSTA001,,,,
MPoT Tier 12,2,1,2,1,101,48,,,1,144,,,,,,,,,,LSTA004,,,,
MPoT Tier 13,2,1,2,1,102,51,,,1,144,,,,,,,,,,LSTA004,,,,
MPoT Tier 14,2,1,2,1,103,55,,,1,144,,,,,,,,,,LSTA004,,,,
MPoT Tier 15,2,1,2,1,104,59,,,1,144,,,,,,,,,,LSTA004,,,,
MPoT Tier 16,2,1,2,1,105,63,,,1,144,,,,,,,,,,LSTA004,,,,
MPoT Tier 17,2,1,2,1,106,66,,,1,144,,,,,,,,,,LSTA004,,,,
MPoT Tier 18,2,1,2,1,107,70,,,1,144,,,,,,,,,,LSTA004,,,,
MPoT Tier 19,2,1,2,1,108,74,,,1,144,,,,,,,,,,LSTA004,,,,
MPoT Tier 20,2,1,2,1,109,78,,,1,144,,,,,,,,,,LSTA004,,,,
MPoT Tier 21,2,1,2,1,110,81,,,1,144,,,,,,,,,,LSTA004,,,,
MPoT Tier 22,2,1,2,1,111,85,,,1,144,,,,,,,,,,LSTA004,,,,
MPoT Tier 23,2,1,2,1,112,89,,,1,144,,,,,,,,,,LSTA004,,,,
MPoT Tier 24,2,1,2,1,113,93,,,1,144,,,,,,,,,,LSTA004,,,,
MPoT Tier 25,2,1,2,1,114,96,,,1,144,,,,,,,,,,LSTA004,,,,
HPoT-ItemMall %,1,1,2,1,115,500,,,30,143,,,,,,,,,,LSTA001,,,,
MPoT-ItemMall %,2,1,2,1,116,500,,,1,144,,,,,,,,,,LSTA004,,,,
Cancel Buffs,36,1,2,1,,,,,,,,,,,,,,,,LSTA037,,,,
HPoT Tier 26,1,1,2,1,100,606,,,30,143,,,,,,,,,,LSTA001,,,,
MPoT Tier 26,2,1,2,1,114,100,,,1,144,,,,,,,,,,LSTA004,,,,
Poison7,3,,1,,11,400,,,6,176,,,,,,,1,,,LSTA011,,,,
Fire9,3,,1,,80,450,,,62,1506,,,,,,,1,,,LSTA058,,,,
Fortify (DEF),12,1,,2,,,,,63,419,,,,,,,,,,LSTA063,,,,19
Fainting,24,,1,3,,,,,22,1497,,,,,1497,,,,,LSTA032,370,Laguz_Sleep,,
Frostbite,3,,1,1,11,200,,,6,1440,,,,,,,1,,,LSTA124,,,,
Slow Run,7,,1,2,,,,,10,170,,,,,,,1,,,LSTA015,,,,23
Laguz Confusion,19,,0,3,,,,,35,3410,,,,,,,,,,LSTA126,,LaguzTeam0,LaguzTeam1,
Frostbite 2,3,,1,1,11,400,,,6,1440,,,,,,,1,,,LSTA124,,,,
Blaze Burning,3,,1,1,11,400,,,6,1425,,,,,,,1,,,LSTA064,,,,
Wind Boost,6,1,,2,,,,,4,308,,,,,,,,,,LSTA129,,,ETFLY_BOOSTEND,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Max HP Up,4,1,,2,,,,,3,152,,,,,,,,,,LSTA137,,,,38
Max MP Up,5,1,,2,,,,,2,153,,,,,,,1,,,LSTA138,,,,39
Additional Damage,28,1,,3,,,,,16,183,,,,,,,,,,LSTA139,,,,
Dash,6,1,,2,,,,,4,302,,,,,,,,,,LSTA140,,,,23
Haste Attack,8,1,,2,,,,,18,181,,,,,,,,,,LSTA141,,,,24
Attack Power Up,10,1,,2,,,,,14,165,,,,,,,,,,LSTA142,,,,18
Defense Up,12,1,,2,,,,,20,167,,,,,,,,,,LSTA143,,,,19
Magic Resistance Up,14,1,,2,,,,,5,173,,,,,,,1,,,LSTA144,,,,21
Hitting Rate Up,16,1,,2,,,,,13,174,,,,,,,1,,,LSTA145,,,,20
Critical Up,18,1,,2,,,,,26,168,,,,,,,,,,LSTA146,,,,26
Dodge Up,20,1,,2,,,,,15,178,,,,,,,,,,LSTA147,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Dash,6,1,,2,,,,,4,302,,,,,,,,,,LSTA150,,,,23
Haste Attack,8,1,,2,,,,,18,181,,,,,,,,,,LSTA151,,,,24
Attack Power Up,10,1,,2,,,,,14,165,,,,,,,,,,LSTA152,,,,18
Defense Up,12,1,,2,,,,,20,167,,,,,,,,,,LSTA153,,,,19
Magic Resistance Up,14,1,,2,,,,,5,173,,,,,,,1,,,LSTA154,,,,21
Hitting Rate Up,16,1,,2,,,,,13,174,,,,,,,1,,,LSTA155,,,,20
Critical Up,18,1,,2,,,,,26,168,,,,,,,,,,LSTA156,,,,26
Dodge Up,20,1,,2,,,,,15,178,,,,,,,,,,LSTA157,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
