,,(0-10),(1-99),(0-2),(0-..),(1-200),(0-9),(0-20),(0-999),"(0,1)",,,(1~100%),(0-200),0:???????? 1: ???????? 2:???????? 3:????????,(????????),(0-999),(????????),(0-999),(0-63),Ability,Ability Amount,(-100~150),"-??????,",(-100-500),(-100~150),,,0:???????? 1:???????? 2:???????? 3:????????,(????????????),[  OR???? ],-?????? ????????,???? ????????-,,(????????),[OR????],-??????????,????????-,(1????????????),(0-9),- ?????? ??????,???? ???????? -,(1????????????),(0-9),(??????????),(1-250),- ?????? ??????,???? ?????????? -,(????????????),,(1-999),(????????????),100=????,,(1~ ),(??????????????),(????????????????),(??????????),(??????????????),(????????????????),(??????????),(??????????????),(????????????????),(??????????),(??????????????),(????????????????),(??????????),(????????),100=????,(???????? ??????),(????????????????),(????????????????),(??????????),74,75,76,77,78,79,80,81,82,83,84,Zulie (85),Learn Bypass,Skill Tree,Buff Summon,Clan Skill Timer,(??????????)
Pick Up,12,0,0,0,1,2,0,,0,0,,,,0,,,0,0,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,17,100,,,,,,,,,,,,,,,,,,,,,LSkill0012
Jump,13,0,0,0,1,3,0,,,,,,,0,,,,0,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,15,90,,,,,,,,,,,,,,,,,,,,,LSkill0013
Levitation,14,0,0,0,1,4,0,,,,,,,0,,,,0,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,16,75,,,,,,,,,,,,,,,,,,,,,LSkill0014
Auto Targetting,15,0,0,0,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill0015
Normal Attack,16,0,0,0,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill0016
Drive Cart,17,0,0,0,1,7,0,,,,,,,,,,,,,10,,,,,,,5,,,,,,,,,,,,,,,,,,31,50,,,,,6,,,,,,,,,,,,,,,,,261,100,,,,,,,,,,,,,,,,,,,,,LSkill0017
Add Friend,18,0,0,0,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,LSkill0018
Party,19,0,0,0,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,LSkill0019
Trade,20,0,0,0,1,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,LSkill0020
Vending,21,0,0,0,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,4,100,,,,,,,,,,,,,,,,,,,,,LSkill0021
Open Mapbook,22,0,0,0,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill0022
Open Map,23,0,0,0,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill0023
Follow,24,0,0,0,1,30,8,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill0024
Ride Request,25,0,0,0,1,13,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill0025
Self Target,26,0,0,0,1,12,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill0026
Duel,27,0,0,0,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill0027
Drive Castle Gear,28,0,0,0,1,14,0,,,,,,,,,,,,,10,,,,,,,5,,,,,,,,,,,,,,,,,,31,70,,,,,313,,,,,,,,,,,,,,,,,261,100,,,,,,,,,,,,,,,,,,,,,LSkill0028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiss,30,0,0,0,11,160,3,,0,0,,,,0,,17,10,0,,15,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,200,20,,,,,,,,,,,,,,21,100,,,,,140,,,,,,,,,,,,,,,,LSkill0030
Charming Kiss,31,0,0,0,11,160,3,,0,0,,,,0,,17,10,0,,15,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,200,20,,,,,,,,,,,,,,21,100,,,,,140,,,,,,,,,,,,,,,,LSkill0031
Massage,32,0,0,0,11,100,3,,0,0,,,,0,,17,0,0,,,16,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,21,100,,,,,,,,,,,,,,,,,,,,,LSkill0032
Donation (10 Zulie),33,0,0,0,11,500,3,,0,0,,,,0,,40,10,0,,,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,21,100,,,,,,,,,,,,,,,,,,,,,LSkill0033
Donation (100 Zulie),34,0,0,0,11,500,3,,0,0,,,,0,,40,50,0,,,40,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,21,100,,,,,,,,,,,,,,,,,,,,,LSkill0034
Dismiss Summon,35,0,0,0,1,33,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill0035
Command Summon,36,0,0,0,1,34,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill0036
Recall Summon,37,0,0,0,1,35,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill0037
Target Summon Toggle,38,0,0,0,1,36,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill0038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi!,41,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20,200,20,,,,,,,,,,,,,,23,100,,,,,,,,,,,,,,,,,,,,,LSkill0041
Grateful Bow,42,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,20,200,20,,,,,,,,,,,,,,22,100,,,,,,,,,,,,,,,,,,,,,LSkill0042
Salutation,43,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,20,200,20,,,,,,,,,,,,,,31,100,,,,,,,,,,,,,,,,,,,,,LSkill0043
Recovery Kiss,44,0,0,0,10,160,8,,,,,,,,,17,10,,,15,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,20,200,20,,,,,,,,,,,,,,21,100,,,,,,,,,,,,,,,,,,,,,LSkill0044
Charming Kiss,45,0,0,0,10,160,8,,,,,,,,,17,10,,,15,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,20,200,20,,,,,,,,,,,,,,21,100,,,,,,,,,,,,,,,,,,,,,LSkill0045
Laugh,46,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,20,200,20,,,,,,,,,,,,,,26,100,,,,,,,,,,,,,,,,,,,,,LSkill0046
Fight Cheer,47,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,20,200,20,,,,,,,,,,,,,,27,100,,,,,,,,,,,,,,,,,,,,,LSkill0047
Breakdown,40,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,20,200,20,,,,,,,,,,,,,,30,100,,,,,,,,,,,,,,,,,,,,,LSkill0048
Tantrum,49,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,200,20,,,,,,,,,,,,,,28,100,,,,,,,,,,,,,,,,,,,,,LSkill0049
Applause,50,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,20,200,20,,,,,,,,,,,,,,25,100,,,,,,,,,,,,,,,,,,,,,LSkill0050
NO NAME,51,0,0,0,16,,8,1400,,,,,,,,17,10,,,60,76,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,41,100,41,,,,,,,,,,,,,,53,100,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi!,55,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20,200,20,,,,,,,,,,,,,,23,100,,,,,,,,,,,,,,,,,,,,,LSkill0041
Grateful Bow,56,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,20,200,20,,,,,,,,,,,,,,22,100,,,,,,,,,,,,,,,,,,,,,LSkill0042
Salutation,57,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,20,200,20,,,,,,,,,,,,,,31,100,,,,,,,,,,,,,,,,,,,,,LSkill0043
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemy Craft ,60,1,12,0,2,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,30,,,,,315,112,100,132,,1752,1,,1761,1,,1769,0,,1769,1,,151,100,,221,3,90,1501,999,,,,,,,,,,50000,,,,,LSkill0060
Alchemy Craft ,60,2,20,0,2,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,50,,,,,315,112,100,132,,1752,1,,1761,1,,1769,0,,1769,1,,151,100,,221,3,90,1501,999,,,,,,,,,,75000,,,,,LSkill0060
Alchemy Craft ,60,3,32,0,2,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,70,,,,,315,112,100,132,,1752,1,,1761,1,,1769,0,,1769,1,,151,100,,221,3,90,1501,999,,,,,,,,,,150000,,,,,LSkill0060
Alchemy Craft ,60,4,48,0,2,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,31,90,,,,,315,112,100,132,,1752,1,,1761,1,,1769,0,,1769,1,,151,100,,221,3,90,1501,999,,,,,,,,,,500000,,,,,LSkill0060
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ride Mount,70,1,22,0,1,29,0,,,,,,,,,,,,,10,,,,,,,5,,,,,,,,,,,,,,,,,,31,50,,,,,136,,,,,,,,,,,,,,,,,261,100,,,,,,,,,,,,,,,,1000000,,,,,LSkill0070
Ride Mount,70,2,34,0,1,29,0,,,,,,,,,,,,,10,,,,,,,5,,,,,,,,,,,,,,,,,,31,75,,,,,136,,,,,,,,,,,,,,,,,261,100,,,,,,,,,,,,,,,,5000000,,,,,LSkill0071
Ride Mount,70,3,46,0,1,29,0,,,,,,,,,,,,,10,,,,,,,5,,,,,,,,,,,,,,,,,,31,100,,,,,136,,,,,,,,,,,,,,,,,261,100,,,,,,,,,,,,,,,,10000000,,,,,LSkill0072
Ride Mount,70,4,68,0,1,29,0,,,,,,,,,,,,,10,,,,,,,5,,,,,,,,,,,,,,,,,,31,125,,,,,136,,,,,,,,,,,,,,,,,261,100,,,,,,,,,,,,,,,,25000000,,,,,LSkill0073
Ride Mount,70,5,102,0,1,29,0,,,,,,,,,,,,,10,,,,,,,5,,,,,,,,,,,,,,,,,,31,150,,,,,136,,,,,,,,,,,,,,,,,261,100,,,,,,,,,,,,,,,,50000000,,,,,LSkill0074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter AoE,78,0,0,0,17,,7,500,9999,,,,,,2,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,115,100,135,,,,,1764,999,,1609,999,130,,,,171,100,,,,,1121,999,139,,,,,,,,,,,,,,LSkill0078
Prop Hunt Transform,79,0,0,0,1,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,261,100,,,,,,,,,,,,,,,,,,,,,LSkill0079
Karkian Skill Energy,80,1,0,0,1,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,5,,,,,318,112,100,132,,,,,,,,,,,,,,151,100,,,,,,,,,,,,,,,,,,,,,LSkill0080
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cry,90,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,302,20,200,20,,,,,,,,,,,,,,471,100,,,,,,,,,,,,,,,,,,,,,LSkill0090
Flip,91,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,299,20,200,20,,,,,,,,,,,,,,472,100,,,,,,,,,,,,,,,,,,,,,LSkill0091
Devastated,92,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,305,20,200,20,,,,,,,,,,,,,,473,100,,,,,,,,,,,,,,,,,,,,,LSkill0092
Rest,93,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,301,20,200,20,,,,,,,,,,,,,,474,100,,,,,,,,,,,,,,,,,,,,,LSkill0093
Sleep,94,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,303,20,200,20,,,,,,,,,,,,,,475,100,,,,,,,,,,,,,,,,,,,,,LSkill0094
Workout,95,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,300,20,200,20,,,,,,,,,,,,,,476,100,,,,,,,,,,,,,,,,,,,,,LSkill0095
Mime,96,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,304,20,200,20,,,,,,,,,,,,,,477,100,,,,,,,,,,,,,,,,,,,,,LSkill0096
Big Wave,97,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,306,20,200,20,,,,,,,,,,,,,,478,100,,,,,,,,,,,,,,,,,,,,,LSkill0097
Left Heart,98,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,412,20,200,20,,,,,,,,,,,,,,34,100,,,,,,,,,,,,,,,,,,,,,LSkill0098
Right Heart,99,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,411,20,200,20,,,,,,,,,,,,,,35,100,,,,,,,,,,,,,,,,,,,,,LSkill0099
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disillusion,51,1,2,1,3,0,0,0,0,0,,,100,0,3,16,10,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,31,1,,,,,29,62,100,,,210,3,,161,3,,,,,,,,75,100,1,,,,,,,,,,,,,,,,,,,,LSkill0101
Disillusion,51,2,2,1,3,0,0,0,0,0,,,100,0,3,16,11,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,31,1,,,,,29,62,100,,,210,3,,161,3,,,,,,,,75,100,1,,,,,,,,,,,,,,,,,,,,LSkill0102
Disillusion,51,3,2,1,3,0,0,0,0,0,,,100,0,3,16,12,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,31,1,,,,,29,62,100,,,210,3,,161,3,,,,,,,,75,100,1,,,,,,,,,,,,,,,,,,,,LSkill0103
Disillusion,51,4,2,1,3,0,0,0,0,0,,,100,0,3,16,13,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,31,1,,,,,29,62,100,,,210,3,,161,3,,,,,,,,75,100,1,,,,,,,,,,,,,,,,,,,,LSkill0104
Disillusion,51,5,2,1,3,0,0,0,0,0,,,100,0,3,16,14,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,31,1,,,,,29,62,100,,,210,3,,161,3,,,,,,,,75,100,1,,,,,,,,,,,,,,,,,,,,LSkill0105
Disillusion,51,6,2,1,3,0,0,0,0,0,,,100,0,3,16,15,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,31,1,,,,,29,62,100,,,210,3,,161,3,,,,,,,,75,100,1,,,,,,,,,,,,,,,,,,,,LSkill0106
Disillusion,51,7,2,1,3,0,0,0,0,0,,,100,0,3,16,17,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,31,1,,,,,29,62,100,,,210,3,,161,3,,,,,,,,75,100,1,,,,,,,,,,,,,,,,,,,,LSkill0107
Disillusion,51,8,2,1,3,0,0,0,0,0,,,100,0,3,16,19,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,31,1,,,,,29,62,100,,,210,3,,161,3,,,,,,,,75,100,1,,,,,,,,,,,,,,,,,,,,LSkill0108
Disillusion,51,9,2,1,3,0,0,0,0,0,,,100,0,3,16,21,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,31,1,,,,,29,62,100,,,210,3,,161,3,,,,,,,,75,100,1,,,,,,,,,,,,,,,,,,,,LSkill0109
Disillusion,51,10,2,1,3,0,0,0,0,0,,,100,0,3,16,23,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,31,1,,,,,29,62,100,,,210,3,,161,3,,,,,,,,75,100,1,,,,,,,,,,,,,,,,,,,,LSkill0110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightning Bolt,115,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,308,20,200,20,,,,,,,,,,,,,,483,100,,,,,,,,,,,,,,,,,,,,,LSkill0115
Axel Jump,116,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,309,20,200,20,,,,,,,,,,,,,,484,100,,,,,,,,,,,,,,,,,,,,,LSkill0116
3 Count,117,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,310,20,200,20,,,,,,,,,,,,,,485,100,,,,,,,,,,,,,,,,,,,,,LSkill0117
EMOTION_SYUWACCHI,118,0,0,0,16,,0,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,311,20,200,20,,,,,,,,,,,,,,486,100,,,,,,,,,,,,,,,,,,,,,LSkill0118
