,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durability,Rare Type,Defence,Magic Resistance,Male Hair,Item Set,Dynamic EQ,Female Hair,Trade Key,Expire,NPC,Effect,Prefix,
Merciful Dawnfrost Hat (Hunter),CAP\cap1_career_a_005.txt,CAP\cap2_career_a_005.txt,,123,264471,0,2,65,3264,231,579,,,182,,53,,,31,205,,,,18,-20,,148,-3,55,,90,50,2,27,,2,,,,,,LCAP109
Ruthless Dawnfrost Hat (Hunter),CAP\cap1_career_a_006.txt,CAP\cap2_career_a_006.txt,,123,264471,0,2,65,3268,231,579,,,182,,53,,,31,205,,,,18,20,,148,2,55,,54,30,2,28,,2,,,,,,LCAP110
Raptor Head,CAP\cap1_hawker200.txt,CAP\cap2_hawker200.txt,,123,264471,0,8,70,3849,231,579,,,,,53,,,31,220,,,,,,,,,68,,86,48,4,,,4,,,,,,LCAP111
Leather Frost Helm,CAP\cap1_sodHawker_2.txt,CAP\cap2_sodHawker_2.txt,,121,18000,0,2,63,4841,231,579,,,,,43,,,31,160,,,,,,,,,8,32,208,147,2,,,2,,,,,2,LCAP112
Rogue's Hat,CAP\cap1_hawker_master.txt,CAP\cap2_hawker_master.txt,,123,300008,0,2,71,9574,231,579,,,,,53,,,140,10,,,,,,,,,69,,94,52,2,,,2,,,,,,LCAP113
Hawker 2023 1,,,,123,300008,0,2,71,9353,231,579,,,,,53,,,31,228,,,,,,,,,69,,94,52,4,,,4,,,,,,LCAP114
Hawker 2023 2,,,,123,300008,0,2,71,9354,231,579,,,,,53,,,31,228,,,,,,,,,69,,94,52,0,,,0,,,,,,LCAP115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
Brown Turban ,CAP\cap_03200.txt,CAP\cap_03200.txt,,123,1100,0,2,19,208,239,579,,,,,44,,,31,10,,,,,,,,,34,,6,3,4,0,,4,,,,,,LCAP121
Vibe Turban,CAP\cap_03100.txt,CAP\cap_03100.txt,,123,2650,0,2,25,209,239,579,18,1,121,18,44,,,31,30,,,,,,,,,36,,9,5,4,0,,4,,,,,,LCAP122
Tamiya Goggles,CAP\cap_01800.txt,CAP\cap_01800.txt,,123,5300,0,2,31,210,239,579,18,2,122,22,44,,,31,50,,,,,,,,,38,,12,7,2,0,,2,,,,,,LCAP123
Semiya Goggles,CAP\cap_02300.txt,CAP\cap_02300.txt,,123,11200,0,2,37,211,239,579,18,3,123,26,54,,,31,70,,,,,,,,,40,,17,9,2,0,,2,,,,,,LCAP124
Merchant Hat ,CAP\cap_03600.txt,CAP\cap_03600.txt,,123,19150,0,2,42,212,239,579,18,4,124,30,54,,,31,88,,,,,,,,,42,,21,12,2,0,,2,,,,,,LCAP125
Rich Merchant Turban,CAP\cap_03500.txt,CAP\cap_03500.txt,,123,30250,0,2,47,213,239,579,18,5,125,34,54,,,31,104,,,,,,,,,44,,25,15,2,0,,2,,,,,,LCAP126
Redfield Chairman Hat,CAP\cap1_04400.txt,CAP\cap2_04400.txt,,123,44350,0,2,52,214,239,579,18,6,126,42,54,,,31,120,,,,,,,,,46,,29,17,2,0,,2,,,,,,LCAP127
Fisherman Hat,CAP\cap1_04900.txt,CAP\cap2_04900.txt,,123,66465,0,2,55,215,239,579,18,7,127,45,54,,,31,145,,,,,,,,,50,,39,23,2,0,,2,,,,,,LCAP120
Bomber Hat,CAP\cap1_05400.txt,CAP\cap2_05400.txt,,123,91035,0,2,57,216,239,579,18,8,128,46,54,,,31,155,,,,,,,,,53,,46,28,4,0,,4,,,,,,LCAP128
Cart Racer Goggle,CAP\cap1_06500.txt,CAP\cap2_06500.txt,,123,136700,0,2,60,217,239,579,18,9,129,48,54,,,31,165,,,,,,,,,55,,53,33,4,0,,4,,,,,,LCAP129
Bourgeois Head,CAP\cap1_06100.txt,CAP\cap2_06100.txt,,123,150850,0,2,63,218,239,579,18,10,130,49,54,,,31,175,,,,,,,,,57,,59,35,2,0,,2,,,,,,LCAP130
Noble Lord Head,CAP\cap1_04900.txt,CAP\cap2_04900.txt,,123,185950,0,2,65,219,239,579,18,11,,50,54,,,31,185,,,,,,,,,61,,65,37,2,0,,2,,,,,,LCAP131
Mana Steam Head,CAP\cap1_07300.txt,CAP\cap2_07300.txt,,123,206700,0,2,68,221,239,579,18,12,,51,54,,,31,200,,,,,,,,,63,,71,39,,0,,,,,,,,LCAP132
Mana Fusion Headpiece,CAP\cap1_08300.txt,CAP\cap2_08300.txt,,123,225050,0,2,71,173,239,579,,,,,54,,,31,210,,,,,,,,,64,,77,41,,0,,,,,,,,LCAP133
Dealer 1,CAP\cap1_career004_d_1.txt,CAP\cap2_career004_d_1.txt,,123,1,0,2,71,3247,239,579,,,,,54,,,31,210,,,,,,,,,55,,100,100,2,,,2,,,,,,LCAP134
Staid Gentleman Hat of Rebirth,CAP\cap1_career008_h.txt,BODY\cap2_career008_h.txt,6,123,163000,0,2,71,3252,239,579,,,,,54,,,111,8,,,,,,,,,75,,10,5,2,,,2,,,,,,LCAP135
Dealer 3,CAP\cap1_career004_1d.txt,CAP\cap2_career004_1d_1.txt,,123,1,0,2,71,3256,239,579,,,,,54,,,31,210,,,,,,,,,55,,100,100,2,,,2,,,,,,LCAP136
Staid Gentleman Hat,CAP\cap1_career008_1h.txt,CAP\cap2_career008_1h.txt,6,123,243900,0,2,71,3234,239,579,,,,,54,,,31,210,,,,13,1,,38,50,65,,82,42,2,,,2,392,,,,,LCAP137
Merciful Dawnfrost Cap (Trader),CAP\cap1_career_a_007.txt,CAP\cap2_career_a_007.txt,,123,251100,0,2,65,3265,239,579,,,182,,54,,,31,205,,,,18,-20,,148,-3,55,,88,48,2,29,,2,,,,,,LCAP139
Ruthless Dawnfrost Cap (Trader),CAP\cap1_career_a_008.txt,CAP\cap1_career_a_008.txt,,123,251100,0,2,65,3269,239,579,,,182,,54,,,31,205,,,,18,20,,148,2,55,,53,29,2,30,,2,,,,,,LCAP140
Mercenary Goggles,CAP\cap1_dealer200.txt,CAP\cap2_dealer200.txt,,123,251100,0,2,71,3862,239,579,,,,,54,,,31,220,,,,,,,,,68,,85,43,0,,,0,,,,,,LCAP141
Sturdy Frost Helm,CAP\cap1_sodDealer_0.txt,CAP\cap2_sodDealer_0.txt,,121,18000,0,2,63,4843,239,579,,,,,44,,,31,160,,,,,,,,,68,,289,106,0,,,0,,,,,,LCAP142
Judgement Hat,CAP\cap1_dealer_master.txt,CAP\cap2_dealer_master.txt,,123,281154,0,2,72,9575,239,579,,,,,54,,,140,10,,,,,,,,,69,,93,45,2,,,2,,,,,,LCAP143
Dealer 2023 1,,,,123,281154,0,2,72,9355,239,579,,,,,54,,,31,228,,,,,,,,,69,,93,45,2,,,2,,,,,,LCAP144
Dealer 2023 2,,,,123,281154,0,2,72,9356,239,579,,,,,54,,,31,228,,,,,,,,,69,,93,45,2,,,2,,,,,,LCAP145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Snorkel,CAP\cap1_05600.txt,CAP\cap2_05600.txt,6,123,1800,0,2,20,8546,243,579,93,1,1837,1,,,,,,,,,,,,,,20,10,10,10,0,,,0,,,,,,LCAP147
