,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Bonus 3,Bonus 3 Value,Bonus 4,Bonus 4 Value,Item Set,Expire,Had Timer,Clan Stat ID,Monster ID,
Sunset Necklace,,,,172,821060,10,1,52,894,95,581,,,,,,,,,,,,,14,28,,21,28,,,,,,,,,,,,,,,LJEW109
Full Moon Necklace,,,6,172,9495,10,1,50,893,95,581,,,,,,,,,,,,,14,25,,19,12,,,,,,,,,,,,,,,LJEW110
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shining Earring,,,,173,4150,10,1,8,858,97,581,,,,,,,,,,,,,14,2,,,,,,,,,,,,,,,,,,LJEW151
Light Earring,,,,173,4150,10,1,8,6325,97,581,,,,,,,,,,,,,11,2,,,,,,,,,,,,,,,,,,LJEW152
Textual Earring,,,,173,4150,10,1,8,858,97,581,,,,,,,,,,,,,12,2,,,,,,,,,,,,,,,,,,LJEW153
Heavy Earring,,,,173,4150,10,1,8,6328,97,581,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,,,,LJEW154
Pierced Earring,,,,173,4750,10,1,8,859,97,581,,,,,,,,,,,,,20,3,,,,,,,,,,,,,,,,,,LJEW155
Glass Earring,,,,173,4150,10,1,8,6338,97,581,,,,,,,,,,,,,26,2,,,,,,,,,,,,,,,,,,LJEW156
Smooth Earring,,,,173,4750,10,1,8,860,97,581,,,,,,,,,,,,,22,3,,,,,,,,,,,,,,,,,,LJEW157
Pointed Earring,,,,173,4100,10,1,8,6342,97,581,,,,,,,,,,,,,18,3,,,,,,,,,,,,,,,,,,LJEW158
Solid Earring,,,,173,4750,10,1,8,6348,97,581,,,,,,,,,,,,,19,3,,,,,,,,,,,,,,,,,,LJEW159
Amulet Earring,,,,173,4750,10,1,8,6332,97,581,,,,,,,,,,,,,21,3,,,,,,,,,,,,,,,,,,LJEW160
Glamour Earring,,,,173,15350,10,1,16,861,97,581,,,,,,,,,,,,,14,5,,,,,,,,,,,,,,,,,,LJEW161
Charming Earring,,,,173,16000,10,1,18,6320,97,581,,,,,,,,,,,,,14,5,,,,,,,,,,,,,,,,,,LJEW162
Talisman Earring,,,,173,27200,10,1,20,6346,97,581,,,,,,,,,,,,,21,9,,,,,,,,,,,,,,,,,,LJEW163
Recovery Earring,,,,173,25400,10,1,22,862,97,581,,,,,,,,,,,,,27,4,,,,,,,,,,,,,,,,,,LJEW164
Meditation Earring,,,,173,26400,10,1,24,861,97,581,,,,,,,,,,,,,28,4,,,,,,,,,,,,,,,,,,LJEW165
Critical Earring,,,,173,43350,10,1,26,863,97,581,,,,,,,,,,,,,26,9,,,,,,,,,,,,,,,,,,LJEW166
Alluring Earring,,,,173,52700,10,1,28,862,97,581,,,,,,,,,,,,,14,10,,,,,,,,,,,,,,,,,,LJEW167
Fascinating Earring,,,,173,63200,10,1,30,862,97,581,,,,,,,,,,,,,14,11,,,,,,,,,,,,,,,,,,LJEW168
Earring of Magic,,,,173,92800,10,1,32,862,97,581,,,,,,,,,,,,,21,17,,,,,,,,,,,,,,,,,,LJEW169
Lizard Earring,,,,173,67750,10,1,34,861,97,581,,,,,,,,,,,,,27,7,,,,,,,,,,,,,,,,,,LJEW170
Mage Earring,,,,173,85050,10,1,36,863,97,581,,,,,,,,,,,,,28,8,,,,,,,,,,,,,,,,,,LJEW171
Deadly Earring,,,,173,131150,10,1,38,863,97,581,,,,,,,,,,,,,26,16,,,,,,,,,,,,,,,,,,LJEW172
Gorgeous Earring,,,,173,164450,10,1,40,10164,97,581,,,,,,,,,,,,,14,18,,,,,,,,,,,,,,,,,,LJEW173
Dazzling Earring,,,,173,185300,10,1,42,876,97,581,,,,,,,,,,,,,14,19,,,,,,,,,,,,,,,,,,LJEW174
Dark Earring,,,,173,278550,10,1,44,864,97,581,,,,,,,,,,,,,21,29,,,,,,,,,,,,,,,,,,LJEW175
Cure Earring,,,,173,183050,10,1,46,869,97,581,,,,,,,,,,,,,27,12,,,,,,,,,,,,,,,,,,LJEW176
Sage Earring,,,,173,187900,10,1,48,869,97,581,,,,,,,,,,,,,28,12,,,,,,,,,,,,,,,,,,LJEW177
Assassin Earring,,,,173,354300,10,1,50,865,97,581,,,,,,,,,,,,,26,26,,,,,,,,,,,,,,,,,,LJEW178
Noble Lady's Earring,,,,173,414000,10,1,52,867,97,581,,,,,,,,,,,,,14,28,,,,,,,,,,,,,,,,,,LJEW179
Angel Earring,,,,173,479550,10,1,54,869,97,581,,,,,,,,,,,,,14,30,,,,,,,,,,,,,,,,,,LJEW180
Holy Earring,,,,173,689450,10,1,56,868,97,581,,,,,,,,,,,,,21,44,,,,,,,,,,,,,,,,,,LJEW181
Tranquil Earring,,,,173,374750,10,1,58,869,97,581,,,,,,,,,,,,,27,17,,,,,,,,,,,,,,,,,,LJEW182
Silence Earring,,,,173,422000,10,1,60,868,97,581,,,,,,,,,,,,,28,18,,,,,,,,,,,,,,,,,,LJEW183
One-Shot Earring,,,,173,804900,10,1,62,865,97,581,,,,,,,,,,,,,26,38,,,,,,,,,,,,,,,,,,LJEW184
Twinkling,,,,173,903250,10,1,64,872,97,581,,,,,,,,,,,,,14,40,,,,,,,,,,,,,,,,,,LJEW185
Siren's Song,,,,173,1008850,10,1,66,873,97,581,,,,,,,,,,,,,14,42,,,,,,,,,,,,,,,,,,LJEW186
Silver Earring,,,,173,1489500,10,1,68,871,97,581,,,,,,,,,,,,,21,62,,,,,,,,,,,,,,,,,,LJEW187
Holy Spirit's Earring,,,,173,768900,10,1,70,873,97,581,,,,,,,,,,,,,27,24,,,,,,,,,,,,,,,,,,LJEW188
Saint's Earring,,,,173,842400,10,1,72,871,97,581,,,,,,,,,,,,,28,25,,,,,,,,,,,,,,,,,,LJEW189
Death Blow,,,,173,1623350,10,1,74,872,97,581,,,,,,,,,,,,,26,52,,,,,,,,,,,,,,,,,,LJEW190
Earrings of Punishment,,,,173,245440,10,1,76,8665,97,581,,,,,,,,,,,,,18,12,,24,10,,1,,,,38,-150,19,-15,,,,,,LJEW191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ring of River,,,,171,82200,10,1,40,828,99,581,,,,,,,,,,,,,22,10,,,,,,,,,,,,,,,,,,LJEW201
Ring of Gale,,,,171,82200,10,1,40,854,99,581,,,,,,,,,,,,,24,7,,,,,,,,,,,,,,,,,,LJEW202
Ring of Stone,,,,171,82200,10,1,40,830,99,581,,,,,,,,,,,,,19,12,,,,,,,,,,,,,,,,,,LJEW203
Ring of Flame,,,,171,82200,10,1,40,829,99,581,,,,,,,,,,,,,18,10,,,,,,,,,,,,,,,,,,LJEW204
Ring of the Sea,,,,171,356800,10,1,40,846,99,581,,,,,,,,,,,,,22,18,,39,150,,,,,,,,,,,,,,,LJEW205
Ring of Typhoon,,,,171,356800,10,1,40,848,99,581,,,,,,,,,,,,,24,10,,23,50,,,,,,,,,,,,,,,LJEW206
Ring of Cliff,,,,171,356800,10,1,40,850,99,581,,,,,,,,,,,,,19,24,,38,300,,,,,,,,,,,,,,,LJEW207
Ring of Lava,,,,171,356800,10,1,40,849,99,581,,,,,,,,,,,,,18,15,,20,18,,,,,,,,,,,,,,,LJEW208
Arua Ring,,,,171,646700,10,1,40,847,99,581,,,,,,,,,,,,,18,15,,26,25,,,,,,,,,,,,,,,LJEW209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necklace of River,,,,172,82200,10,1,40,891,95,581,,,,,,,,,,,,,22,12,,,,,,,,,,,,,,,,,,LJEW211
Necklace of Gale,,,,172,82200,10,1,40,901,95,581,,,,,,,,,,,,,24,5,,,,,,,,,,,,,,,,,,LJEW212
Necklace of Stone,,,,172,82200,10,1,40,890,95,581,,,,,,,,,,,,,19,12,,,,,,,,,,,,,,,,,,LJEW213
Necklace of Flame,,,,172,82200,10,1,40,892,95,581,,,,,,,,,,,,,18,15,,,,,,,,,,,,,,,,,,LJEW214
Necklace of the Sea,,,,172,356800,10,1,40,903,95,581,,,,,,,,,,,,,22,25,,39,250,,,,,,,,,,,,,,,LJEW215
Necklace of Typhoon,,,,172,356800,10,1,40,902,95,581,,,,,,,,,,,,,24,10,,23,50,,,,,,,,,,,,,,,LJEW216
Necklace of Cliff,,,,172,356800,10,1,40,893,95,581,,,,,,,,,,,,,19,24,,38,300,,,,,,,,,,,,,,,LJEW217
Necklace of Lava,,,,172,356800,10,1,40,894,95,581,,,,,,,,,,,,,18,15,,20,15,,,,,,,,,,,,,,,LJEW218
Arua Necklace,,,,172,646700,10,1,40,897,95,581,,,,,,,,,,,,,18,15,,26,25,,,,,,,,,,,,,,,LJEW219
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earring of River,,,,173,82200,10,1,40,875,97,581,,,,,,,,,,,,,22,12,,,,,,,,,,,,,,,,,,LJEW221
Earring of Gale,,,,173,82200,10,1,40,861,97,581,,,,,,,,,,,,,24,7,,,,,,,,,,,,,,,,,,LJEW222
Earring of Stone,,,,173,82200,10,1,40,863,97,581,,,,,,,,,,,,,19,12,,,,,,,,,,,,,,,,,,LJEW223
Earring of Flame,,,,173,82200,10,1,40,862,97,581,,,,,,,,,,,,,18,15,,,,,,,,,,,,,,,,,,LJEW224
Earring of the Sea,,,,173,356800,10,1,40,864,97,581,,,,,,,,,,,,,22,18,,39,150,,,,,,,,,,,,,,,LJEW225
Earring of Typhoon,,,,173,356800,10,1,40,866,97,581,,,,,,,,,,,,,24,10,,23,50,,,,,,,,,,,,,,,LJEW226
Earring of Cliff,,,,173,356800,10,1,40,876,97,581,,,,,,,,,,,,,19,24,,38,300,,,,,,,,,,,,,,,LJEW227
Earring of Lava,,,,173,356800,10,1,40,865,97,581,,,,,,,,,,,,,18,15,,20,15,,,,,,,,,,,,,,,LJEW228
Arua Earring,,,,173,646700,10,1,40,871,97,581,,,,,,,,,,,,,18,15,,26,30,,,,,,,,,,,,,,,LJEW229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
