,,,,,,,,,,Forge,Seasonal Event,Item Swap,No Disassem
??????,425,,55,12054,5,12116,15,,,,,,
??????,425,,75,12055,6,12117,20,12116,10,,,,
??????,425,,90,12056,12,12118,25,12117,15,,,,
??????,425,,105,12057,15,12119,30,12118,20,,,,
??????,425,,120,12058,18,12120,35,12119,25,,,,
??????,425,,135,12059,20,12135,40,12120,30,,,,
??????,425,,150,12060,22,12103,45,12135,24,,,,
????,426,,15,12041,3,12183,8,,,,,,
????,426,,25,12042,4,12185,10,,,,,,
????,426,,35,12043,5,12186,12,,,,,,
????,426,,55,12044,6,12111,14,,,,,,
????,426,,75,12045,7,12112,16,12111,10,,,,
????,426,,90,12046,12,12113,22,12122,15,,,,
????,426,,105,12047,15,12114,28,12113,20,,,,
????,426,,120,12048,18,12115,34,12114,25,,,,
????,426,,135,12049,20,12134,40,12115,30,,,,
????,426,,150,12050,22,12104,23,12134,35,,,,
????,425,,10,12171,2,,,,,,,,
????,425,,13,12172,3,,,,,,,,
????,425,,18,12175,7,,,,,,,,
????,425,,19,12178,6,,,,,,,,
????,425,,22,12182,8,,,,,,,,
????,425,,25,12183,10,,,,,,,,
????,425,,28,12188,12,,,,,,,,
????,425,,50,12057,30,12112,10,,,,,,
????,425,,75,12057,30,12113,15,,,,,,
????,425,,100,12058,30,12113,20,,,,,,
????????,425,,125,12058,35,12114,20,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
????????,421,,20,12041,5,12123,5,,,,,,
????????,421,,40,12008,10,12113,5,12137,5,,,,
????????,421,,30,12098,15,12124,5,,,,,,
????????,426,,100,12049,30,12115,20,12199,15,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mask 1,421,,430,12289,25,12292,50,12258,65,,,,
Mask 2,,12010,432,12289,15,12104,150,12089,15,,,,
Mask 3,,12009,465,12289,13,12290,17,12256,55,,,,
Mask 4,426,,477,12290,20,12284,5,12293,65,,,,
Mask 5,,12060,645,12284,35,12079,425,11334,10,,,,
Crystal Mask,427,,70,12554,290,12242,25,12290,20,,,,
Fairy Mask,425,,160,12193,220,12586,20,,,,,,
Blessed Fairy Mask,,1103,1,12587,50,,,,,,,,
Fairy Queen Mask,,1104,1,12587,100,,,,,,,,
Purple Spectral Artifact,434,,120,1106,1,12590,45,12577,20,,,,
Yellow Spectral Artifact,434,,120,1106,1,12591,45,12577,20,,,,
White Spectral Artifact,434,,120,1106,1,12592,45,12577,20,,,,
Green Spectral Artifact,434,,120,1106,1,12593,45,12577,20,,,,
Red Spectral Artifact,434,,120,1106,1,12594,45,12577,20,,,,
Blue Spectral Artifact,434,,120,1106,1,12595,45,12577,20,,,,
Communication Gemstone,427,,150,12135,60,12163,40,12596,80,,,,
Vermilion Persecutor Mask,423,,120,12598,30,1115,1,,,,,,
Azure Persecutor Mask,423,,120,12599,30,1115,1,,,,,,
Dawnfrost Dismantle,,12633,3,,,,,,,,,,
[Celestial] Dawnfrost Dismantle,,12633,5,,,,,,,,,,
Astonish Circlet,427,,120,12627,100,1292,1,1293,1,,,,1
Dream Circlet,427,,120,12627,100,1294,1,1295,1,,,,1
Sovereign's Circlet,427,,180,12633,60,1296,1,1297,1,,,,1
Exiling Blue Backshield,427,,120,12627,100,12632,50,6303,1,,,,1
Exiling Red Backshield,427,,120,12627,100,12631,50,6303,1,,,,1
Exiling Gold Backshield,427,,180,12633,60,6304,1,6305,1,,,,1
Limit Breaker,427,,120,12627,100,7035,1,7036,1,,,,1
Restrain Shifter,427,,120,12627,100,7037,1,7038,1,,,,1
Sovereign's Treasure,427,,180,12633,60,7039,1,7040,1,,,,1
Sunlight Kindred,427,,150,12628,120,9084,1,9223,1,,,,1
Transcendence [item],,1298,1,6306,1,7041,1,9224,1,,,,1
Blue Box,,12626,40,12629,40,12630,40,,,,,,1
Lens of Dawn,427,,30,12623,1,12624,1,,,,,,1
White Devil's Mask,424,,210,12547,50,12605,10,12551,100,,,,
Black Devil's Mask,424,,210,12610,50,12605,10,12551,100,,,,
Daogul Shields,422,,260,12548,120,12545,120,12636,10,,,,
Sphere Of Requiem,,12545,40,12637,100,12638,100,,,,,,1
??????,421,,20,12041,10,12099,1,,,,,,
??????,421,,40,12042,20,12101,2,,,,,,
??????,421,,60,12043,30,12102,5,,,,,,
??????,421,,100,12044,40,12121,3,,,,,,
??????,421,,120,12045,50,12123,4,,,,,,
??????,421,,140,12046,70,12124,20,,,,,,
??????,421,,160,12047,80,12125,25,,,,,,
??????,421,,180,12048,90,12136,30,,,,,,
??????,421,,200,12049,100,12137,35,,,,,,
??????,421,,220,12050,110,12105,40,,,,,,
??????,425,,30,12001,5,12182,1,,,,,,
??????,425,,50,12002,10,12183,3,,,,,,
??????,425,,80,12003,15,12184,5,,,,,,
??????,425,,110,12004,30,12054,20,12116,8,,,,
??????,425,,130,12012,50,12055,25,12117,10,,,,
??????,425,,150,12006,40,12056,30,12118,15,,,,
??????,425,,170,12007,60,12057,35,12119,20,,,,
??????,425,,200,12008,70,12058,40,12120,25,,,,
??????,425,,230,12009,80,12059,45,12135,30,,,,
??????,425,,260,12010,90,12060,50,12103,35,,,,
????,426,,45,12041,5,12183,5,,,,,,
????,426,,65,12042,10,12185,10,,,,,,
????,426,,90,12043,25,12186,20,,,,,,
????,426,,125,12044,40,12187,30,12111,10,,,,
????,426,,150,12045,55,12188,45,12112,20,,,,
????,426,,160,12046,40,12189,40,12113,25,,,,
????,426,,170,12047,60,12265,50,12114,30,,,,
????,426,,180,12048,70,12272,60,12115,35,,,,
????,426,,190,12049,80,12278,70,12134,40,,,,
????,426,,200,12050,90,12281,80,12104,22,,,,
????,426,,10,12171,5,12091,5,,,,,,
????,426,,20,12175,6,12094,8,,,,,,
????,426,,30,12178,7,12095,6,,,,,,
????,426,,40,12185,8,12097,5,,,,,,
????,426,,50,12186,12,12185,10,,,,,,
????,426,,60,12187,16,12186,15,,,,,,
????,426,,70,12188,20,12187,20,,,,,,
????,426,,100,12189,40,12186,30,12111,15,,,,
????,426,,150,12261,50,12187,40,12112,20,,,,
????,426,,200,12262,40,12188,50,12113,25,,,,
,426,,250,12194,70,12193,60,12115,30,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
??????,421,,7,12041,2,12099,1,,,,,,
??????,421,,12,12042,3,12101,2,,,,,,
??????,421,,20,12043,5,12102,3,,,,,,
??????,421,,35,12044,6,12121,3,,,,,,
??????,421,,40,12045,10,12123,3,,,,,,
??????,421,,50,12046,15,12124,4,,,,,,
??????,421,,60,12047,20,12125,5,,,,,,
??????,421,,70,12048,25,12136,6,,,,,,
??????,421,,80,12049,30,12137,7,,,,,,
??????,421,,90,12050,35,12105,8,,,,,,
??????,425,,6,12001,3,12182,2,,,,,,
??????,425,,10,12002,6,12183,4,,,,,,
??????,425,,15,12003,9,12184,5,,,,,,
??????,425,,25,12004,12,12054,6,12116,8,,,,
??????,425,,35,12005,15,12055,7,12117,15,,,,
??????,425,,50,12006,20,12056,10,12118,20,,,,
??????,425,,65,12007,25,12057,13,12119,25,,,,
??????,425,,80,12008,30,12058,16,12120,30,,,,
??????,425,,95,12009,40,12059,19,12135,35,,,,
??????,425,,110,12010,50,12060,22,12103,40,,,,
????,426,,10,12041,2,12183,2,,,,,,
????,426,,15,12042,5,12185,4,,,,,,
????,426,,28,12043,8,12186,6,,,,,,
????,426,,40,12044,10,12187,3,12111,15,,,,
????,426,,50,12045,12,12188,5,12112,20,,,,
????,426,,75,12046,30,12189,25,12113,20,,,,
????,426,,90,12047,33,12265,30,12114,25,,,,
????,426,,105,12048,36,12272,35,12115,30,,,,
????,426,,120,12049,40,12278,40,12134,35,,,,
????,426,,135,12050,44,12281,45,12104,20,,,,
????,426,,8,12171,2,12091,1,,,,,,
????,426,,10,12175,3,12094,2,,,,,,
????,426,,12,12178,4,12095,3,,,,,,
????,426,,14,12185,5,12097,4,,,,,,
????,426,,16,12186,6,12185,5,,,,,,
????,426,,18,12187,7,12186,6,,,,,,
????,426,,20,12188,8,12187,7,,,,,,
????,426,,40,12047,20,12189,10,12112,5,,,,
????,426,,60,12047,30,12261,15,12113,7,,,,
????,426,,80,12048,30,12262,20,12114,9,,,,
,426,,100,12048,35,12194,30,12115,11,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
??????,421,,8,12041,2,12099,5,,,,,,
??????,421,,15,12042,4,12101,8,,,,,,
??????,421,,28,12043,5,12102,11,,,,,,
??????,421,,40,12044,6,12121,14,,,,,,
??????,421,,50,12045,5,12123,17,,,,,,
??????,421,,60,12046,8,12124,20,,,,,,
??????,421,,70,12047,9,12125,23,,,,,,
??????,421,,80,12048,10,12136,26,,,,,,
??????,421,,90,12049,11,12137,29,,,,,,
??????,421,,100,12050,12,12105,32,,,,,,
Green Sandals of Witch,425,,7,12001,4,12182,2,,,,,,
Purple Sandals of Witch,425,,12,12002,6,12183,5,,,,,,
Violet Boots,425,,20,12003,9,12184,6,,,,,,
??????,425,,25,12004,12,12054,14,12116,10,,,,
??????,425,,35,12005,14,12055,17,12117,14,,,,
??????,425,,45,12012,22,12056,20,12118,20,,,,
??????,425,,55,12013,24,12057,23,12119,24,,,,
??????,425,,65,12014,26,12058,26,12120,28,,,,
??????,425,,75,12015,28,12059,29,12135,32,,,,
??????,425,,85,12016,30,12060,32,12103,36,,,,
????,426,,10,12041,3,12183,5,,,,,,
????,426,,20,12042,5,12185,8,,,,,,
????,426,,35,12043,8,12186,11,,,,,,
????,426,,45,12044,10,12187,14,12111,15,,,,
????,426,,55,12045,13,12188,17,12112,17,,,,
????,426,,70,12046,30,12189,30,12113,30,,,,
????,426,,80,12047,33,12265,33,12114,32,,,,
????,426,,90,12048,36,12272,36,12115,34,,,,
????,426,,100,12049,39,12278,39,12134,36,,,,
????,426,,110,12050,42,12281,42,12104,19,,,,
????,426,,8,12171,2,12091,1,,,,,,
????,426,,10,12175,3,12094,2,,,,,,
????,426,,12,12178,4,12095,2,,,,,,
????,426,,14,12185,5,12097,1,,,,,,
????,426,,16,12186,6,12185,7,,,,,,
????,426,,18,12187,7,12186,9,,,,,,
????,426,,20,12188,8,12187,10,,,,,,
????,426,,35,12047,10,12189,10,12113,5,,,,
????,426,,50,12047,15,12261,15,12114,7,,,,
????,426,,65,12048,15,12262,20,12114,9,,,,
,426,,80,12048,20,12194,30,12115,11,,,,
126 backsheild,421,,280,12263,150,12104,40,11361,15,,,,
157  backsheild,421,,475,6291,1,12103,125,12137,58,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Turtle Backshield,421,,20,12172,7,12041,2,,,,,,
Endevour Backshield,421,,25,12172,9,12042,2,,,,,,
Training Backshield,421,,35,12190,10,12043,2,,,,,,
Guard Backshield,421,,45,12192,13,12044,2,,,,,,
Lion Backshield,421,,70,12192,30,12126,5,,,,,,
????????,,,,,,,,,,,,,
Buffalo Bakchield,421,,80,12191,40,12127,10,,,,,,
????????,421,,100,12201,80,12099,50,12007,20,,,,
????????,421,,380,12040,75,12282,250,12139,50,,,,
Marlphos Gleaming Blades,422,,320,6248,1,12192,180,12577,50,,,,
Wavering Antares Backshield,421,,350,6581,1,12601,30,12597,50,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
????????,426,,50,12186,15,12097,5,,,,,,
????????,426,,70,12185,25,12112,10,,,,,,
????????,426,,120,12048,25,12129,20,,,,,,
????????,425,,150,12058,30,12193,60,12115,25,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
????,425,,25,12179,5,12001,2,,,,,,
????,424,,40,12179,6,12002,6,,,,,,
????,425,,60,12180,20,12006,20,,,,,,
????,425,,50,12045,15,12111,3,,,,,,
????,425,,60,12046,20,12112,5,,,,,,
????,425,,80,12057,25,12128,15,,,,,,
????,425,,90,12057,35,12128,20,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
????,426,,15,12111,15,12196,10,,,,,,
????,426,,30,12112,20,12197,20,,,,,,
????,426,,45,12113,25,12198,25,,,,,,
????,426,,45,12114,30,12199,30,,,,,,
????,426,,75,12115,20,12199,40,,,,,,
????,426,,120,12115,30,12200,50,,,,,,
????,426,,90,12113,20,12198,45,,,,,,
????,426,,100,12114,30,12199,50,,,,,,
????,426,,140,12115,50,12270,45,,,,,,
????,426,,180,12265,80,12156,20,11311,7,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fazzy's Greed Wings,426,,260,12563,50,12551,10,6431,1,,,,
Archangel Wings,426,,280,12250,70,12134,50,11364,1,,,,
Archdevil Wings,426,,280,12251,70,12134,50,11374,1,,,,
Ominous Archangel Wings,426,,390,12611,70,6439,1,6840,1,,,,
Ominous Archdevil Wings,426,,390,12611,70,6439,1,6842,1,,,,
Dismal Nephthys Wings,426,,780,12622,200,6519,1,6015,1,,,,1
,,,,,,,,,,,,,
Frozen Archangel Wings,,12242,50,12241,40,6233,1,6840,1,,,,
Frozen Archdevil Wings,,12242,50,12241,40,6233,1,6842,1,,,,
Harmful Blazing Wings,427,,120,6428,1,6428,1,12603,1,,,,1
Crate of Small Health Herbs,,12484,20,,,,,,,,,,
Crate of Medium Health Herbs,,12485,20,12484,10,,,,,,,,
Crate of Large Health Herbs,,12486,10,12485,15,12484,10,,,,,,
Crate of Superior Health Herbs,,12482,15,12486,20,12485,20,12484,15,,,,
Crate of Small Mana Herbs,,12484,20,,,,,,,,,,
Crate of Medium Mana Herbs,,12485,20,12484,10,,,,,,,,
Crate of Large Mana Herbs,,12486,10,12485,15,12484,10,,,,,,
Crate of Superior Mana Herbs,,12480,15,12486,20,12485,20,12484,15,,,,
Crate of Small Herbal Recoveries,,12484,25,12480,15,,,,,,,,
Crate of Medium Herbal Recoveries,,12485,30,12481,15,,,,,,,,
Crate of Large Herbal Recoveries,,12486,35,12482,15,,,,,,,,
Crate of Superior Herbal Recoveries,,12486,40,12482,20,12481,20,12480,20,,,,
DROPPED Crate of Small Stamina Herbs,,,,,,,,,,,,,
DROPPED Crate of Medium Stamina Herbs,,,,,,,,,,,,,
DROPPED Crate of Large Stamina Herbs,,,,,,,,,,,,,
DROPPED Crate of Superior Stamina Herbs,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Crate of Platinum Arrows,424,,25,12111,3,12471,5,,,,,,
Crate of Storm Arrows,424,,25,12112,4,12473,7,,,,,,
Crate of Cherry Blossom Arrows,424,,25,12113,5,12474,5,,,,,,
Crate of Vengeance Arrows,424,,25,12114,6,12476,7,,,,,,
Crate of Angelic Arrows,424,,25,12115,7,12478,3,,,,,,
,424,,25,12134,8,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Crate of Gold-Plated Bullets,421,,25,12116,3,12471,5,,,,,,
Crate of Platinum Bullets,421,,25,12117,4,12473,7,,,,,,
Crate of Chromium Bullets,421,,25,12118,5,12474,5,,,,,,
Crate of Vortex Bullets,421,,25,12119,6,12476,7,,,,,,
Crate of Nova Bullets,421,,25,12120,7,12478,3,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Crate of Poison Bubbles,421,,25,12012,5,12471,5,,,,,,
Crate of Blaze Bullets,421,,25,12013,6,12473,7,,,,,,
Crate of Rock Cannons,421,,25,12014,7,12474,5,,,,,,
Crate of Cluster Cannons,421,,25,12015,8,12476,7,,,,,,
Crate of Blaze Cannons,421,,25,12016,9,12478,3,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Teiwez Mask,422,,250,12588,30,12585,20,12589,15,,,,
Hook Wings,426,,150,12170,30,12280,70,12095,30,,,,
Mighty Hook Wings,427,,20,6836,1,12073,50,12122,30,,,,
Mask,422,,560,12281,380,12288,170,12244,40,,,,
Backshield,422,,670,12285,150,12271,230,12244,40,,,,
Wings,426,,450,12198,30,12199,30,12244,30,,,,
Bag,421,,370,12162,50,12278,120,12244,15,,,,
Shamshir,,8019,1,12240,50,,,,,,5,,
4-Stick,,8076,1,12240,70,,,,,,5,,
Rune Staff,,8313,1,12240,50,,,,,,5,,
Sternen,,8349,1,12240,60,,,,,,5,,
Skull Breaker,,8052,1,12240,80,,,,,,5,,
Zephyr,,8222,1,12240,80,,,,,,5,,
Burnthesnatch,,8421,1,12240,80,,,,,,5,,
Gigantic Wave,,8279,1,12240,80,,,,,,5,,
Grand Slasher,,8026,1,12256,50,12253,70,12239,50,,,,
Eagle Slayer,,8057,1,12256,50,12253,70,12239,50,,,,
Hydras Bowgun,,8079,1,12258,50,12253,70,12239,50,,,,
Asmodeus Blade,,8127,1,12256,50,12253,70,12239,50,,,,
Belial Axe,,8153,1,12255,50,12253,70,12239,50,,,,
Eternal Impaler,,8186,1,12255,50,12253,70,12239,50,,,,
Pincer Bow,,8227,1,12259,50,12253,70,12239,50,,,,
Pulse Rifle,,8260,1,12257,50,12253,70,12239,50,,,,
Meteorite Launcher,,8286,1,12257,50,12253,70,12239,50,,,,
Pole of abyss,,8329,1,12258,50,12253,70,12239,50,,,,
The Wand,,8357,1,12257,50,12253,70,12239,50,,,,
Bastet Claws,,8424,1,12259,50,12253,70,12239,50,,,,
Elemental Dual,,8451,1,12259,50,12253,70,12239,50,,,,
Glazing Glaives - Right,,8001296,1,12259,50,12253,70,12239,50,,,,
Glazing Glaives - Left,,8001297,1,12259,50,12253,70,12239,50,,,,
Blaze Dancer,,8027,1,12531,350,12555,20,12542,15,,,,
Glacier Cutter,,8058,1,12534,350,12555,20,12542,15,,,,
Nepheramun xBow,,8080,1,12533,350,12555,20,12542,15,,,,
Warmaster Sword,,8128,1,12531,350,12555,20,12542,15,,,,
Lava Axe of Athoum,,8154,1,12529,350,12555,20,12542,15,,,,
Deadly Avarice,,8187,1,12529,350,12555,20,12542,15,,,,
Carnival Bow,,8229,1,12527,350,12555,20,12542,15,,,,
Mana Shooter,,8259,1,12530,350,12555,20,12542,15,,,,
Fusion Launcher,,8288,1,12530,350,12555,20,12542,15,,,,
Oblivion Staff,,8326,1,12528,350,12555,20,12542,15,,,,
Void Conjurer,,8358,1,12527,350,12555,20,12542,15,,,,
Ritual Katar,,8426,1,12532,350,12555,20,12542,15,,,,
Resiliance Duals,,8452,1,12532,350,12555,20,12542,15,,,,
Breakdown Glaive - Right,,8001298,1,12532,350,12555,20,12542,15,,,,
Breakdown Glaive - Left,,8001299,1,12532,350,12555,20,12542,15,,,,
Iced Worm Dragon Wings,,6231,1,12240,70,12194,100,,,,5,,
Iced Grace Wings,,12198,20,12199,20,12240,80,12194,120,,5,,
Iced Lizard Backshield,,6248,1,12240,80,12194,120,,,,5,,
Iced Antares Backshield,,6581,1,12240,100,12194,160,,,,5,,
Iced Caliburn,,8121,1,12240,80,,,,,,5,,
Iced Adamantium Axe,,8146,1,12240,50,,,,,,5,,
Iced Fury Spantun,,8179,1,12240,55,,,,,,5,,
Iced Tornado Rifle,,8251,1,12240,80,,,,,,5,,
Iced Kusanagi,,8001284,1,12240,50,,,,,,5,,
Iced Kusanagi,,8001285,1,12240,50,,,,,,5,,
Iced Desperado Dual Wield,,8444,1,12240,50,,,,,,5,,
??????,421,,13,12041,2,12176,1,,,,,,
??????,421,,17,12041,3,12176,2,,,,,,
??????,421,,23,12041,4,12179,3,,,,,,
??????,421,,30,12042,13,12180,4,,,,,,
??????,421,,45,12042,14,12102,3,,,,,,
??????,421,,50,12043,15,12102,5,,,,,,
??????,421,,55,12043,16,12099,15,,,,,,
??????,421,,60,12044,17,12099,15,12126,12,,,,
??????,421,,70,12044,20,12099,15,12127,14,,,,
??????,421,,80,12045,30,12011,10,12128,16,,,,
??????,421,,90,12045,40,12012,15,12129,18,,,,
??????,421,,100,12046,40,12013,15,12130,15,,,,
??????,422,,150,12047,30,12128,20,12194,10,,,,
??????,422,,180,12047,40,12128,22,12261,15,,,,
??????,422,,210,12048,40,12129,25,12262,16,,,,
??????,422,,240,12048,45,12129,28,12263,17,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,421,,18,12051,4,12176,3,,,,,,
??????,421,,28,12051,5,12176,4,,,,,,
??????,421,,38,12051,6,12179,5,,,,,,
??????,421,,48,12052,7,12180,6,,,,,,
??????,421,,58,12052,8,12102,4,,,,,,
??????,421,,68,12053,9,12102,6,,,,,,
??????,421,,78,12053,10,12099,9,,,,,,
??????,421,,90,12054,15,12099,10,12126,12,,,,
??????,421,,100,12054,20,12099,12,12126,14,,,,
??????,421,,100,12055,25,12011,15,12127,16,,,,
??????,421,,110,12055,30,12012,20,12128,18,,,,
??????,421,,120,12056,35,12013,25,12129,20,,,,
??????,421,,130,12057,40,12014,30,12130,22,,,,
??????,422,,170,12058,34,12128,30,12194,20,,,,
??????,422,,210,12058,40,12128,40,12262,30,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
????????,421,,10,12041,3,12172,3,,,,,,
