,,,12:????,,,,,10:????,,,11:????,,,01~06:??????,,,08~09:????,,07:??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornet,12177,,12177,10171,,12175,10161,10002,12177,12175,10151,12175,,12175,12177,12175,12177,12175,12175,10407,12175,10407,12175,,,1,1,2,3,4,2091,3121,2006,4091,4091,8162,5031,2061,3091,4121,8301,8401,8032,8331,9002,8331,8032,8162,8301,8401
Queen HoneyBee,12177,12181,12177,10151,12181,10171,,10021,12177,10161,12177,12181,,12181,12177,12181,12177,12181,12181,,,12181,,,,1,3,2,2,4,8004,8302,8102,8232,8402,8163,2009,3009,4009,5009,8004,8102,8203,8302,9061,8004,8102,8203,8302,8332
Queen Bibi,,12181,12177,10161,12181,12181,10151,10022,12177,12181,10171,12181,,12181,12177,12181,12177,12181,12181,,,12181,,,,1,2,3,3,4,8302,2062,8203,8302,8033,8005,4031,5061,2091,3121,8402,8033,8131,8332,9062,8402,8033,8131,8332,8203
Master Queen Bibi,12177,12181,10171,12177,,12181,12177,10023,12177,10162,12196,10152,12196,12196,12177,12181,12177,12181,7271,12197,,12197,12197,,,1,2,3,3,4,3092,4122,8103,8403,8303,8403,5311,2062,3092,4122,8163,8005,8103,8204,6222,8132,8034,8164,8531,8761
Needle Pomic,12175,,12175,10171,10101,12176,10161,,12175,10151,12175,12176,,12176,12175,12176,12175,12176,12176,10408,12176,10408,12176,,,1,1,1,2,2,8162,8032,5121,2031,3091,8301,2005,3005,4005,5005,,,,,,,,,,
Pomic,12175,12176,10151,12175,,10171,12175,,12175,10161,12175,12176,,12176,12175,12176,12175,12176,12176,10408,12176,10408,12176,,,1,1,2,3,3,2091,8101,8162,5031,8162,8401,2005,3005,4005,5005,8031,8003,8101,8202,9001,,,,,
Red Pomic,12175,12176,12175,10171,12178,12176,10161,10002,12175,10151,12175,12176,,12176,12175,12176,12175,12176,12176,10408,12176,10408,12176,,,1,1,2,3,3,8131,4091,8202,8003,8202,8032,3032,4062,5092,2122,8231,8301,8401,8032,9061,,,,,
Pomic Soldier,12175,10171,12381,12175,10101,10161,12175,10002,10151,12176,12175,12176,,12176,12175,12176,12175,12176,12176,10409,12176,10409,12176,,,1,1,2,3,3,8162,8101,8162,8032,8231,8331,5031,2061,3091,4121,8331,8032,8401,8231,9002,,,,,
Pomic Fighter,12175,12178,10171,12175,,12176,10151,12178,12175,10161,12175,12176,,12176,12175,12176,12175,12176,12176,10409,12176,10409,12176,7082,,1,3,2,2,4,2121,3031,8202,8401,8231,8162,2031,3061,4091,5121,8202,8101,8003,8032,9062,8162,8004,8102,8003,8032
Beetle,12176,12178,12176,10171,,10161,12176,,12176,12172,10151,12172,12381,12172,12176,12172,12176,12172,12172,10410,12172,10410,12172,,,1,3,2,2,4,1008,8401,8231,8301,8032,8101,3031,4061,5091,2121,8162,8331,8032,8401,9002,8162,8331,8032,8401,5505
Beetle Fighter,12176,12172,10161,12176,12178,10171,12176,10002,12176,10151,12178,12172,,12172,12176,12172,12176,12172,12172,,10410,12172,10410,,,1,3,2,2,4,8402,8162,8301,8331,8202,8202,8162,8331,8003,8101,5031,2061,3091,4121,9062,8033,8131,8332,8102,8162
Turtle,,10171,12191,12191,,10161,12191,10002,10151,12192,12191,12192,,12192,12191,12192,12191,12192,12192,,10411,12192,10411,7088,,1,3,2,2,4,4008,8004,8401,8203,8402,8231,8032,8162,8004,8101,2031,3061,4091,5121,9002,8004,8162,8331,8102,4503
Turtle Guard,12191,12192,12191,10161,10101,12192,10151,,12191,10171,12191,12192,,12192,12191,12192,12191,12192,12192,,10411,12192,10411,,,1,3,2,2,4,2310,8332,8032,8131,8033,8004,8102,8203,8232,8302,3031,4061,5091,2121,9003,8102,8004,8203,8232,3603
