Title,Lower Level,Upper Level,Font Colour,Display Time (seconds),String,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],8,16,4,10,LHEL149,,,,,,,,,,,,,,,,,,,,,,,,
[??],8,16,4,10,LHEL150,,,,,,,,,,,,,,,,,,,,,,,,
[??],8,16,4,10,LHEL151,,,,,,,,,,,,,,,,,,,,,,,,
[??],8,16,4,10,LHEL152,,,,,,,,,,,,,,,,,,,,,,,,
[??],8,20,4,10,LHEL153,,,,,,,,,,,,,,,,,,,,,,,,
[??],8,20,4,10,LHEL154,,,,,,,,,,,,,,,,,,,,,,,,
[??],21,30,4,10,LHEL155,,,,,,,,,,,,,,,,,,,,,,,,
[??],21,30,4,10,LHEL156,,,,,,,,,,,,,,,,,,,,,,,,
[??],21,40,4,10,LHEL157,,,,,,,,,,,,,,,,,,,,,,,,
[??],21,40,4,10,LHEL158,,,,,,,,,,,,,,,,,,,,,,,,
[??],21,40,4,10,LHEL159,,,,,,,,,,,,,,,,,,,,,,,,
[??],21,40,4,10,LHEL160,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,50,4,10,LHEL171,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[????],0,0,5,10,,,,,,,,,,,,,,,,,,,,,,,,,
[????],0,0,5,10,,,,,,,,,,,,,,,,,,,,,,,,,
[????],1,50,5,10,LHEL223,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
