desc,Type (Unused),Description (Unused),Filename (Required)
[Ferrel Storage Keeper] Bill Gate,??,NPC,3Ddata\Event\EM22-012.con
Tam,??,NPC,3DDATA\Event\EM-3207.con
Kelo Beachball Part2,??,NPC,3DDATA\Event\EM-1791.con
Easter Bunny,??,NPC,3Ddata\Event\EM22-015.con
[Referee] Aurelius,??,NPC,3Ddata\Event\EM-3210.con
[Referee] Aesteron,??,NPC,3Ddata\Event\EM-3211.con
[Referee] Themba,??,NPC,3Ddata\Event\EM-3212.con
[Akram Supplies] Harin,??,NPC,3Ddata\Event\EM-3213.con
Kelo Part2 Complete,??,NPC,3Ddata\Event\EM-1793.con
????????????-????????????-??????,??,NPC,3Ddata\Event\EM21-001.con
????????????-??????????-????,??,NPC,3Ddata\Event\EM21-002.con
????????????-??????-??????,??,NPC,3Ddata\Event\EM21-003.con
Plain Guide Bert,??,NPC,3Ddata\Event\EM22-009.con
Frost island npc east,??,NPC,3Ddata\Event\EM46-002.con
Frost island npc west,??,NPC,3Ddata\Event\EM46-001.con
Eucar npc warp to frost island,??,NPC,3Ddata\Event\EM51-005.con
Info Team Scroll,??,NPC,3Ddata\Event\EMEvent-Info.con
Snowman Present,??,NPC,3Ddata\Event\EM38-Present4.con
Plain Guide Bert 2,??,NPC,3Ddata\Event\EM22-011.con
??????????-????????????-????,??,NPC,3Ddata\Event\EM23-001.con
??????????-????????-????,??,NPC,3Ddata\Event\EM23-002.con
??????????-????????-????,??,NPC,3Ddata\Event\EM23-003.con
??????????-????????-????????,??,NPC,3Ddata\Event\EM23-004.con
Grandson Cheney,??,NPC,3Ddata\Event\EM01-018.con
,??,NPC,3Ddata\Event\EM-3228.con
,??,NPC,3Ddata\Event\EM-3229.con
Garden of Arua Fairy Static,??,NPC,3Ddata\Event\EM-1050.con
Garden of Arua Fairy,??,NPC,3Ddata\Event\EM-1054.con
,,,
??????????-????????????-????,??,NPC,3Ddata\Event\EM24-001.con
??????????-????????-??????,??,NPC,3Ddata\Event\EM24-002.con
??????????-????????????-????????,??,NPC,3Ddata\Event\EM24-003.con
,,,
SeasonalEvent_Halloween,??,NPC,3DDATA\Event\SeasonalEvent_Halloween.con
SeasonalEvent_Christmas,??,NPC,3DDATA\Event\SeasonalEvent_Christmas.con
SeasonalEvent_Valentines,??,NPC,3DDATA\Event\SeasonalEvent_Valentines.con
SeasonalEvent_Easter,??,NPC,3DDATA\Event\SeasonalEvent_Easter.con
SeasonalEvent_Summer,??,NPC,3DDATA\Event\SeasonalEvent_Summer.con
Skill Quest - Mica,??,NPC,3Ddata\Event\EM02-045.con
??????????-????-????,??,NPC,3Ddata\Event\EM02-001.con
??????????-??????-????,??,NPC,3Ddata\Event\EM02-002.con
??????????-??????????-??????,??,NPC,3Ddata\Event\EM02-003.con
??????????-??????????????-????,??,NPC,3Ddata\Event\EM02-004.con
??????????-??????????????-??,??,NPC,3Ddata\Event\EM02-005.con
??????????-??????????????-??????,??,NPC,3Ddata\Event\EM02-006.con
??????????-??????????????-??,??,NPC,3Ddata\Event\EM02-007.con
??????????-????????????-????,??,NPC,3Ddata\Event\EM02-008.con
??????????-????????????-??????,??,NPC,3Ddata\Event\EM02-009.con
??????????-????????????-??????,??,NPC,3Ddata\Event\EM02-010.con
??????????-????????????-??????,??,NPC,3Ddata\Event\EM02-011.con
??????????-??????????-??????,??,NPC,3Ddata\Event\EM02-012.con
??????????-????????-????,??,NPC,3Ddata\Event\EM02-013.con
??????????-??????????-????,??,NPC,3Ddata\Event\EM02-014.con
??????????-????????-????,??,NPC,3Ddata\Event\EM02-015.con
??????????-????????????-????,??,NPC,3Ddata\Event\EM02-016.con
??????????-????????-????,??,NPC,3Ddata\Event\EM02-017.con
??????????-????????????-??????,??,NPC,3Ddata\Event\EM02-018.con
??????????-????????????-????,??,NPC,3Ddata\Event\EM02-019.con
??????????-????????????-????,??,NPC,3Ddata\Event\EM02-020.con
??????????-????????-??,??,NPC,3Ddata\Event\EM02-021.con
??????????-????????-????,??,NPC,3Ddata\Event\EM02-022.con
??????????-????-????,??,NPC,3Ddata\Event\EM02-023.con
??????????-????????-????,??,NPC,3Ddata\Event\EM02-024.con
??????????-????-????,??,NPC,3Ddata\Event\EM02-025.con
??????????-????-????,??,NPC,3Ddata\Event\EM02-026.con
??????????-????????????-??????,??,NPC,3Ddata\Event\EM02-027.con
??????????-?????? ????-?????? ?? ????,??,NPC,3Ddata\Event\EM02-028.con
??????????-???????? ????-??????,??,NPC,3Ddata\Event\EM02-029.con
??????????-????????????-????,??,NPC,3Ddata\Event\EM02-030.con
??????????-???????? ????-????,??,NPC,3Ddata\Event\EM02-031.con
??????????-?????? ??????-????????,??,NPC,3Ddata\Event\EM02-032.con
?????? ????-????-????,??,NPC,3Ddata\Event\EM02-033.con
?????? ????-????-????,??,NPC,3Ddata\Event\EM02-034.con
??????????-????????-????????,??,NPC,3Ddata\Event\EM02-035.con
??????????-??????????-??????,??,NPC,3Ddata\Event\EM02-036.con
??????????-??????????-??????,??,NPC,3Ddata\Event\EM02-037.con
??????????-???? ??????-??????,??,NPC,3Ddata\Event\EM02-038.con
[Stylist Cindy] New,??,NPC,3Ddata\Event\EM02-043.con
??????????-???? ??????-??????,??,NPC,3Ddata\Event\EM06-001.con
??????????-????????????-????,??,NPC,3Ddata\Event\EM25-001.con
??????????-??????????-????,??,NPC,3Ddata\Event\EM25-002.con
??????????-????????-??????,??,NPC,3Ddata\Event\EM25-003.con
[Mountain Moldie] Wilson,??,NPC,3Ddata\Event\EM25-004.con
Training Ground Gamp,??,NPC,3Ddata\Event\EM06-002.con
King,??,NPC,3Ddata\Event\EM02-039.con
Queen,??,NPC,3Ddata\Event\EM02-040.con
Guard,??,NPC,3Ddata\Event\EM02-041.con
Second Guard,??,NPC,3Ddata\Event\EM02-042.con
Desert of the Dead Scroll,??,NPC,3Ddata\Event\EMScroll-DOD.con
????????-??????????-????,??,NPC,3Ddata\Event\EM26-001.con
Memphis Key Quest,??,NPC,3Ddata\Event\EM84-1684.con
Memphis dungeon Ghost,??,NPC,3Ddata\Event\EM88-1679.con
Memphis Normal Armor,??,NPC,3Ddata\Event\EM84-1683.con
Memphis Advanced Armor,??,NPC,3Ddata\Event\EM84-1687.con
Memphis Extreme Armor,??,NPC,3Ddata\Event\EM84-1686.con
Memphis Gate,??,NPC,3Ddata\Event\EM84-1682.con
Memphis Tondro,??,NPC,3Ddata\Event\EM84-1689.con
Memphis Leader,??,NPC,3Ddata\Event\EM84-1688.con
Memphis potseller,??,NPC,3Ddata\Event\EM84-1685.con
??????????-????????????-????????,??,NPC,3Ddata\Event\EM27-001.con
??????????-??????????????-????,??,NPC,3Ddata\Event\EM27-002.con
??????????-????????????-????,??,NPC,3Ddata\Event\EM27-003.con
??????????-????-????,??,NPC,3Ddata\Event\EM27-004.con
Bellia Junon Polis Valentine Clone,??,NPC,3Ddata\Event\EM-1147.con
Ghost Connor Valentine Clone,??,NPC,3Ddata\Event\EM-1148.con
Akram Quest 130 149 Exit,??,NPC,3Ddata\Event\EM-2370.con
Training Ground Scroll,??,NPC,3Ddata\Event\EMScroll-TG.con
[Mountain Guide] Wilson,??,NPC,3Ddata\Event\EM25-005.con
SeasonalEvent_Birthday,??,NPC,3DDATA\Event\SeasonalEvent_Birthday.con
??????????-????????????-????,??,NPC,3Ddata\Event\EM28-001.con
SeasonalEvent_WorldCup,??,NPC,3DDATA\Event\SeasonalEvent_WorldCup.con
[Ikaness Staff] Gremory,??,NPC,3Ddata\Event\EM25-006.con
Xita Refuge Scroll,??,NPC,3Ddata\Event\EMScroll-XITA.con
?????????,??,NPC,3Ddata\Event\EM29-001.con
?????????,??,NPC,3Ddata\Event\EM29-002.con
?????????,??,NPC,3Ddata\Event\EM29-003.con
?????????,??,NPC,3Ddata\Event\EM29-004.con
Hall of Fame Board,??,NPC,3Ddata\Event\HallofFame.con
,,,
???? ??????,??,NPC,3Ddata\Event\EM15-001.con
???? ??????,??,NPC,3Ddata\Event\EM15-002.con
[Hunter] Fredrick,??,NPC,3Ddata\Event\EM58-002.con
,,NPC,3Ddata\Event\EM16-001.con
,,NPC,3Ddata\Event\EM16-002.con
,,NPC,3Ddata\Event\EM16-003.con
,,NPC,3Ddata\Event\EM16-004.con
,,NPC,3Ddata\Event\EM16-005.con
,,NPC,3Ddata\Event\EM16-006.con
,,NPC,3Ddata\Event\EM16-007.con
[Eucar Judge] Ishtal,??,NPC,3Ddata\Event\EM51-001.con
[Akram Ambassador] Eliot,??,NPC,3Ddata\Event\EM51-002.con
[Arumic Prophet] Olleck Basilasi,??,NPC,3Ddata\Event\EM51-003.con
t4,,NPC,3Ddata\Event\EM51-004.con
[Racing Guide] Gibnu,,NPC,3Ddata\Event\EM191-001.con
Kiroro Magic City,,NPC,3Ddata\Event\EM51-006.con
???????? ????-,,,
???????? ????-,,,
???????? ????-,,,
[Ferrell Guild Banker] Andre,??,NPC,3Ddata\Event\EM51-010.con
[Smith] Pavrick,??,NPC,3Ddata\Event\EM51-011.con
npc 1,??,NPC,3Ddata\Event\EM51-100.con
npc 2,??,NPC,3Ddata\Event\EM51-101.con
[Ferrell Trader] Sergei,??,NPC,3Ddata\Event\EM51-014.con
[Magic Goods Seller] Pabel,??,NPC,3Ddata\Event\EM51-015.con
[Tavern Owner] Anzhelika,??,NPC,3Ddata\Event\EM51-016.con
npc 3,??,NPC,3Ddata\Event\EM51-102.con
[Station Guide] Illiya,??,NPC,3Ddata\Event\EM51-018.con
npc 4,??,NPC,3Ddata\Event\EM51-103.con
Ivanov,??,NPC,3Ddata\Event\EM52-001.con
Est,??,NPC,3Ddata\Event\EM54-001.con
Enu,??,NPC,3Ddata\Event\EM54-002.con
Corruption Stone,??,NPC,3Ddata\Event\EM52-002.con
b1 guide,??,NPC,3Ddata\Event\EM76-001.con
b2 guide,??,NPC,3Ddata\Event\EM77-001.con
b3 buide,??,NPC,3Ddata\Event\EM78-001.con
Clan Beach Oro CF Teleporter,,NPC,3Ddata\Event\EM16-008.con
,,,
,,,
,,,
????????1-??????????,??,NPC,3Ddata\Event\EM98-001.con
????????2-??????????,??,NPC,3Ddata\Event\EM98-002.con
????????3-????????,??,NPC,3Ddata\Event\EM98-003.con
???? ,??,NPC,3Ddata\Event\EM01-100.con
????????-??????-????,??,NPC,3Ddata\Event\EM01-101.con
????????-??????-????,??,NPC,3Ddata\Event\EM01-102.con
,,,
,,,
,,,
,,,
????????????-?????? ????,??,NPC,3Ddata\Event\EM61-001.con
????????????-?????? ??????,??,NPC,3Ddata\Event\EM61-002.con
????????????-??????,??,NPC,3Ddata\Event\EM61-003.con
????????????-?????? ??????,??,NPC,3Ddata\Event\EM61-004.con
????????????-?????? ????,??,NPC,3Ddata\Event\EM61-005.con
[Patrol Dog] Max,??,NPC,3Ddata\Event\EM61-006.con
????????????-?????? ????,??,NPC,3Ddata\Event\EM61-007.con
,,,
????????????-?? ??,??,NPC,3Ddata\Event\EM61-009.con
????????????-?????? ??,??,NPC,3Ddata\Event\EM61-010.con
????????????-?????? ??????,??,NPC,3Ddata\Event\EM61-011.con
????????????-?????? ????,??,NPC,3Ddata\Event\EM61-012.con
????????????-?? ??????,??,NPC,3Ddata\Event\EM61-013.con
????????????-????,??,NPC,3Ddata\Event\EM61-014.con
eldeon 1,??,NPC,3Ddata\Event\EM61-100.con
eldeon 2,??,NPC,3Ddata\Event\EM61-102.con
[Raknu Warrior] Guanu,??,NPC,3Ddata\Event\EM61-019.con
[Raknu Warrior] Toanu,??,NPC,3Ddata\Event\EM61-020.con
[Raknu Resident] Jerrita,??,NPC,3Ddata\Event\EM61-026.con
[Raknu Resident] Netty,??,NPC,3Ddata\Event\EM61-027.con
Meat Turner,??,,3Ddata\Event\EM61-015.con
[Lv50-69] Akram Quest,??,NPC,3Ddata\Event\EM-2290.CON
[Lv70-89] Akram Quest,??,NPC,3Ddata\Event\EM-2291.CON
[Lv90-109] Akram Quest,??,NPC,3Ddata\Event\EM-2292.CON
[Lv110-129] Akram Quest,??,NPC,3Ddata\Event\EM-2293.CON
,,,
Phino - 70-89,??,NPC,3Ddata\Event\EM-2306.CON
Lobo - 70-89,??,NPC,3Ddata\Event\EM-2307.CON
Phino - 90-109,??,NPC,3Ddata\Event\EM-2309.CON
Lobo - 90-109,??,NPC,3Ddata\Event\EM-2310.CON
Phino - 110-129,??,NPC,3Ddata\Event\EM-2312.CON
Lobo - 110-129,??,NPC,3Ddata\Event\EM-2313.CON
Phino - 50-69,??,NPC,3Ddata\Event\EM-2295.CON
Lobo - 50-69,??,NPC,3Ddata\Event\EM-2296.CON
[Clan Advisor] Quintin,??,NPC,3Ddata\Event\EM-1160.con
Clan Wartable,??,NPC,3Ddata\Event\Clan-Wartable.con
,,,
Guard Captain,??,NPC,3Ddata\Event\EM-1516.con
Soldier Maria,??,NPC,3Ddata\Event\EM-1738.con
[Monkey] Charlie Longtail,,,
[Cleric] Jude,??,NPC,3Ddata\Event\EM62-001.con
[Sikuku Chief] Namiel Char,??,NPC,3Ddata\Event\EM62-002.con
??????????-????,??,NPC,3Ddata\Event\EM62-003.con
??????????-????,??,NPC,3Ddata\Event\EM62-004.con
??????????-????,??,NPC,3Ddata\Event\EM62-005.con
??????????-????,??,NPC,3Ddata\Event\EM62-006.con
??????????-????,??,NPC,3Ddata\Event\EM62-007.con
??????????-????,??,NPC,3Ddata\Event\EM62-008.con
??????????-????,??,NPC,3Ddata\Event\EM62-009.con
??????????-????,??,NPC,3Ddata\Event\EM62-010.con
??????????-????,??,NPC,3Ddata\Event\EM62-011.con
[Sikuku Warrior] Wounded Soldier,??,NPC,3Ddata\Event\EM62-012.con
??????????-????,??,NPC,3Ddata\Event\EM62-013.con
??????????-????,??,NPC,3Ddata\Event\EM62-014.con
[Arumic Researcher] Redford,??,NPC,3Ddata\Event\EM62-015.con
[Critically Wounded] Nukie,??,NPC,3Ddata\Event\EM62-016.con
Duel Board,??,NPC,3Ddata\Event\DuelBoard.con
Xita World Map,??,NPC,3Ddata\Event\EMWorldMap-XITA.con
Xita World Map,??,NPC,3Ddata\Event\EMWorldMap-DOD.con
,,,
,,,
Instance Unregister,??,NPC,3Ddata\Event\EM70-004.con
Instance Point Converter,??,NPC,3Ddata\Event\EM70-003.con
Instance Pot Shop,??,NPC,3Ddata\Event\EM70-002.con
Instance Shop,??,NPC,3Ddata\Event\EM70-001.con
Geb Npc,??,NPC,3Ddata\Event\EM71-001.con
,,,
ecf npc,??,NPC,3Ddata\Event\EM73-001.con
,,,
oro planetary traveler,??,NPC,3Ddata\Event\EM75-001.con
,??,NPC,3Ddata\Event\EM75-002.con
,??,NPC,3Ddata\Event\EM75-003.con
,??,NPC,3Ddata\Event\EM75-004.con
,??,NPC,3Ddata\Event\EM75-005.con
,??,NPC,3Ddata\Event\EM75-006.con
potions,??,NPC,3Ddata\Event\EM75-007.con
supplies,??,NPC,3Ddata\Event\EM75-008.con
smith,??,NPC,3Ddata\Event\EM75-009.con
cg paint,??,NPC,3Ddata\Event\EM75-010.con
instance,??,NPC,3Ddata\Event\EM75-011.con
Birthday Birth Island,??,NPC,3Ddata\Event\EM145-001.con
,,,
,,,
,,,
Event Team Junon Polis NPC,??,NPC,3Ddata\Event\EM02-Event.con
Quiz Event scroll,??,NPC,3Ddata\Event\Quiz-Event.con
Event Map Exit,??,NPC,3Ddata\Event\EM100-EXIT.con
Race Event scroll,??,NPC,3Ddata\Event\Race-Event.con
,,,
Easter Event 2011,??,NPC,3Ddata\Event\EGG-AP.CON
Easter Event 2011,??,NPC,3Ddata\Event\EGG-LUXEM.CON
Easter Event 2011,??,NPC,3Ddata\Event\EGG-BREEZY.CON
Easter Event 2011,??,NPC,3Ddata\Event\EGG-ZANT.CON
Easter Event 2011,??,NPC,3Ddata\Event\EGG-ELVERLOON.CON
Easter Event 2011,??,NPC,3Ddata\Event\EGG-ANIMA.CON
Easter Event 2011,??,NPC,3Ddata\Event\EGG-FOREST.CON
Easter Event 2011,??,NPC,3Ddata\Event\EGG-KENJI.CON
Easter Event 2011,??,NPC,3Ddata\Event\EGG-GORGE.CON
Easter Event 2011,??,NPC,3Ddata\Event\EGG-BUNNY.CON
[Event] Little Angel of Junon,??,NPC,3DDATA\EVENT\EM-2273.CON
[Birthday Gift] Genie,??,NPC,3DDATA\EVENT\EM-2275.CON
,,,
[Ferrel Guild Banker] Sirro,??,NPC,3Ddata\Event\EM80-001.con
[Arumic Researcher] Orka,??,NPC,3Ddata\Event\EM80-002.con
[Teleporter] Bahiti,??,NPC,3Ddata\Event\EM80-003.con
[Smith] Fikri,??,NPC,3Ddata\Event\EM80-004.con
[Ancient Jewelry Seller] Hetepheres,??,NPC,3Ddata\Event\EM80-005.con
[Amunition] Grawth,??,NPC,3Ddata\Event\EM80-006.con
[Material Seller] Anlef,??,NPC,3Ddata\Event\EM80-007.con
[Clan Owner] Neferamun,??,NPC,3Ddata\Event\EM80-008.con
[Miner] Ghanim,??,NPC,3Ddata\Event\EM80-009.con
Corrupted OCF npc,??,NPC,3Ddata\Event\EM82-001.con
Memphis Bridge Spawner,??,NPC,3Ddata\Event\EM80-010.con
Poisoned Potion Seller,??,NPC,3Ddata\Event\EM-2871.con
Graceful Town EXIT NPC,??,NPC,3Ddata\Event\EM-1210.con
Green Easter Egg,??,NPC,3Ddata\Event\EM-1653.con
Blue Easter Egg,??,NPC,3Ddata\Event\EM-1658.con
Red Easter Egg,??,NPC,3Ddata\Event\EM-1663.con
Easter Bunny,??,NPC,3Ddata\Event\EM-1198.con
Green Easter Egg,??,NPC,3Ddata\Event\EM-1653-2.con
Blue Easter Egg,??,NPC,3Ddata\Event\EM-1658-2.con
Red Easter Egg,??,NPC,3Ddata\Event\EM-1663-2.con
Arua Fairy Episode Quest,??,NPC,3Ddata\Event\EM-1048.con
Event Team Monster scroll,??,NPC,3Ddata\Event\Monster-Event.con
[Undead Merchant] Morgan,??,NPC,3Ddata\Event\EM34-001.con
[Clan Pirate] Bruise,??,NPC,3Ddata\Event\EM-1743.con
[Station Guide] Davis,??,NPC,3Ddata\Event\EM-1744.con
[Boat] City of Junon Polis,??,NPC,3Ddata\Event\EM-1747.con
[Clan Soldier] Jason,??,NPC,3Ddata\Event\EM-1746.con
