,Time Limit,Type,Icon,Block Abandon,Init Lua,Quest Level,Remove on logout,Objective,Objective Condition,Abandon Link,Eventid,String
Defeat 125 Players,,6,135,1,,,,3,125,,,LQUE0175
Complete 35 PvP Arenas,,6,135,1,,,,3,35,,,LQUE0176
Win 20 PvP Arenas,,6,135,1,,,,3,20,,,LQUE0177
Collect 5 Fairies,60480,6,134,1,,,,2,5,,,LQUE0178
Capture the Fairy,8640,6,121,1,,,,1,1,,,LQUE0179
Fairy Capturer,8640,6,121,1,,,,1,1,,,LQUE0180
Capture the Fairy Kill Spree,8640,6,121,1,,,,1,1,,,LQUE0181
Fairy Dominance,8640,6,121,1,,,,1,1,,,LQUE0182
Fairy Defender,8640,6,121,1,,,,1,1,,,LQUE0183
Battle Royale,8640,6,121,1,,,,1,1,,,LQUE0184
Battle Royale Killer,8640,6,121,1,,,,1,1,,,LQUE0185
Battle Royale Survivor,60480,6,134,1,,,,2,4,,,LQUE0186
Union War,8640,6,121,1,,,,1,1,,,LQUE0187
Union War Kill Spree,8640,6,121,1,,,,1,1,,,LQUE0188
Win 3 Union Wars,60480,6,134,1,,,,2,3,,,LQUE0189
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Beautiful Butterflies,0,11,86,,,,,,,,,LQUE0200
Lunar Language,0,29,81,,,41,,,,,,LQUE0201
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
The Hunt,0,14,86,,,218,,,,,,LQUE215
The Hunt,0,14,86,,,218,,,,,,LQUE216
The Hunt,0,14,86,,,218,,,,,,LQUE217
????? ????,0,0,86,,,,,,,,,LQUE218
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Stone Walkers,0,5,80,,,1,,,,,,LQUE224
Stockpiling Jelly Bean Hides,0,2,80,,,1,,,,,,LQUE225
Delivery for Bert,0,2,80,,,3,,,,69,,LQUE226
Choropy Hunt,0,2,80,,,4,,,,,,LQUE227
Food Reserves,0,2,80,,,5,,,,,,LQUE228
Red Jelly,0,2,80,,,5,,,,,,LQUE229
Jar Delivery,0,2,80,,,5,,,,,,LQUE230
Clearing the Field,0,2,80,,,6,,,,,,LQUE231
Gods and Heroes,0,2,80,,,7,,,,,,LQUE232
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Crusader Battlegrounds (Blue Team),60,10,78,,,,,,,,,LQUE240
Crusader Battlegrounds (Red Team),60,10,78,,,,,,,,,LQUE241
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Akram Quest (Level 50-69),0,10,78,,,,,,,,,LQUE245
Akram Quest (Level 70-89),0,10,78,,,,,,,,,LQUE246
Akram Quest (Level 90-109),0,10,78,,,,,,,,,LQUE247
Akram Quest (Level 110-129),0,10,78,,,,,,,,,LQUE248
,,,,,,,,,,,,
Akram Quest (Level 50-69),240,10,78,,,,,,,,,LQUE250
Akram Quest (Level 70-89),240,10,78,,,,,,,,,LQUE251
Akram Quest (Level 90-109),240,10,78,,,,,,,,,LQUE252
Akram Quest (Level 110-129),240,10,78,,,,,,,,,LQUE253
Akram Quest (Level 130-149),240,10,78,,,,,,,,,LQUE254
,,,,,,,,,,,,
,,,,,,,,,,,,
Capture the Fairy (Red Team),280,10,78,,,,,,,,,LQUE257
Capture the Fairy (Blue Team),280,10,78,,,,,,,,,LQUE258
,,,,,,,,,,,,
Junon's Union War,280,10,78,,,,,,,,,LQUE260
Junon's Union War,280,10,78,,,,,,,,,LQUE261
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Mummy Staff,0,23,80,,,188,,,,,,LQUE279
Horus Shield,0,23,80,,,195,,,,,,LQUE280
Protectors of the Treasure,0,23,80,,,195,,,,,,LQUE281
Desert Beast,0,23,80,,,215,,,,,,LQUE282
Amun Feathers,0,23,80,,,215,,,,,,LQUE283
,0,0,80,,,,,,,,,LQUE284
Rune Stones,0,23,80,,,75,,,,,,LQUE285
Cape of the Ruper Mage,0,23,80,,,95,,,,,,LQUE286
Mammoth's Blood,0,23,80,,,110,,,,,,LQUE287
Vulcan Skins,0,23,80,,,114,,,,,,LQUE288
Behemoth King,0,23,80,,,130,,,,,,LQUE289
Frozen Thorns,0,23,80,,,52,,,,,,LQUE290
,0,0,80,,,,,,,,,LQUE291
Tree Supplies,0,23,80,,,142,,,,,,LQUE292
Planetary Weapons,0,23,80,,,168,,,,,,LQUE293
Gargoyle Wings,0,23,80,,,174,,,,,,LQUE294
Eldeon's Delicacies,0,23,80,,,195,,,,,,LQUE295
Executing Kera,0,23,80,,,205,,,,,,LQUE296
,0,0,80,,,,,,,,,LQUE297
,,,,,,,,,,,,
,,,,,,,,,,,,
Race43,0,0,80,,,,,,,,,LQUE300
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bounty - The Wolf (1),0,0,78,,,,,,,,,LQUE305
Bounty - The Wolf (2),0,0,78,,,,,,,,,LQUE306
Bounty - The Wolf (3),0,0,78,,,,,,,,,LQUE307
,,,,,,,,,,,,
,,,,,,,,,,,,
Bounty - The Lion (1),0,0,78,,,,,,,,,LQUE310
Bounty - The Lion (2),0,0,78,,,,,,,,,LQUE311
Bounty - The Lion (3),0,0,78,,,,,,,,,LQUE312
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
In Search of Answers,0,1,81,1,,90,,,,,,LQUE0350
In Search of Answers,0,1,81,1,,90,,,,,,LQUE0351
In Search of Answers,0,1,81,1,,90,,,,,,LQUE0352
In Search of Answers,0,1,81,1,,90,,,,,,LQUE0353
In Search of Answers,0,1,81,1,,90,,,,,,LQUE0354
Men in the Red Robes,0,1,81,1,,92,,,,,,LQUE0355
Men in the Red Robes,0,1,81,1,,92,,,,,,LQUE0356
The Arumic Moonstaff,0,1,81,1,,100,,,,,,LQUE0357
The Arumic Moonstaff,0,1,81,1,,100,,,,,,LQUE0358
The Arumic Moonstaff,0,1,81,1,,100,,,,,,LQUE0359
The Arumic Moonstaff,0,1,81,1,,100,,,,,,LQUE0360
The Arumic Moonstaff,0,1,81,1,,106,,,,,,LQUE0361
The Arumic Moonstaff,0,1,81,1,,106,,,,,,LQUE0362
The Enigmatic Ikaness,0,1,81,1,,106,,,,,,LQUE0363
The Enigmatic Ikaness,0,1,81,1,,106,,,,,,LQUE0364
The Enigmatic Ikaness,0,1,81,1,,106,,,,,,LQUE0365
In Search of Answers,0,1,81,1,,106,,,,,,LQUE0366
In Search of Answers,0,1,81,1,,106,,,,,,LQUE0367
In Search of Answers,0,1,81,1,,108,,,,,,LQUE0368
Est the Wounded Shamanist,0,1,81,1,,108,,,,,,LQUE0369
Est the Wounded Shamanist,0,1,81,1,,108,,,,,,LQUE0370
Est the Wounded Shamanist,0,1,81,1,,108,,,,,,LQUE0371
Est the Wounded Shamanist,0,1,81,1,,108,,,,,,LQUE0372
Est the Wounded Shamanist,0,1,81,1,,108,,,,,,LQUE0373
Est the Wounded Shamanist,0,1,81,1,,108,,,,,,LQUE0374
Est the Wounded Shamanist,0,1,81,1,,108,,,,,,LQUE0375
Est the Wounded Shamanist,0,1,81,1,,108,,,,,,LQUE0376
Berzerk Monsters,0,1,81,1,,110,,,,,,LQUE0377
Berzerk Monsters,0,1,81,1,,112,,,,,,LQUE0378
Viral Host,0,1,81,1,,112,,,,,,LQUE0379
Viral Host,0,1,81,1,,112,,,,,,LQUE0380
Viral Host,0,1,81,1,,113,,,,,,LQUE0381
Viral Host,0,1,81,1,,120,,,,,,LQUE0382
Viral Host,0,1,81,1,,120,,,,,,LQUE0383
Wiping out the Mammoths,0,1,81,1,,120,,,,,,LQUE0384
Wiping out the Poisoned Mammoths,0,1,81,1,,120,,,,,,LQUE0385
Spiritual Flame of Eucar,0,1,81,1,,120,,,,,,LQUE0386
Spiritual Flame of Eucar,0,1,81,1,,120,,,,,,LQUE0387
Spiritual Flame of Eucar,0,1,81,1,,120,,,,,,LQUE0388
Ancient God of Fire,0,1,81,1,,120,,,,,,LQUE0389
Ancient God of Fire,0,1,81,1,,122,,,,,,LQUE0390
Ancient God of Fire,0,1,81,1,,122,,,,,,LQUE0391
Ancient God of Fire,0,1,81,1,,122,,,,,,LQUE0392
Red Crystal,0,1,81,1,,122,,,,,,LQUE0393
Red Crystal,0,1,81,1,,122,,,,,,LQUE0394
Red Crystal,0,1,81,1,,122,,,,,,LQUE0395
Red Crystal,0,1,81,1,,122,,,,,,LQUE0396
Budeater the Crystal Keeper,0,1,81,1,,124,,,,,,LQUE0397
Budeater the Crystal Keeper,0,1,81,1,,124,,,,,,LQUE0398
Budeater the Crystal Keeper,0,1,81,1,,124,,,,,,LQUE0399
Survival (Level 100-125),245,10,78,,,,,,,,,LQUE400
Survival (Level 126-150),245,10,78,,,,,,,,,LQUE401
Survival (Level 151-175),245,10,78,,,,,,,,,LQUE402
Survival (Level 176-200),245,10,78,,,,,,,,,LQUE403
Survival (Level 201-218),245,10,78,,,,,,,,,LQUE404
,,,,,,,,,,,,
Crystal Defenders (Level 150-199) (Red),540,10,78,,,,,,,,,LQUE406
Crystal Defenders (Level 150-199) (Blue),540,10,78,,,,,,,,,LQUE407
Crystal Defenders (Level 200-228) (Red),540,10,78,,,,,,,,,LQUE408
Crystal Defenders (Level 200-228) (Blue),540,10,78,,,,,,,,,LQUE409
,,,,,,,,,,,,
Check in With Anzhelika,0,1,81,1,,124,,,,,,LQUE0411
Food for Luna Tower,0,1,81,1,,124,,,,,,LQUE0412
The Girl of Luna Tower,0,1,81,1,,124,,,,,,LQUE0413
The Girl of Luna Tower,0,1,81,1,,124,,,,,,LQUE0414
The Girl of Luna Tower,0,1,81,1,,124,,,,,,LQUE0415
The Girl of Luna Tower,0,1,81,1,,124,,,,,,LQUE0416
Secrets of the Flame,0,1,81,1,,124,,,,,,LQUE0417
Secrets of the Flame,0,1,81,1,,124,,,,,,LQUE0418
Secrets of the Flame,0,1,81,1,,124,,,,,,LQUE0419
Secrets of the Flame,0,1,81,1,,124,,,,,,LQUE0420
Scholar of the Mana Lens,0,1,81,1,,127,,,,,,LQUE0421
Purifying the Mana Lens,0,1,81,1,,127,,,,,,LQUE0422
Kiroro's Lost Memories,0,1,81,1,,127,,,,,,LQUE0423
Kiroro's Lost Memories,0,1,81,1,,127,,,,,,LQUE0424
Kiroro's Lost Memories,0,1,81,1,,127,,,,,,LQUE0425
Kiroro's Lost Memories,0,1,81,1,,127,,,,,,LQUE0426
Kiroro's Lost Memories,0,1,81,1,,127,,,,,,LQUE0427
Kiroro's Lost Memories,0,1,81,1,,127,,,,,,LQUE0428
A Letter for You,0,1,81,1,,130,,,,,,LQUE0429
A Letter From Fredrick,0,1,81,1,,130,,,,,,LQUE0430
The Ikaness Scheme,0,1,81,1,,130,,,,,,LQUE0431
The Ikaness Scheme,0,1,81,1,,130,,,,,,LQUE0432
The Ikaness Scheme,0,1,81,1,,130,,,,,,LQUE0433
A Titanic Solution,0,1,81,1,,130,,,,,,LQUE0434
A Titanic Solution,0,1,81,1,,130,,,,,,LQUE0435
A Titanic Solution,0,1,81,1,,130,,,,,,LQUE0436
A Titanic Solution,0,1,81,1,,130,,,,,,LQUE0437
A Titanic Solution,0,1,81,1,,130,,,,,,LQUE0438
A Titanic Solution,0,1,81,1,,130,,,,,,LQUE0439
Revelations,0,1,81,1,,130,,,,,,LQUE0440
Revelations,0,1,81,1,,130,,,,,,LQUE0441
Welcome to the Jungle,0,1,81,1,,135,,,,,,LQUE0442
Welcome to the Jungle,0,1,81,1,,135,,,,,,LQUE0443
Welcome to the Jungle,0,1,81,1,,137,,,,,,LQUE0444
Rumble in the Jungle,0,1,81,1,,137,,,,,,LQUE0445
Rumble in the Jungle,0,1,81,1,,137,,,,,,LQUE0446
To Catch a Thief,0,1,81,1,,140,,,,,,LQUE0447
To Catch a Thief,0,1,81,1,,140,,,,,,LQUE0448
,,,,,,,,,,,,
Learning To Ride,0,13,86,,,50,,,,,,LQUE450
Staying Safe,0,13,86,1,,50,,,,,,LQUE451
Learning To Ride,0,13,86,1,,50,,,,,,LQUE452
,,,,,,,,,,,,
To Catch a Thief,0,1,81,1,,140,,,,,,LQUE0454
To Catch a Thief,0,1,81,1,,140,,,,,,LQUE0455
To Catch a Thief,0,1,81,1,,140,,,,,,LQUE0456
Caught Red-Handed,0,1,81,1,,140,,,,,,LQUE0457
Caught Red-Handed,0,1,81,1,,140,,,,,,LQUE0458
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
???????? ?????,0,11,80,,,,,,,,,LQUE0496
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Dark Rituals,0,11,86,,,,,,,,,LQUE0500
The Recipe,0,11,86,,,,,,,,,LQUE0501
The Prototype (Part 1),0,2,86,,,,,,,,,LQUE0502
The Prototype (Part 2),0,2,86,,,,,,,,,LQUE0503
The Prototype (Part 3),0,2,86,,,,,,,,,LQUE0504
The Prototype (Part 4),0,2,86,,,,,,,,,LQUE0505
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Royal Jelly Beans,0,23,80,,,2,,,,,,LQUE0510
Choropy Skins,0,23,80,,,3,,,,,,LQUE0511
Flowery Flanaes,0,23,80,,,4,,,,,,LQUE0512
Tasty Pumpkins,0,23,80,,,9,,,,,,LQUE0513
Ronks Delivery,0,23,80,,,,,,,,,LQUE0514
Helping Ronk,0,23,80,,,,,,,,,LQUE0515
,,,,,,,,,,,,
Woopie Cloth,0,23,80,,,13,,,,,,LQUE0517
Lovely Nectar,0,23,80,,,8,,,,,,LQUE0518
Aqua Skins,0,23,80,,,26,,,,,,LQUE0519
Rackie Bats,0,23,80,,,19,,,,,,LQUE0520
Mina's Jewelry Delivery,0,5,80,,,17,,,,,,LQUE0521
Mina's Jewelry Delivery,0,5,80,,,17,,,,,,LQUE0522
A Livestock Farmer,0,23,80,,,,,,,,,LQUE0523
A Livestock Farmer,0,23,80,,,,,,,,,LQUE0524
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Akram Tower (Easy),540,10,78,,,,,,,,,LQUE0530
Akram Tower (Normal),540,10,78,,,,,,,,,LQUE0531
Akram Tower (Hard),540,10,78,,,,,,,,,LQUE0532
Akram Tower (Extreme),540,10,78,,,,,,,,,LQUE0533
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Easter Egg Hunt [1/9],0,17,85,,,,,,,,,LQUE0550
Easter Egg Hunt [2/9],0,17,85,,,,,,,,,LQUE0551
Easter Egg Hunt [3/9],0,17,85,,,,,,,,,LQUE0552
Easter Egg Hunt [4/9],0,17,85,,,,,,,,,LQUE0553
Easter Egg Hunt [5/9],0,17,85,,,,,,,,,LQUE0554
