11????,,,,3 digits,0~999999,0~200,0~999,,(501~560),(69~89),,????STB,,,,,Condition Ability 1,Condition 2,Reward Ability 2,Reward 2,Function names,file_effect,,,Cooldown Group,Cooldown Time,Condition Ability 2,Condition 2,Reward Ability 2,Reward 2,Combat Block,Seasonal Event,LUA,PvP Block,Confirm,Name Strings
Silver Pilules,,,,311,100,3,1,60,1593,115,584,,,,,9,,,17,50,,142,547,,1,1,,,,,,,,,,LUSE027
Golden Pilules,,,,311,220,4,1,65,1594,121,584,,,,,9,,,17,100,,142,547,,1,1,,,,,,,,,,LUSE028
Spiritual Water (S),,,,311,500,1,1,70,5259,121,584,,,,,9,,,17,200,,142,548,,8,,,,,,,,,,,LUSE029
Spiritual Water (M),,,,311,1080,1,1,75,5260,121,584,,,,,9,,,17,400,,142,548,,8,,,,,,,,,,,LUSE030
Spiritual Water (L),,,,311,1740,1,1,80,5261,121,584,,,,,9,,,17,600,,142,548,,8,,,,,,,,,,,LUSE031
Spiritual Water (XL),,,,311,2480,1,1,85,5262,121,584,,,,,9,,,17,800,,142,548,,8,,,,,,,,,,,LUSE032
Spiritual Water (XXL),,,,311,3390,1,1,90,5263,121,584,,,,,9,,,17,1000,,142,548,,8,,,,,,,,,,,LUSE033
,,,,311,0,,1,,,,584,,,,,9,,,,,,140,548,,,,,,,,,,,,,
Health Bottle (XL),,,,311,2300,4,1,55,5245,120,584,,,,,9,,,16,2000,,143,548,3,1,1,,,,,,,,,,LUSE035
Mana Bottle (XL),,,,311,2450,4,1,55,5258,123,584,,,,,9,,,17,2000,,144,548,6,1,1,,,,,,,,,,LUSE036
,,,,311,0,,1,,,,584,,,,,9,,,,,,140,548,,,,,,,,,,,,,
,,,,311,0,,1,,,,584,,,,,9,,,,,,140,548,,,,,,,,,,,,,
Blue Pill,,,6,311,1000,1,1,90,5289,118,584,,,,,9,,,17,2000,,148,548,,8,,,,,,,,,,,LUSE039
,,,,311,0,,1,,,,584,,,,,9,,,,,,140,548,,,,,,,,,,,,,
Flanae Root,,,,311,50,2,1,30,1599,116,584,,,,,9,,,16,100,,143,548,2,1,1,,,,,,,,,,LUSE041
Tree Sap,,,,311,110,2,1,40,1600,124,584,,,,,9,,,16,200,,143,548,2,1,1,,,,,,,,,,LUSE042
Royal Jelly,,,,312,210,2,1,50,1604,113,584,,,,,10,,,17,200,,144,548,5,1,1,,,,,,,,,,LUSE043
Sweet Honey,,,,312,140,5,1,50,1601,141,584,,,,,10,,,17,100,,144,547,6,1,1,,,,,,,,,,LUSE044
Red Jelly,,,,312,180,2,1,50,9146,125,584,,,,,9,,,16,170,,143,548,2,1,1,,,,,,,,,,LUSE045
,,,,311,0,2,1,90,44,126,584,,,,,9,,,,,,140,548,,,,,,,,,,,,,
,,,,311,0,2,1,90,44,126,584,,,,,9,,,,,,140,548,,,,,,,,,,,,,
,,,,311,0,2,1,10,44,131,584,,,,,9,,,,,,140,548,,,,,,,,,,,,,
Health Bottle (S),,,,311,270,2,1,50,5242,118,584,,,,,9,,,16,300,,140,548,3,1,1,,,,,,,,,,LUSE004
,,,,311,0,2,1,30,44,128,584,,,,,9,,,,,,140,547,,,,,,,,,,,,,
Mana Jam (+1),,,6,311,2000,1,1,10,1602,117,584,,,,,,,,37,1,,140,548,,1,1,,,,,,,,,,LUSE051
Mana Jam (+2),,,6,311,4000,1,1,20,1602,117,584,,,,,,,,37,2,,140,548,,1,1,,,,,,,,,,LUSE052
Mana Jam (+5),,,6,311,10000,1,1,30,1602,117,584,,,,,,,,37,5,,140,548,,1,1,,,,,,,,,,LUSE053
Mana Jam (+10),,,6,311,20000,1,1,40,1602,117,584,,,,,,,,37,10,,140,548,,1,1,,,,,,,,,,LUSE054
Mana Jam (+20),,,6,311,40000,1,1,50,1602,117,584,,,,,,,,37,20,,140,548,,1,1,,,,,,,,,,LUSE055
Vital Jam (+1),,,,311,120,1,1,10,5265,116,584,,,,,,,,76,100,,146,548,,,,,,,,,,,,,LUSE056
Vital Jam (+2),,,,311,248,1,1,20,5266,116,584,,,,,,,,76,200,,146,548,,,,,,,,,,,,,LUSE057
Vital Jam (+5),,,,311,640,1,1,30,5267,116,584,,,,,,,,76,500,,146,548,,,,,,,,,,,,,LUSE058
Vital Jam (+10),,,,311,1360,1,1,40,5268,116,584,,,,,,,,76,1000,,146,548,,,,,,,,,,,,,LUSE059
Vital Jam (+20),,,,311,2800,1,1,50,1603,116,584,,,,,,,,76,2000,,146,548,,,,,,,,,,,,,LUSE060
Vital Jam (+50),,,,311,5400,1,1,60,1603,116,584,,,,,,,,76,5000,,146,548,,,,,,,,,,,,,LUSE061
,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Water (S),,,,311,1,1,1,70,1589,118,584,,,,5,9,,,16,250,,140,548,,5,,,,,,,,,,,LUSE010
Vital Water (M),,,,311,1,1,1,75,1589,118,584,,,,8,9,,,16,500,,140,548,,5,,,,,,,,,,,LUSE011
Vital Water (L),,,,311,1,1,1,80,1589,118,584,,,,10,9,,,16,750,,140,548,,5,,,,,,,,,,,LUSE012
Vital Water (XL),,,,311,1,1,1,85,1589,118,584,,,,12,9,,,16,1000,,140,548,,5,,,,,,,,,,,LUSE013
Vital Water (XXL),,,,311,1,1,1,90,1589,118,584,,,,15,9,,,16,1250,,140,548,,5,,,,,,,,,,,LUSE014
,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,
???????? ????,,,2,313,0,0,0,0,2315,251,584,,,,,,,,,,,140,548,,1,1,,,,,,,,,,LUSE077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frenzy,,,6,313,0,5,1,23,4715,80,579,,,,,,14,800,,3160,,,,,1,1,,,,,,,,,,LUSE080
Haste,,,6,313,0,5,1,23,4716,81,579,,,,,,14,800,,3162,,,,,1,1,,,,,,,,,,LUSE081
Evade,,,6,313,0,5,1,23,4713,82,579,,,,,,14,800,,3161,,,,,1,1,,,,,,,,,,LUSE082
Force,,,6,313,0,5,1,23,4714,83,579,,,,,,14,800,,3163,,,,,1,1,,,,,,,,,,LUSE083
Abolish,,,6,313,0,5,1,30,4712,84,579,,,,,,14,800,,3164,,,,,1,1,,,,,,,,,,LUSE084
Stagger,,,6,313,0,5,1,30,4717,85,579,,,,,,14,800,,3165,,,,,1,1,,,,,,,,,,LUSE085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiss,,,,314,10000,0,1,1,1704,871,580,,,,,,,,,30,0,140,548,,1,1,,,,,,,,,,LUSE087
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poisoned Vital Water (L),,,,311,1500,1,1,80,5780,118,584,,,,,9,17,260,16,750,,141,548,,5,,,,17,-250,,,,,,LUSE090
Poisoned Vital Water (XL),,,,311,2100,1,1,85,5781,118,584,,,,,9,17,310,16,1000,,141,548,,5,,,,17,-300,,,,,,LUSE091
Poisoned Vital Water (XXL),,,,311,3000,1,1,90,5782,118,584,,,,,9,17,360,16,1250,,141,548,,5,,,,17,-350,,,,,,LUSE092
Poisoned Spiritual Water (L),,,,311,1740,1,1,80,5777,121,584,,,,,9,16,310,17,600,,142,548,,5,,,,16,-300,,,,,,LUSE093
Poisoned Spiritual Water (XL),,,,311,2480,1,1,85,5778,121,584,,,,,9,16,360,17,800,,142,548,,5,,,,16,-350,,,,,,LUSE094
Poisoned Spiritual Water (XXL),,,,311,3390,1,1,90,5779,121,584,,,,,9,16,410,17,1000,,142,548,,5,,,,16,-400,,,,,,LUSE095
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Candy Cane,,,,312,500,1,1,50,5507,141,584,,,,,10,,,17,500,,143,547,1,1,1,,,,,,,,,,LUSE98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,,,,312,30,1,1,40,1625,141,584,,,,,10,,,16,100,,143,547,1,6,1,,,,,,,,,,LUSE101
Banana,,,,312,36,1,1,50,1626,141,584,,,,,10,,,16,120,,143,547,1,6,1,,,,,,,,,,LUSE102
Grapes,,,,312,42,1,1,90,1627,141,584,,,,,10,,,16,140,,143,547,1,6,1,,,,,,,,,,LUSE103
Kiwi,,,,312,48,1,1,40,1628,141,584,,,,,10,,,16,160,,143,547,1,6,1,,,,,,,,,,LUSE104
Orange,,,,312,54,1,1,30,1629,141,584,,,,,10,,,16,180,,143,547,1,6,1,,,,,,,,,,LUSE105
Mango,,,,312,60,1,1,60,1630,141,584,,,,,10,,,16,200,,143,547,1,6,1,,,,,,,,,,LUSE106
Boiled Egg,,,,312,66,1,1,80,1631,146,584,,,,,10,,,16,220,,143,547,1,6,1,,,,,,,,,,LUSE107
Beef Jerky,,,,312,72,1,1,30,1632,143,584,,,,,10,,,16,240,,143,547,1,6,1,,,,,,,,,,LUSE108
Cooked Meat,,,,312,90,1,1,20,1633,143,584,,,,,10,,,16,300,,143,547,1,6,1,,,,,,,,,,LUSE109
Peach,,,,312,48,1,1,80,1634,141,584,,,,,10,,,16,160,,143,547,1,6,1,,,,,,,,,,LUSE110
Strawberry,,,,312,42,1,1,70,1635,141,584,,,,,10,,,16,140,,143,547,1,6,1,,,,,,,,,,LUSE111
Tomato,,,,312,60,1,1,20,1636,141,584,,,,,10,,,16,200,,143,547,1,6,1,,,,,,,,,,LUSE112
Plum,,,,312,84,1,1,10,1638,141,584,,,,,10,,,16,280,,143,547,1,6,1,,,,,,,,,,LUSE113
Sandwich,,,,312,102,1,1,90,1639,145,584,,,,,10,,,16,340,,143,547,1,6,1,,,,,,,,,,LUSE114
Hamburger,,,,312,114,1,1,10,1640,145,584,,,,,10,,,16,380,,143,547,1,6,1,,,,,,,,,,LUSE115
Sausage,,,,312,108,1,1,40,1641,143,584,,,,,10,,,16,360,,143,547,1,6,1,,,,,,,,,,LUSE116
Meatball,,,,312,90,1,1,50,1642,143,584,,,,,10,,,16,300,,143,547,1,6,1,,,,,,,,,,LUSE117
Silver Carp Shaped Bread,,,,312,60,1,1,60,1643,145,584,,,,,10,,,16,200,,143,547,1,6,1,,,,,,,,,,LUSE118
Banana Bread,,,,312,100,1,1,70,1644,145,584,,,,,10,,,16,200,,143,547,1,6,1,,,,,,,,,,LUSE119
Milk,,,,312,30,2,1,50,1617,144,584,,,,,10,,,17,60,,144,547,4,7,1,,,,,,,,,,LUSE120
Banana Milk,,,,312,40,2,1,60,1619,144,584,,,,,10,,,17,80,,144,547,4,7,1,,,,,,,,,,LUSE121
Strawberry Flavored Milk,,,,312,50,2,1,60,1618,144,584,,,,,10,,,17,100,,144,547,4,7,1,,,,,,,,,,LUSE122
Apple Juice,,,,312,60,2,1,50,1620,144,584,,,,,10,,,17,120,,144,547,4,7,1,,,,,,,,,,LUSE123
Grape Juice,,,,312,70,2,1,10,1621,144,584,,,,,10,,,17,140,,144,547,4,7,1,,,,,,,,,,LUSE124
Orange Juice,,,,312,80,2,1,30,1622,144,584,,,,,10,,,17,160,,144,547,4,7,1,,,,,,,,,,LUSE125
Mango Juice,,,,312,70,2,1,70,1623,144,584,,,,,10,,,17,140,,144,547,4,7,1,,,,,,,,,,LUSE126
Kiwi Juice,,,,312,80,2,1,40,1623,144,584,,,,,10,,,17,160,,144,547,4,7,1,,,,,,,,,,LUSE127
Banana Juice,,,,312,50,2,1,60,1623,144,584,,,,,10,,,17,100,,144,547,4,7,1,,,,,,,,,,LUSE128
Strawberry Juice,,,,312,50,2,1,80,1623,144,584,,,,,10,,,17,100,,144,547,4,7,1,,,,,,,,,,LUSE129
Peach Juice,,,,312,50,2,1,90,1623,144,584,,,,,10,,,17,100,,144,547,4,7,1,,,,,,,,,,LUSE130
Tomato Juice,,,,312,60,2,1,20,1623,144,584,,,,,10,,,17,120,,144,547,4,7,1,,,,,,,,,,LUSE131
Ice Cherry,,,,312,130,1,1,35,1651,143,584,,,,,10,,,16,400,,143,547,1,6,1,,,,,,,,,,LUSE132
Crystal Cherry,,,,312,195,1,1,40,1652,143,584,,,,,10,,,16,600,,143,547,1,6,1,,,,,,,,,,LUSE133
Ice Berry,,,,312,165,2,1,35,1653,144,584,,,,,10,,,17,300,,144,547,4,7,1,,,,,,,,,,LUSE134
Crystal Berry,,,,312,220,2,1,40,1654,144,584,,,,,10,,,17,400,,144,547,4,7,1,,,,,,,,,,LUSE135
ShavShav,,,,312,245,1,1,40,1660,144,584,,,,,10,,,16,700,,143,547,1,6,1,,,,,,,,,,LUSE136
PiruKiru,,,,312,275,2,1,35,1661,144,584,,,,,10,,,17,500,,144,547,4,7,1,,,,,,,,,,LUSE137
ChiChiKao,,,,312,315,2,1,40,1662,144,584,,,,,10,,,17,700,,144,547,4,7,1,,,,,,,,,,LUSE138
,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,
Mysterious Fruit,,,,312,30000,4,1,60,1634,141,584,,,,,10,,,16,1000,,141,547,,1,1,,,,,,,,,,LUSE141
Rice Cake Soup,,,,312,150,1,1,50,2052,142,584,,,,,10,,,16,500,,143,547,1,6,1,,,,,,,,,,LUSE142
Elifedora,,,,312,10,0,1,10,1911,161,584,,,,,9,,,16,300,,143,548,3,7,1,,,,,,,,,,LUSE143
Lunaris Bear's Liquor Bottle,,,,312,10,0,1,10,1613,144,584,,,,,9,,,17,150,,142,548,,6,1,,,,,,,,,,LUSE144
Easter Egg,,,,312,50,1,1,10,1646,146,584,,,,,9,,,16,500,,143,547,1,6,1,,,,,,,,,,LUSE145
Rice Cake,,,,312,1,0,1,10,1609,141,584,,,,,9,,,16,550,,143,547,1,6,1,,,,,,,,,,LUSE146
Mugwort Rice Cake,,,,312,1,0,1,10,1610,141,584,,,,,9,,,17,325,,144,547,1,6,1,,,,,,,,,,LUSE147
Lucky Rice Soup,,,,312,150,1,1,50,1555,142,584,,,,,10,,,16,500,,143,547,1,6,1,,,,,,,,,,LUSE148
Choco Biscuit,,,,312,1,0,1,10,1554,141,584,,,,,9,,,16,550,,143,547,1,6,1,,,,,,,,,,LUSE149
Strawberry flavor Biscuit,,,,312,1,0,1,10,1553,141,584,,,,,9,,,17,325,,144,547,1,6,1,,,,,,,,,,LUSE150
HP Point (+50),,,,320,0,0,0,0,1603,132,,,,,,,,,16,100,,141,,,,,,,,,,,,,,LUSE152
HP Point (+100),,,,320,0,0,0,0,1603,132,,,,,,,,,16,200,,141,,,,,,,,,,,,,,LUSE153
HP Point (+200),,,,320,0,0,0,0,1603,132,,,,,,,,,16,400,,141,,,,,,,,,,,,,,LUSE467
HP Point (+300),,,,320,0,0,0,0,1603,132,,,,,,,,,16,600,,141,,,,,,,,,,,,,,LUSE468
HP Point (+500),,,,320,0,0,0,0,1603,132,,,,,,,,,16,1000,,141,,,,,,,,,,,,,,LUSE157
HP Point (+700),,,,320,0,0,0,0,1603,132,,,,,,,,,16,1500,,141,,,,,,,,,,,,,,LUSE464
HP Point (+1000),,,,320,0,0,0,0,1603,132,,,,,,,,,16,2000,,141,,,,,,,,,,,,,,LUSE159
HP Point (+1500),,,,320,0,0,0,0,1603,132,,,,,,,,,16,3000,,141,,,,,,,,,,,,,,LUSE160
HP Point (+2000),,,,320,0,0,0,0,1603,132,,,,,,,,,16,4000,,141,,,,,,,,,,,,,,LUSE465
HP Point (+3000),,,,320,0,0,0,0,1603,132,,,,,,,,,16,5000,,141,,,,,,,,,,,,,,LUSE466
MP Point (+30),,,,320,0,0,0,0,1603,133,,,,,,,,,17,30,,142,,,,,,,,,,,,,,LUSE161
MP Point (+50),,,,320,0,0,0,0,1603,133,,,,,,,,,17,50,,142,,,,,,,,,,,,,,LUSE162
MP Point (+100),,,,320,0,0,0,0,1603,133,,,,,,,,,17,100,,142,,,,,,,,,,,,,,LUSE163
MP Point (+200),,,,320,0,0,0,0,1603,133,,,,,,,,,17,200,,142,,,,,,,,,,,,,,LUSE164
MP Point (+300),,,,320,0,0,0,0,1603,133,,,,,,,,,17,300,,142,,,,,,,,,,,,,,LUSE165
MP Point (+500),,,,320,0,0,0,0,1603,133,,,,,,,,,17,500,,142,,,,,,,,,,,,,,LUSE166
MP Point (+700),,,,320,0,0,0,0,1603,133,,,,,,,,,17,700,,142,,,,,,,,,,,,,,LUSE167
MP Point (+1000),,,,320,0,0,0,0,1603,133,,,,,,,,,17,1000,,142,,,,,,,,,,,,,,LUSE168
MP Point (+1500),,,,320,0,0,0,0,1603,133,,,,,,,,,17,1500,,142,,,,,,,,,,,,,,LUSE169
MP Point (+2000),,,,320,0,0,0,0,1603,133,,,,,,,,,17,2000,,142,,,,,,,,,,,,,,LUSE170
Stamina (+50),,,,320,0,0,0,0,1603,137,,,,,,,,,76,50,,146,,,,,,,,,,,,,,LUSE171
Stamina (+75),,,,320,0,0,0,0,1603,137,,,,,,,,,76,75,,146,,,,,,,,,,,,,,LUSE172
Stamina (+100),,,,320,0,0,0,0,1603,137,,,,,,,,,76,100,,146,,,,,,,,,,,,,,LUSE173
Stamina (+150),,,,320,0,0,0,0,1603,137,,,,,,,,,76,150,,146,,,,,,,,,,,,,,LUSE174
Stamina (+200),,,,320,0,0,0,0,1603,137,,,,,,,,,76,200,,146,,,,,,,,,,,,,,LUSE175
Stamina (+300),,,,320,0,0,0,0,1603,137,,,,,,,,,76,300,,146,,,,,,,,,,,,,,LUSE176
Stamina (+400),,,,320,0,0,0,0,1603,137,,,,,,,,,76,400,,146,,,,,,,,,,,,,,LUSE177
Stamina (+500),,,,320,0,0,0,0,1603,137,,,,,,,,,76,500,,146,,,,,,,,,,,,,,LUSE178
Stamina (+700),,,,320,0,0,0,0,1603,137,,,,,,,,,76,700,,146,,,,,,,,,,,,,,LUSE179
Stamina (+1000),,,,320,0,0,0,0,1603,137,,,,,,,,,76,1000,,146,,,,,,,,,,,,,,LUSE180
Clan Point (+1),,,6,320,0,0,1,0,2916,134,,,,,,,,,92,1,,140,,,,,,,,,,,,,,LUSE181
Clan Point (+2),,,6,320,0,0,1,0,2916,134,,,,,,,,,92,2,,140,,,,,,,,,,,,,,LUSE182
Clan Point (+3),,,6,320,0,0,1,0,2916,134,,,,,,,,,92,3,,140,,,,,,,,,,,,,,LUSE183
Clan Point (+5),,,6,320,0,0,1,0,2916,134,,,,,,,,,92,5,,140,,,,,,,,,,,,,,LUSE184
Clan Point (+7),,,6,320,0,0,1,0,2916,134,,,,,,,,,92,7,,140,,,,,,,,,,,,,,LUSE185
Clan Point (+10),,,6,320,0,0,1,0,2916,134,,,,,,,,,92,10,,140,,,,,,,,,,,,,,LUSE186
Clan Point (+15),,,6,320,0,0,1,0,2916,134,,,,,,,,,92,15,,140,,,,,,,,,,,,,,LUSE187
Clan Point (+20),,,6,320,0,0,1,0,2916,134,,,,,,,,,92,20,,140,,,,,,,,,,,,,,LUSE188
Clan Point (+25),,,6,320,0,0,1,0,2916,134,,,,,,,,,92,25,,140,,,,,,,,,,,,,,LUSE189
Clan Point (+30),,,6,320,0,0,1,0,2943,134,,,,,,,,,92,30,,140,,,,,,,,,,,,,,LUSE190
Clan Point (+100),,,6,320,0,0,1,0,2944,134,,,,,,,,,92,100,,140,,,,,,,,,,,,,,LUSE191
Clan Point (+200),,,6,320,0,0,1,0,2945,134,,,,,,,,,92,200,,140,,,,,,,,,,,,,,LUSE192
Clan Point (+500),,,6,320,0,0,1,0,2916,134,,,,,,,,,92,500,,140,,,,,,,,,,,,,,LUSE193
Clan Point (+1000),,,6,320,0,0,1,0,2916,134,,,,,,,,,92,1000,,140,,,,,,,,,,,,,,LUSE194
Clan Point (+5000),,,6,320,0,0,1,0,2916,134,,,,,,,,,92,5000,,140,,,,,,,,,,,,,,LUSE195
Event Point (+1),,,6,320,0,0,1,0,1603,134,,,,,,,,,115,1,,140,,,,,,,,,,,,,,LUSE196
Event Point (+2),,,6,320,0,0,1,0,1603,134,,,,,,,,,115,2,,140,,,,,,,,,,,,,,LUSE197
Event Point (+3),,,6,320,0,0,1,0,1603,134,,,,,,,,,115,3,,140,,,,,,,,,,,,,,LUSE198
Event Point (+5),,,6,320,0,0,1,0,1603,134,,,,,,,,,115,5,,140,,,,,,,,,,,,,,LUSE199
Candy,,,,312,300,1,1,50,1648,141,584,,,,,10,,,16,250,,143,547,1,6,1,,,,,,,,,,LUSE200
Candy,,,,312,300,1,1,50,1649,141,584,,,,,10,,,17,200,,144,547,4,7,1,,,,,,,,,,LUSE201
Lollipop,,,,312,300,1,1,50,1647,141,584,,,,,10,,,16,300,,143,547,1,6,1,,,,,,,,,,LUSE202
Pumpkin Cookie,,,,312,500,1,1,50,1669,141,584,,,,,10,,,16,600,,143,547,1,6,1,,,,,,,,,,LUSE203
Ghost Cookie,,,,312,500,1,1,50,1670,141,584,,,,,10,,,17,500,,144,547,4,7,1,,,,,,,,,,LUSE204
Bat Cookie,,,,312,1230,1,1,50,1671,141,584,,,,,,,,76,1000,,146,548,,7,1,,,,,,,,,,LUSE205
Candy Cane,,,,312,500,1,1,50,5416,141,584,,,,,10,,,16,500,,143,547,1,6,1,,,,,,,,,,LUSE206
Rainbow Candy,,,,312,500,1,1,50,5441,141,584,,,,,,,,76,1000,,146,548,,7,1,,,,,,,,,,LUSE207
Ice Chest of Fortune,,,,375,1,0,1,3,5547,61,584,,,,,,,,160,1,5,,,,2,1,,,,,,5,,,,LUSE208
Penguin Loot Bag,,,,350,1,0,1,50,5548,61,584,,,,,,,,161,1,5,,,,2,1,,,,,,5,,,,LUSE209
Righteous Crusaders Treasure Chest,,,,375,500,0,1,3,6309,61,584,,,,100,,,,162,1,5,,,,2,1,,,,,,,,,1,LUSE210
Junon Order Treasure Chest,,,,375,500,0,1,3,6310,61,584,,,,100,,,,163,1,5,,,,2,1,,,,,,,,,1,LUSE211
Arumic Treasure Chest,,,,375,500,0,1,3,6311,61,584,,,,100,,,,164,1,5,,,,2,1,,,,,,,,,1,LUSE212
Ferrell Guild Treasure Chest,,,,375,500,0,1,3,6312,61,584,,,,100,,,,165,1,5,,,,2,1,,,,,,,,,1,LUSE213
Snowflake Treasure Chest,,,,375,1,0,1,3,6912,61,584,,,,,,,,185,1,0,,,,2,1,,,,,,5,,,,LUSE214
Combatant's Chest,,,6,375,1,1,1,3,9207,61,,,,,,,,,285,1,5,,,,2,1,,,,,,,,,,LUSE215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Soldier Box (Veteran),,,6,350,1000,0,0,10,2899,1006,,,,,,,82,300,105,1,,1035,,,2,1,,,,,,,,,,LUSE220
Silver Soldier Box (Veteran),,,6,350,1000,0,0,10,2900,1006,,,,,,,82,600,125,1,,1055,,,2,1,,,,,,,,,,LUSE221
Gold Soldier Box (Veteran),,,6,350,1000,0,0,10,2901,1006,,,,,,,82,1000,145,1,,1075,,,2,1,,,,,,,,,,LUSE222
Bronze Muse Box (Veteran),,,6,350,1000,0,0,10,2899,1006,,,,,,,82,300,106,1,,1036,,,2,1,,,,,,,,,,LUSE223
