Name,Id,Type,Defense,MagicResist,IconIdx,Quality,BasePrice,PriceRate,MoveSpeed,ReqStat1,ReqAmount1,ReqStat2,ReqAmount2,BonusStat1,BonusAmount1,BonusStat2,BonusAmount2,Durability,Weight,FieldItemId,MeshFemale,MeshMale,StlKey,DisplayName,Description
foot_10,10,153,9,1,580,29,2200,0,80,31,30,,,,,,,49,2,244,/Game/Characters/Modular/Female/foot_10/foot_10/SkeletalMeshes/foot_10,/Game/Characters/Modular/Male/foot_10/foot_10/SkeletalMeshes/foot_10,LFOO010,Land Walkers,Comfortable boots that offer comfort when walking.
foot_11,11,153,10,1,581,31,3000,0,85,31,35,,,,,,,50,2,244,/Game/Characters/Modular/Female/foot_11/foot_11/SkeletalMeshes/foot_11,/Game/Characters/Modular/Male/foot_11/foot_11/SkeletalMeshes/foot_11,LFOO011,Earth Walkers,Comfortable boots that protect its wearer when walking on the toughest terrain.
foot_12,12,153,11,1,582,33,3700,0,85,31,40,,,,,,,50,2,244,/Game/Characters/Modular/Female/foot_12/foot_12/SkeletalMeshes/foot_12,/Game/Characters/Modular/Male/foot_12/foot_12/SkeletalMeshes/foot_12,LFOO012,Marble Shoes,Shoes endowed with the elegant beauty of marble stone.
foot_13,13,153,12,2,583,35,4900,0,90,31,45,,,,,,,51,2,244,/Game/Characters/Modular/Female/foot_13/foot_13/SkeletalMeshes/foot_13,/Game/Characters/Modular/Male/foot_13/foot_13/SkeletalMeshes/foot_13,LFOO013,Luxurious Marble Shoes,"Shoes as hard as marble on the outside, but incredibly soft and cushiony on the inside."
foot_14,14,153,14,2,585,39,6600,0,85,31,55,,,,,,,52,2,244,/Game/Characters/Modular/Female/foot_14/foot_14/SkeletalMeshes/foot_14,/Game/Characters/Modular/Male/foot_14/foot_14/SkeletalMeshes/foot_14,LFOO014,Junior Shoes,Shoes for normal magic school students.
foot_15,15,153,16,2,586,42,9200,0,87,31,63,,,,,,,54,2,244,/Game/Characters/Modular/Female/foot_15/foot_15/SkeletalMeshes/foot_15,/Game/Characters/Modular/Male/foot_15/foot_15/SkeletalMeshes/foot_15,LFOO015,Senior Shoes,Shoes for exemplary magic school students.
foot_16,16,153,19,3,588,46,13500,0,85,31,75,,,,,,,55,2,244,/Game/Characters/Modular/Female/foot_16/foot_16/SkeletalMeshes/foot_16,/Game/Characters/Modular/Male/foot_16/foot_16/SkeletalMeshes/foot_16,LFOO016,Redfield Green Shoes,"Refined, elegant shoes for people with refined, elegant tastes."
foot_17,17,153,27,4,589,49,17300,0,85,31,85,,,,,,,58,2,244,/Game/Characters/Modular/Female/foot_17/foot_17/SkeletalMeshes/foot_17,/Game/Characters/Modular/Male/foot_17/foot_17/SkeletalMeshes/foot_17,LFOO017,Redfield Black Shoes,"Refined, elegant shoes for people with refined, elegant tastes."
foot_18,18,153,61,7,589,52,25300,0,87,31,160,,,23,41,,,72,2,244,/Game/Characters/Modular/Female/foot_18/foot_18/SkeletalMeshes/foot_18,/Game/Characters/Modular/Male/foot_18/foot_18/SkeletalMeshes/foot_18,LFOO018,Redfield Red Shoes,"Refined, elegant shoes for people with refined, elegant tastes."
foot_19,19,0,0,0,0,0,0,0,,,,,,,,,,,,0,/Game/Characters/Modular/Female/foot_19/foot_19/SkeletalMeshes/foot_19,/Game/Characters/Modular/Male/foot_19/foot_19/SkeletalMeshes/foot_19,,,
foot_20,20,151,150,80,2519,57,32250,0,100,,,,,11,30,22,50,120,3,232,/Game/Characters/Modular/Female/foot_20/foot_20/SkeletalMeshes/foot_20,/Game/Characters/Modular/Male/foot_20/foot_20/SkeletalMeshes/foot_20,LFOO020,Jaguar Rave Shoes,
foot_21,21,153,1024,1024,2519,50,0,0,100,,,,,11,30,22,1024,120,3,236,/Game/Characters/Modular/Female/foot_21/foot_21/SkeletalMeshes/foot_21,/Game/Characters/Modular/Male/foot_21/foot_21/SkeletalMeshes/foot_21,LFOO021,GM Pink Shoes,
foot_22,22,153,1024,1024,2519,50,0,0,100,,,,,11,30,22,1024,120,3,236,/Game/Characters/Modular/Female/foot_22/foot_22/SkeletalMeshes/foot_22,/Game/Characters/Modular/Male/foot_22/foot_22/SkeletalMeshes/foot_22,LFOO022,GM Blue Shoes,
foot_23,23,153,150,80,2519,32,3210,0,100,,,,,10,30,19,50,120,2,236,/Game/Characters/Modular/Female/foot_23/foot_23/SkeletalMeshes/foot_23,/Game/Characters/Modular/Male/foot_23/foot_23/SkeletalMeshes/foot_23,LFOO023,Slippers,
foot_24,24,153,150,80,2519,100,1000,0,100,,,,,13,40,12,30,120,2,244,/Game/Characters/Modular/Female/foot_24/foot_24/SkeletalMeshes/foot_24,/Game/Characters/Modular/Male/foot_24/foot_24/SkeletalMeshes/foot_24,LFOO024,Nurse Shoes,
foot_25,25,153,150,80,2519,100,1000,0,100,,,,,11,30,22,50,120,2,244,/Game/Characters/Modular/Female/foot_25/foot_25/SkeletalMeshes/foot_25,/Game/Characters/Modular/Male/foot_25/foot_25/SkeletalMeshes/foot_25,LFOO025,Lovely Heart Shoes,
foot_26,26,153,150,80,2519,100,1000,0,100,,,,,12,30,19,50,120,2,244,/Game/Characters/Modular/Female/foot_26/foot_26/SkeletalMeshes/foot_26,/Game/Characters/Modular/Male/foot_26/foot_26/SkeletalMeshes/foot_26,LFOO026,Pink Racing Shoes,
foot_27,27,153,150,80,2519,100,1000,0,100,,,,,22,40,12,30,120,2,244,/Game/Characters/Modular/Female/foot_27/foot_27/SkeletalMeshes/foot_27,/Game/Characters/Modular/Male/foot_27/foot_27/SkeletalMeshes/foot_27,LFOO027,Blue Racing Shoes,
foot_28,28,153,150,80,2519,100,1000,0,100,,,,,11,30,22,50,120,2,236,/Game/Characters/Modular/Female/foot_28/foot_28/SkeletalMeshes/foot_28,/Game/Characters/Modular/Male/foot_28/foot_28/SkeletalMeshes/foot_28,LFOO028,Venus Hawker Shoes,
foot_29,29,153,5,1,601,14,355,0,80,0,0,,,,,,,45,2,244,/Game/Characters/Modular/Female/foot_29/foot_29/SkeletalMeshes/foot_29,/Game/Characters/Modular/Male/foot_29/foot_29/SkeletalMeshes/foot_29,LFOO029,Evolution Visitor Shoes,The basic shoes provided for Visitors in ROSE Evolution.
foot_30,30,153,2,0,602,14,0,0,70,,,,,,,,,44,2,244,/Game/Characters/Modular/Female/foot_30/foot_30/SkeletalMeshes/foot_30,/Game/Characters/Modular/Male/foot_30/foot_30/SkeletalMeshes/foot_30,LFOO030,Visitor Sandals,Basic shoes for Visitors that are furnished by the Akram Kingdom.
foot_31,31,151,7,1,611,21,1050,0,77,31,10,,,,,,,46,5,228,/Game/Characters/Modular/Female/foot_31/foot_31/SkeletalMeshes/foot_31,/Game/Characters/Modular/Male/foot_31/foot_31/SkeletalMeshes/foot_31,LFOO031,Soldier Boots,Basic boots for Soldiers.
foot_32,32,151,11,1,612,28,2950,0,80,31,30,,,,,,,49,5,228,/Game/Characters/Modular/Female/foot_32/foot_32/SkeletalMeshes/foot_32,/Game/Characters/Modular/Male/foot_32/foot_32/SkeletalMeshes/foot_32,LFOO032,Iron Boots,Boots made out of iron.
foot_33,33,151,16,1,613,35,6350,0,80,31,50,,,,,,,52,5,228,/Game/Characters/Modular/Female/foot_33/foot_33/SkeletalMeshes/foot_33,/Game/Characters/Modular/Male/foot_33/foot_33/SkeletalMeshes/foot_33,LFOO033,Trunket Boots,"Heavy, but very reliable boots."
foot_34,34,151,21,2,614,42,13550,0,82,31,70,,,,,,,55,5,228,/Game/Characters/Modular/Female/foot_34/foot_34/SkeletalMeshes/foot_34,/Game/Characters/Modular/Male/foot_34/foot_34/SkeletalMeshes/foot_34,LFOO034,Chrome Boots,"Light, yet sturdy boots that are made out of a mysterious metal."
foot_35,35,151,27,2,615,48,22950,0,83,31,88,,,,,,,58,6,228,/Game/Characters/Modular/Female/foot_35/foot_35/SkeletalMeshes/foot_35,/Game/Characters/Modular/Male/foot_35/foot_35/SkeletalMeshes/foot_35,LFOO035,Mighty Boots,"Light, yet reliable boots of high quality."
foot_36,36,151,32,3,616,53,35400,0,84,31,104,,,,,,,61,6,228,/Game/Characters/Modular/Female/foot_36/foot_36/SkeletalMeshes/foot_36,/Game/Characters/Modular/Male/foot_36/foot_36/SkeletalMeshes/foot_36,LFOO036,Kurash Boots,Heavy boots which can be used as weapons.
foot_37,37,151,38,4,617,59,60000,0,82,31,120,,,,,,,64,6,228,/Game/Characters/Modular/Female/foot_37/foot_37/SkeletalMeshes/foot_37,/Game/Characters/Modular/Male/foot_37/foot_37/SkeletalMeshes/foot_37,LFOO037,Plate Boots,The best boots: well-designed and very reliable.
foot_38,38,151,51,5,622,69,98775,0,84,31,145,,,,,,,69,6,228,/Game/Characters/Modular/Female/foot_38/foot_38/SkeletalMeshes/foot_38,/Game/Characters/Modular/Male/foot_38/foot_38/SkeletalMeshes/foot_38,LFOO042,Durable Boots,Sturdily constructed boots that are the standard of durability in footwear.
foot_39,39,151,60,6,618,76,132975,0,85,31,155,,,,,,,73,6,228,/Game/Characters/Modular/Female/foot_39/foot_39/SkeletalMeshes/foot_39,/Game/Characters/Modular/Male/foot_39/foot_39/SkeletalMeshes/foot_39,LFOO038,Cedric Boots,Effective Boots designed by a famous swordman.
foot_40,40,151,71,7,620,79,187600,0,85,31,165,,,,,,,86,6,228,/Game/Characters/Modular/Female/foot_40/foot_40/SkeletalMeshes/foot_40,/Game/Characters/Modular/Male/foot_40/foot_40/SkeletalMeshes/foot_40,LFOO039,Execution Boots,Boots crafted for warriors that fight against injustice and villainy.
foot_41,41,151,77,8,621,82,264550,0,86,31,175,,,,,,,95,6,228,/Game/Characters/Modular/Female/foot_41/foot_41/SkeletalMeshes/foot_41,/Game/Characters/Modular/Male/foot_41/foot_41/SkeletalMeshes/foot_41,LFOO040,Abyss Plate Boots,Boots forged from a strange metal discovered at the bottom of an abyss.
foot_42,42,151,84,9,622,87,273350,0,87,31,185,,,,,,,99,6,228,/Game/Characters/Modular/Female/foot_42/foot_42/SkeletalMeshes/foot_42,/Game/Characters/Modular/Male/foot_42/foot_42/SkeletalMeshes/foot_42,LFOO041,Righteous Plate Boots,Boots intended to be worn by heroes whose hearts know the true meaning of justice.
foot_43,43,151,96,11,627,92,308850,0,89,31,200,,,20,10,10,10,108,10,228,/Game/Characters/Modular/Female/foot_43/foot_43/SkeletalMeshes/foot_43,/Game/Characters/Modular/Male/foot_43/foot_43/SkeletalMeshes/foot_43,LFOO043,Jabberwock Boots,Boots that shimmer freakily like the eyes of a madman.
foot_44,44,0,0,0,0,0,0,0,,,,,,,,,,,,0,/Game/Characters/Modular/Female/foot_44/foot_44/SkeletalMeshes/foot_44,/Game/Characters/Modular/Male/foot_44/foot_44/SkeletalMeshes/foot_44,,,
foot_45,45,151,100,12,627,93,320582,0,90,31,205,,,20,10,10,10,106,10,228,/Game/Characters/Modular/Female/foot_45/foot_45/SkeletalMeshes/foot_45,/Game/Characters/Modular/Male/foot_45/foot_45/SkeletalMeshes/foot_45,LFOO045,Brave Jabberwock Boots,You entered deep into the depths of Prison and claimed these boots.
foot_46,46,0,0,0,0,0,0,0,,,,,,,,,,,,0,/Game/Characters/Modular/Female/foot_46/foot_46/SkeletalMeshes/foot_46,/Game/Characters/Modular/Male/foot_46/foot_46/SkeletalMeshes/foot_46,,,
foot_47,47,0,0,0,0,0,0,0,,,,,,,,,,,,0,/Game/Characters/Modular/Female/foot_47/foot_47/SkeletalMeshes/foot_47,/Game/Characters/Modular/Male/foot_47/foot_47/SkeletalMeshes/foot_47,,,
foot_48,48,151,275,187,5278,93,320582,0,100,31,255,,,10,45,20,100,125,10,228,/Game/Characters/Modular/Female/foot_48/foot_48/SkeletalMeshes/foot_48,/Game/Characters/Modular/Male/foot_48/foot_48/SkeletalMeshes/foot_48,LFOO048,Crusader's Pallid Boots,Boots Exclusive for ETC iROSE
foot_49,49,151,275,187,5279,93,320582,0,100,31,255,,,10,45,18,100,125,10,228,/Game/Characters/Modular/Female/foot_49/foot_49/SkeletalMeshes/foot_49,/Game/Characters/Modular/Male/foot_49/foot_49/SkeletalMeshes/foot_49,LFOO049,Demon's Viking Boots,Boots Exclusive for ETC iROSE
foot_50,50,151,150,80,2519,81,1500,0,100,,,,,11,30,20,40,120,6,228,/Game/Characters/Modular/Female/foot_50/foot_50/SkeletalMeshes/foot_50,/Game/Characters/Modular/Male/foot_50/foot_50/SkeletalMeshes/foot_50,LFOO050,Zephyr Venus Shoes,
foot_51,51,151,150,80,2519,81,1500,0,100,,,,,10,30,20,40,120,6,228,/Game/Characters/Modular/Female/foot_51/foot_51/SkeletalMeshes/foot_51,/Game/Characters/Modular/Male/foot_51/foot_51/SkeletalMeshes/foot_51,LFOO051,Turbo Venus Shoes,
foot_52,52,151,150,80,2519,81,1500,0,100,,,,,11,30,22,50,120,6,228,/Game/Characters/Modular/Female/foot_52/foot_52/SkeletalMeshes/foot_52,/Game/Characters/Modular/Male/foot_52/foot_52/SkeletalMeshes/foot_52,LFOO052,Brown Wooden,
foot_53,53,151,150,80,2519,81,1500,0,100,,,,,13,30,15,30,120,6,228,/Game/Characters/Modular/Female/foot_53/foot_53/SkeletalMeshes/foot_53,/Game/Characters/Modular/Male/foot_53/foot_53/SkeletalMeshes/foot_53,LFOO053,Red Wooden,
foot_54,54,151,150,80,2519,81,1500,0,100,,,,,22,40,12,30,120,6,228,/Game/Characters/Modular/Female/foot_54/foot_54/SkeletalMeshes/foot_54,/Game/Characters/Modular/Male/foot_54/foot_54/SkeletalMeshes/foot_54,LFOO054,Black Wooden,
foot_55,55,151,150,80,2519,81,1500,0,100,,,,,10,30,19,50,120,6,228,/Game/Characters/Modular/Female/foot_55/foot_55/SkeletalMeshes/foot_55,/Game/Characters/Modular/Male/foot_55/foot_55/SkeletalMeshes/foot_55,LFOO055,White Wooden,
foot_56,56,151,150,80,2519,81,1500,0,100,,,,,12,30,20,40,120,6,228,/Game/Characters/Modular/Female/foot_56/foot_56/SkeletalMeshes/foot_56,/Game/Characters/Modular/Male/foot_56/foot_56/SkeletalMeshes/foot_56,LFOO056,Alpha Shoes,Shoes of the legendary Alpha.
foot_57,57,151,150,80,2519,81,1500,0,100,,,,,11,30,20,40,120,6,228,/Game/Characters/Modular/Female/foot_57/foot_57/SkeletalMeshes/foot_57,/Game/Characters/Modular/Male/foot_57/foot_57/SkeletalMeshes/foot_57,LFOO057,Glowstick Shoes,Shoes that glow under a blacklight.
foot_58,58,151,150,80,2519,81,1500,0,100,,,,,10,30,20,40,120,6,228,/Game/Characters/Modular/Female/foot_58/foot_58/SkeletalMeshes/foot_58,/Game/Characters/Modular/Male/foot_58/foot_58/SkeletalMeshes/foot_58,LFOO058,Omega Shoes,Shoes of the legendary Omega.
foot_59,59,151,150,80,2519,81,1500,0,100,,,,,12,30,20,40,120,6,228,/Game/Characters/Modular/Female/foot_59/foot_59/SkeletalMeshes/foot_59,/Game/Characters/Modular/Male/foot_59/foot_59/SkeletalMeshes/foot_59,LFOO059,Jager Venus Shoes,
foot_60,60,151,150,80,2519,81,1500,0,100,,,,,13,30,20,40,120,6,228,/Game/Characters/Modular/Female/foot_60/foot_60/SkeletalMeshes/foot_60,/Game/Characters/Modular/Male/foot_60/foot_60/SkeletalMeshes/foot_60,LFOO060,Brown Heel Boots,
foot_61,61,152,6,1,637,22,900,0,77,31,10,,,,,,,46,3,236,/Game/Characters/Modular/Female/foot_61/foot_61/SkeletalMeshes/foot_61,/Game/Characters/Modular/Male/foot_61/foot_61/SkeletalMeshes/foot_61,LFOO061,Spiritual Shoes,"Shoes which bring a feeling of calmness to their wearer, making them ideal for new Muses."
foot_62,62,152,10,2,638,29,2500,0,78,31,30,,,,,,,49,3,236,/Game/Characters/Modular/Female/foot_62/foot_62/SkeletalMeshes/foot_62,/Game/Characters/Modular/Male/foot_62/foot_62/SkeletalMeshes/foot_62,LFOO062,Green Sandals of Witch,A pair of shoes that is fairly popular among magic users.
foot_63,63,152,14,2,639,36,5700,0,80,31,50,,,,,,,52,3,236,/Game/Characters/Modular/Female/foot_63/foot_63/SkeletalMeshes/foot_63,/Game/Characters/Modular/Male/foot_63/foot_63/SkeletalMeshes/foot_63,LFOO063,Purple Sandals of Witch,Sandals that are favored by very well-experienced Mages.
foot_64,64,152,18,3,640,43,10700,0,80,31,70,,,,,,,55,3,236,/Game/Characters/Modular/Female/foot_64/foot_64/SkeletalMeshes/foot_64,/Game/Characters/Modular/Male/foot_64/foot_64/SkeletalMeshes/foot_64,LFOO064,Violet Boots,Fashionable boots that are the mark of a powerful Mage.
foot_65,65,152,23,4,641,50,19600,0,82,31,88,,,,,,,57,3,236,/Game/Characters/Modular/Female/foot_65/foot_65/SkeletalMeshes/foot_65,/Game/Characters/Modular/Male/foot_65/foot_65/SkeletalMeshes/foot_65,LFOO065,Boots of Shadow,Shoes that are rumored to cover its wearer in shadow.
foot_66,66,152,27,5,642,55,29550,0,82,31,104,,,,,,,60,3,236,/Game/Characters/Modular/Female/foot_66/foot_66/SkeletalMeshes/foot_66,/Game/Characters/Modular/Male/foot_66/foot_66/SkeletalMeshes/foot_66,LFOO066,Velvet Boots of Witch,Boots from which extremely powerful magic can be sensed.
foot_67,67,152,32,5,643,61,45350,0,84,31,120,,,,,,,62,3,236,/Game/Characters/Modular/Female/foot_67/foot_67/SkeletalMeshes/foot_67,/Game/Characters/Modular/Male/foot_67/foot_67/SkeletalMeshes/foot_67,LFOO067,Heaven's Shoes,Shoes which are said to be worn by those from heaven.
foot_68,68,152,43,7,644,72,77220,0,85,31,145,,,,,,,68,3,236,/Game/Characters/Modular/Female/foot_68/foot_68/SkeletalMeshes/foot_68,/Game/Characters/Modular/Male/foot_68/foot_68/SkeletalMeshes/foot_68,LFOO068,Fairy Shoes,Cool footwear crafted by Arua's fairy.
foot_69,69,152,51,8,645,79,106605,0,86,31,155,,,,,,,71,3,236,/Game/Characters/Modular/Female/foot_69/foot_69/SkeletalMeshes/foot_69,/Game/Characters/Modular/Male/foot_69/foot_69/SkeletalMeshes/foot_69,LFOO069,Joker Shoes,A pair of shoes that is commonly worn by confidence men and hustlers.
foot_70,70,152,56,9,646,84,143900,0,87,31,165,,,,,,,74,3,236,/Game/Characters/Modular/Female/foot_70/foot_70/SkeletalMeshes/foot_70,/Game/Characters/Modular/Male/foot_70/foot_70/SkeletalMeshes/foot_70,LFOO070,Mystic Weaver Shoes,A pair of shoes manufactured for intermediate Muses.
foot_71,71,152,62,10,647,93,204650,0,88,31,175,,,,,,,79,3,236,/Game/Characters/Modular/Female/foot_71/foot_71/SkeletalMeshes/foot_71,/Game/Characters/Modular/Male/foot_71/foot_71/SkeletalMeshes/foot_71,LFOO071,Serenity Shoes,A pair shoes that provides a sense of calm and clarity of focus just by wearing them.
foot_72,72,152,69,11,648,101,257100,0,89,31,185,,,,,,,82,3,236,/Game/Characters/Modular/Female/foot_72/foot_72/SkeletalMeshes/foot_72,/Game/Characters/Modular/Male/foot_72/foot_72/SkeletalMeshes/foot_72,LFOO072,Archmage Shoes,Shoes that are especially manufactured for advanced Muses.
foot_73,73,152,77,13,650,105,286050,0,91,31,200,,,20,10,12,10,87,3,236,/Game/Characters/Modular/Female/foot_73/foot_73/SkeletalMeshes/foot_73,/Game/Characters/Modular/Male/foot_73/foot_73/SkeletalMeshes/foot_73,LFOO073,Dimple Shoes,"Cute, classy shoes made by a famous designer."
foot_74,74,151,150,80,2519,81,1500,0,100,31,131,,,22,40,12,30,120,6,228,/Game/Characters/Modular/Female/foot_74/foot_74/SkeletalMeshes/foot_74,/Game/Characters/Modular/Male/foot_74/foot_74/SkeletalMeshes/foot_74,LFOO074,Fancy White Shoes,Fancy shoes designed for Shuya.
foot_75,75,152,82,14,650,106,320582,0,93,31,205,,,20,10,12,10,89,3,236,/Game/Characters/Modular/Female/foot_75/foot_75/SkeletalMeshes/foot_75,/Game/Characters/Modular/Male/foot_75/foot_75/SkeletalMeshes/foot_75,LFOO075,Brave Dimple Shoes,You entered deep into the depths of Prison and claimed these shoes.
foot_76,76,151,150,80,2519,81,1500,0,100,,,,,10,30,20,40,120,6,228,/Game/Characters/Modular/Female/foot_76/foot_76/SkeletalMeshes/foot_76,/Game/Characters/Modular/Male/foot_76/foot_76/SkeletalMeshes/foot_76,LFOO076,Fancy Pink Shoes,Redesigned fancy shoes.
foot_77,77,151,150,80,2519,81,1500,0,100,,,,,12,30,20,40,120,6,228,/Game/Characters/Modular/Female/foot_77/foot_77/SkeletalMeshes/foot_77,/Game/Characters/Modular/Male/foot_77/foot_77/SkeletalMeshes/foot_77,LFOO077,Fancy Purple Shoes,Redesigned fancy shoes.
foot_78,78,151,150,80,2519,81,1500,0,100,,,,,11,30,20,40,120,6,228,/Game/Characters/Modular/Female/foot_78/foot_78/SkeletalMeshes/foot_78,/Game/Characters/Modular/Male/foot_78/foot_78/SkeletalMeshes/foot_78,LFOO078,Fancy Black Shoes,Redesigned fancy shoes.
foot_79,79,151,150,80,2519,81,1500,0,100,,,,,13,30,20,40,120,6,228,/Game/Characters/Modular/Female/foot_79/foot_79/SkeletalMeshes/foot_79,/Game/Characters/Modular/Male/foot_79/foot_79/SkeletalMeshes/foot_79,LFOO079,Fancy Blue Shoes,Redesigned fancy shoes.
foot_80,80,151,150,80,2519,81,1500,0,100,,,,,10,30,15,30,120,6,228,/Game/Characters/Modular/Female/foot_80/foot_80/SkeletalMeshes/foot_80,/Game/Characters/Modular/Male/foot_80/foot_80/SkeletalMeshes/foot_80,LFOO080,Baseball Shoes,Shoes commonly worn by baseball players.
foot_81,81,151,150,80,2519,81,1500,0,100,,,,,20,40,10,30,120,6,228,/Game/Characters/Modular/Female/foot_81/foot_81/SkeletalMeshes/foot_81,/Game/Characters/Modular/Male/foot_81/foot_81/SkeletalMeshes/foot_81,LFOO081,Orange Sneakers,Bright orange shoes.
foot_82,82,151,150,80,2519,81,1500,0,100,,,,,20,40,11,30,120,6,228,/Game/Characters/Modular/Female/foot_82/foot_82/SkeletalMeshes/foot_82,/Game/Characters/Modular/Male/foot_82/foot_82/SkeletalMeshes/foot_82,LFOO082,Red Sneakers,Common red sneakers.
foot_83,83,151,150,80,2519,81,1500,0,100,,,,,20,40,12,30,120,6,228,/Game/Characters/Modular/Female/foot_83/foot_83/SkeletalMeshes/foot_83,/Game/Characters/Modular/Male/foot_83/foot_83/SkeletalMeshes/foot_83,LFOO083,Pink Bunny Sneakers,Pink Bunny Boo Shoes.
foot_84,84,151,150,80,2519,81,1500,0,100,,,,,20,40,13,30,120,6,228,/Game/Characters/Modular/Female/foot_84/foot_84/SkeletalMeshes/foot_84,/Game/Characters/Modular/Male/foot_84/foot_84/SkeletalMeshes/foot_84,LFOO084,Black Slip Shoes,Black shoes that conveniently slip on and off.
foot_85,85,151,150,80,2519,81,1500,0,100,,,,,22,40,12,30,120,6,228,/Game/Characters/Modular/Female/foot_85/foot_85/SkeletalMeshes/foot_85,/Game/Characters/Modular/Male/foot_85/foot_85/SkeletalMeshes/foot_85,LFOO085,White Heel Boots,Tall boots with high heels.
foot_86,86,151,150,80,2519,81,1500,0,100,,,,,13,40,12,30,120,6,228,/Game/Characters/Modular/Female/foot_86/foot_86/SkeletalMeshes/foot_86,/Game/Characters/Modular/Male/foot_86/foot_86/SkeletalMeshes/foot_86,LFOO086,Tiger Heel Boots,Tall boots with high heels.
foot_87,87,151,150,80,2519,81,1500,0,100,,,,,12,30,19,50,120,6,228,/Game/Characters/Modular/Female/foot_87/foot_87/SkeletalMeshes/foot_87,/Game/Characters/Modular/Male/foot_87/foot_87/SkeletalMeshes/foot_87,LFOO087,Elegant Muse Shoes,Shoes that can only be worn by the most powerful muses.
foot_89,89,152,257,215,5280,106,320582,0,100,31,255,,,12,45,20,100,125,3,236,/Game/Characters/Modular/Female/foot_89/foot_89/SkeletalMeshes/foot_89,/Game/Characters/Modular/Male/foot_89/foot_89/SkeletalMeshes/foot_89,LFOO089,Allabast Rift Shoes,Boots Exclusive for ETC iROSE
foot_90,90,152,257,215,5281,106,320582,0,100,31,255,,,12,45,18,100,125,3,236,/Game/Characters/Modular/Female/foot_90/foot_90/SkeletalMeshes/foot_90,/Game/Characters/Modular/Male/foot_90/foot_90/SkeletalMeshes/foot_90,LFOO090,Heavenly Priest Shoes,Boots Exclusive for ETC iROSE
foot_91,91,151,6,1,676,24,1050,0,80,31,10,,,,,,,46,3,232,/Game/Characters/Modular/Female/foot_91/foot_91/SkeletalMeshes/foot_91,/Game/Characters/Modular/Male/foot_91/foot_91/SkeletalMeshes/foot_91,LFOO091,Hunter Boots,Basic boots for Hawkers that allow the wearer to easily adapt to nature.
