string,string,string,string,"0: Outdoor, 1: Underground, 2: Game Arena",string,string,list_sky,string,,,string,string,,,,,,,str_planet,list_stepsound,list_camera,string,string,string,,string,,,,1:cart/m 2:cgs,int,,,int,int,worldmap,string,No terrain,Seasonal Textures,1: Bonfires 2: None,GM Only,Block EQ Changes,Block Fairy,Block Shops,Hide On Map Dlg,Client PvP,Armory Hide,Block Bag,Skip Checksum,Block Pets,Block Skills,Leave Party,Force Weather,string,Hide Minimap,Upgrading,Team Chat,RespawnTimer,Auto PK Mode,Game Arena,Tooltip String,MaxAltitude,Wmap Zulie
Evo Login Map,3DDATA\Maps\ELDEON\Title\Title.zon,start,restore,0,Sound\BGM\Prologue.ogg,Sound\BGM\Prologue.ogg,0,3Ddata\Maps\Eldeon\Title\minimap.DDS,31,31,3DDATA\\ELDEON\\LIST_DECO_EJ.ZSC,3DDATA\\ELDEON\\LIST_CNST_EJ.ZSC,160,0,11,112,128,,1,4,,,,,4000,LZON018,,4,4,0,,,,0,25,18,,,,,1,,,,2,,,,,,,,,,,,,,,,,,
Flying Boat,3DDATA\Maps\Junon\JMOV01\jmov01.zon,start,restore,0,Sound\BGM\plant_warp.ogg,Sound\BGM\plant_warp.ogg,3,3Ddata\Maps\Junon\JMOV01\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JPT.ZSC,3DDATA\\JUNON\\LIST_CNST_JPT.ZSC,1600,0,1,160,170,,1,2,,,,,4000,LZON019,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,
Birth Island,3DDATA\Maps\Junon\JG07\JG07.zon,start,restore,0,Sound\BGM\Plain01_junon.ogg,Sound\BGM\Plain01_junon.ogg,0,3Ddata\Maps\Junon\JG07\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,16,133,157,,1,2,,MAP20-22,,,4000,LZON020,,4,4,0,22,517821,521095,0,25,20,,,,,1,,,,2,,,,,,,,,,,,,,,,,,
Valley of Luxem Tower,3DDATA\Maps\Junon\JD01\JD01.zon,start,restore,0,Sound\BGM\Canyon01_junon.ogg,Sound\BGM\Canyon01_junon.ogg,0,3Ddata\Maps\Junon\JD01\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JD.ZSC,3DDATA\\JUNON\\LIST_CNST_JD.ZSC,160,0,11,115,131,,1,1,,PvP1301-340,,,4500,LZON021,,4,4,0,,,,0,25,21,,,,,,,,,,,,,,,,,,,,,,,,,2263,,
Adventurers Plains,3DDATA\Maps\Junon\JG01Arua\JG01Arua.zon,start,restore,0,Sound\BGM\Plain01_junon.ogg,Sound\BGM\Plain01_junon.ogg,0,3Ddata\Maps\Junon\JG01Arua\minimap.DDS,31,30,3DDATA\JUNON\LIST_DECO_JG.ZSC,3DDATA\JUNON\LIST_CNST_JG.ZSC,160,0,13,125,151,,1,2,,PvP1301-340,,,4000,LZON022,,4,4,0,,,,0,25,22,,,,,,,,,,,,,,,,,,,,,,,,,2271,,1000
Breezy Hills,3DDATA\Maps\Junon\JG02\JG02.zon,start,restore,0,Sound\BGM\Plain01_junon.ogg,Sound\BGM\Plain01_junon.ogg,0,3Ddata\Maps\Junon\JG02\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,10,109,125,,1,2,,PvP1301-340,,,5000,LZON023,,4,4,0,,,,0,25,23,,,,,,,,,,,,,,,,,,,,,,,,,2266,,
El Verloon Desert,3DDATA\Maps\Junon\JD02\JD02.zon,start,restore,0,Sound\BGM\Canyon01_junon.ogg,Sound\BGM\Canyon01_junon.ogg,0,3Ddata\Maps\Junon\JD02\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JD.ZSC,3DDATA\\JUNON\\LIST_CNST_JD.ZSC,160,0,6,102,112,,1,1,,PvP1301-340,,,5000,LZON024,,4,4,0,,,,0,25,24,,,,,,,,,,,,,,,,,,,,,,,,,2264,,1380
Anima Lake,3DDATA\Maps\Junon\JG03\JG03.zon,start,restore,0,Sound\BGM\Plain01_junon.ogg,Sound\BGM\Plain01_junon.ogg,0,3Ddata\Maps\Junon\JG03\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,13,99,115,,1,2,,PvP1301-340,,,5000,LZON025,,4,4,0,,,,0,25,25,,,,,,,,,,,,,,,,,,,,,,,,,2267,,1660
Forest of Wisdom,3DDATA\Maps\Junon\JG04\JG04.zon,start,restore,0,Sound\BGM\Plain01_junon.ogg,Sound\BGM\Plain01_junon.ogg,0,3Ddata\Maps\Junon\JG04\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,18,98,122,,1,2,,PvP1301-340,,,5000,LZON026,,4,4,0,,,,0,25,26,,,,,,,,,,,,,,,,,,,,,,,,,2268,,
Kenji Beach,3DDATA\Maps\Junon\JG05\JG05.zon,start,restore,0,Sound\BGM\Plain01_junon.ogg,Sound\BGM\Plain01_junon.ogg,0,3Ddata\Maps\Junon\JG05\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,11,94,112,,1,2,,PvP1301-340,,,5000,LZON027,,4,4,0,,,,0,25,27,,,,,,,,,,,,,,,,,,,,,,,,,2269,,
Gorge of Silence,3DDATA\Maps\Junon\JD03\JD03.zon,start,restore,0,Sound\BGM\Canyon01_junon.ogg,Sound\BGM\Canyon01_junon.ogg,0,3Ddata\Maps\Junon\JD03\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JD.ZSC,3DDATA\\JUNON\\LIST_CNST_JD.ZSC,160,0,6,86,96,,1,1,,PvP1301-340,,,5500,LZON028,,4,4,0,,,,0,25,28,,,,,,,,,,,,,,,,,,,,,,,,,2270,,1550
Desert of the Dead,3DDATA\Maps\Junon\JD04\JD04.zon,start,restore,0,Sound\BGM\Plain03_eldeon.ogg,Sound\BGM\Plain03_eldeon.ogg,8,3Ddata\Maps\Junon\JD04\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JD.ZSC,3DDATA\\JUNON\\LIST_CNST_JD.ZSC,160,0,19,107,128,1,1,2,,Clan-003PvP,,,6000,LZON029,,4,4,1,25,550303,553031,0,25,29,,,,,,,,,,,,,,,,,,DOD-RES-Out,,,,60,,,2272,,1660
Event Map,3DDATA\Maps\Junon\ETMAP\ETMAP.zon,start,restore,0,Sound\BGM\Plain03_eldeon.ogg,Sound\BGM\Plain03_eldeon.ogg,8,3Ddata\Maps\Junon\ETMAP\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JD.ZSC,3DDATA\\JUNON\\LIST_CNST_JD.ZSC,160,0,19,107,128,2,1,4,,ETM_Transfer,,,6000,LZON030,,4,4,0,,,,0,25,30,,,,2,,,,,1,,1,,,,,,,,,,,,,,,,
Goblin Cave (B1),3DDATA\Maps\Junon\JZ01_1\JZ01_1.zon,start,restore,1,Sound\BGM\Dungeon_junon.ogg,Sound\BGM\Dungeon_junon.ogg,1,3Ddata\Maps\Junon\JZ01_1\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JZ.ZSC,3DDATA\\JUNON\\LIST_CNST_JD.ZSC,720,0,0,0,0,,1,5,3,PvP1301-340,,,,LZON031,,4,4,0,31,542984,550955,0,25,31,,,,,,,,,,,,,,,,,,,,,,,,,2285,,1550
Goblin Cave (B2),3DDATA\Maps\Junon\JZ01_2\JZ01_2.zon,start,restore,1,Sound\BGM\Dungeon_junon.ogg,Sound\BGM\Dungeon_junon.ogg,1,3Ddata\Maps\Junon\JZ01_2\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JZ.ZSC,3DDATA\\JUNON\\LIST_CNST_JD.ZSC,720,0,0,0,0,,1,5,3,PvP1301-340,,,,LZON032,,4,4,0,31,542984,550955,0,25,31,,,,,,,,,,,,,,,,,,,,,,,,,2286,,
Goblin Cave (B3),3DDATA\Maps\Junon\JZ01_3\JZ01_3.zon,start,restore,1,Sound\BGM\Dungeon_junon.ogg,Sound\BGM\Dungeon_junon.ogg,1,3Ddata\Maps\Junon\JZ01_3\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JZ.ZSC,3DDATA\\JUNON\\LIST_CNST_JD.ZSC,720,0,0,0,0,,1,5,3,PvP1301-340,,,,LZON033,,4,4,0,31,542984,550955,0,25,31,,,,,,,,,,,,,,,,,,,,,,,,,2287,,
Cave of Ulverick,3DDATA\Maps\Junon\JZ02_1\JZ02_1.zon,start,restore,1,Sound\BGM\Junon_Cave02.ogg,Sound\BGM\Junon_Cave02.ogg,18,3Ddata\MAPS\JUNON\JZ02_1\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JZC.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,720,0,0,0,0,1,1,5,6,MAP34-Enter,,,5000,LZON034,,4,4,1,,,,0,25,29,,,,,,,,,,,,,,,,,,34-RespawnOut,,,,60,,,2284,,
Alabaster Cave,,,,,,,,,,,,,,,,,,,,,,,,,,LZON035,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-Last cave in this place--,,,,,,,,,,,,,,,,,,,,,,,,,,LZON036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine Coast,3DDATA\Maps\Junon\Sum_Event\Sum_Event.zon,start,restore,0,Sound\BGM\junon_wind.ogg,Sound\BGM\junon_wind.ogg,0,3Ddata\Maps\Junon\Sum_Event\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,11,94,112,,1,2,,LEG_ToJunon,,,5000,LZON037,,4,4,0,,,,0,25,22,,,,,,,,,2,,1,,,,,,,,,,,,,,,,
Santa Planetoid,3DDATA\Maps\Lunar\Win_Event\Win_Event.zon,start,restore,0,Sound\BGM\Event02_carol.ogg,Sound\BGM\Event02_carol.ogg,2,3Ddata\Maps\Lunar\Win_Event\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,11,130,80,,2,3,,LEG_ToJunon,,,6000,LZON038,1,4,4,0,,,,0,25,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,
Cave of the Dead,3DDATA\Maps\Junon\ID10\ID10.zon,start,restore,1,Sound\BGM\K_Cave01.ogg,Sound\BGM\K_Cave01.ogg,1,3Ddata\Maps\Junon\ID10\minimap.DDS,30,30,3DDATA\\JUNON\\LIST_DECO_TG.ZSC,3DDATA\\JUNON\\LIST_CNST_FK.ZSC,160,0,11,112,128,1,1,5,6,MAP39-Enter,,,4000,LZON039,,4,4,1,,,,0,25,29,,,,,,,,,,,,,,,,,,39-RespawnOut,,,,60,,,2283,,
Grand Ballroom,3DDATA\Maps\Junon\mudojang\mudojang.zon,start,restore,0,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\Maps\Junon\mudojang\minimap.DDS,32,32,3DDATA\\JUNON\\LIST_DECO_JPT.ZSC,3DDATA\\JUNON\\LIST_CNST_JPT.ZSC,160,0,0,160,160,,1,2,,PvP1301-340,,,5000,LZON040,,4,4,0,,,,0,25,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,
Pyramid (F1),3DDATA\Maps\Junon\JZP01\JZP01.zon,start,restore,1,Sound\BGM\Pyramid01_Junon2.ogg,Sound\Pyramid01_Junon2.ogg,0,3Ddata\Maps\Junon\JZP01\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JZP.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,6,102,112,,1,5,3,PvP1301-340,,,,LZON041,,4,4,0,41,520345,517462,0,25,41,,,,,,,,,2,,,,,,,,,,,,,,,,2281,,
Pyramid Tombs (B1),3DDATA\Maps\Junon\JZP02\JZP02.zon,start,restore,1,Sound\BGM\Pyramid01_Junon2.ogg,Sound\Pyramid01_Junon2.ogg,1,3Ddata\Maps\Junon\JZP02\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JZP.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,720,0,0,0,0,,1,5,3,PvP1301-340,,,,LZON042,,4,4,0,41,520345,517462,0,25,41,,,,,,,,,2,,,,,,,,,,,,,,,,2281,,
Racing Circuit,3Ddata\Maps\Junon\SC\circuit_sc.zon,start,restore,2,Sound\BGM\circuit01.ogg,Sound\BGM\circuit01.ogg,0,3Ddata\Maps\Junon\SC\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_SC.ZSC,3DDATA\\JUNON\\LIST_CNST_SC.ZSC,300,0,20,190,230,,1,4,,PvP1301-340,,,6000,LZON043,,4,4,2,,,,0,25,43,,,,,1,,,,2,,,,,,,,,,,,,,,,,,
Luna PVP 2,3DDATA\Maps\Lunar\LPVP02\LPVP02.zon,start,restore,0,Sound\BGM\BGM_Fedion.ogg,Sound\BGM\BGM_Fedion.ogg,5,3DDATA\Maps\Lunar\LPVP02\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,20,190,230,,1,3,,PvP1301-340,,,6000,LZON044,,8,4,0,,,,0,25,44,,,,,1,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glacier Island,3DDATA\Maps\Lunar\LPVP04\LPVP04.zon,start,restore,0,Sound\BGM\BGM_Fedion.ogg,Sound\BGM\BGM_Fedion.ogg,2,3DDATA\Maps\Lunar\LPVP04\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,20,190,230,1,2,3,,Clan-003PvP,,,6000,LZON046,1,8,4,1,,,,0,25,46,,,,,,,,,,,,,,,,,,46-RespawnOut,,,,60,,,2291,,
Frozen Cave,3DDATA\Maps\Lunar\ID06\ID06.zon,start,restore,0,Sound\BGM\Lunar_dungeon01.ogg,Sound\BGM\Lunar_dungeon01.ogg,1,3Ddata\Maps\Lunar\ID06\minimap.DDS,30,31,3DDATA\\Lunar\\LIST_DECO_PG.ZSC,3DDATA\\JUNON\\LIST_CNST_FK.ZSC,720,0,0,0,0,,2,7,3,MAP47-QSD,,,,LZON047,,4,4,0,,,,0,25,47,,,,,,,,,,,,,,,,,,,,,,,,,2290,,
Sea Of Dawn,3Ddata\MAPS\LUNAR\LSOD01\LSOD01.ZON,start,restore,0,Sound\BGM\Lunar_field03.ogg,Sound\BGM\Lunar_field03.ogg,35,3Ddata\MAPS\LUNAR\LSOD01\minimap.dds,30,31,3DDATA\\Lunar\\LIST_DECO_SOD.ZSC,3DDATA\\Lunar\\LIST_CNST_SOD.ZSC,720,0,0,0,0,,2,3,,SoD_WarpOut_NoLens,,,5500,LZON048,,8,4,3,,,,0,25,48,,,,,,,,,,,,,,,,,,48-RespawnOut,,,,60,,,2359,,
Cerberus Lair,3Ddata\MAPS\LUNAR\Cerberus\Cerberus.zon,start,restore,0,Sound\BGM\Lunar_field02.ogg,Sound\BGM\Lunar_field01.ogg,2,3Ddata\MAPS\LUNAR\Cerberus\minimap.dds,30,30,3DDATA\LUNAR\LIST_DECO_LP.ZSC,3DDATA\LUNAR\LIST_CNST_LMT.ZSC,300,0,6,261,270,,2,3,,,,,4000,LZON049,1,8,4,0,,,,0,25,58,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Cold Island,3Ddata\MAPS\LUNAR\LunarRace\LunarRace.zon,start,restore,2,Sound\BGM\Town01_lunar.ogg,Sound\BGM\Town01_lunar.ogg,5,3Ddata\MAPS\LUNAR\LunarRace\minimap.dds,31,30,3DDATA\LUNAR\LIST_DECO_LP.ZSC,3DDATA\LUNAR\LIST_CNST_LMT.ZSC,300,0,6,261,270,,2,3,,MAP50-QSD,,,4000,LZON050,1,8,4,2,,,,0,25,50,,,,2,,,1,,2,,,,,1,,,,,,,,,,,,,
Magic City of the Eucar,3DDATA\Maps\Lunar\LMT01\LMT01.zon,start,restore,0,Sound\BGM\Town01_lunar.ogg,Sound\BGM\Town01_lunar.ogg,2,3Ddata\Maps\Lunar\LMT01\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,6,261,270,,2,3,,PvP1301-340,,,4000,LZON051,1,8,4,0,,,,0,25,51,,,,,,,,,,,,,,,,,,,,,,,,,2273,,1840
Mana Snowfields,3DDATA\Maps\Lunar\LP01\lp01.zon,start,restore,0,Sound\BGM\Lunar_field01.ogg,Sound\BGM\Lunar_field02.ogg,2,3Ddata\Maps\Lunar\LP01\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,7,249,258,,2,3,,PvP1301-340,,,5500,LZON052,1,8,4,0,,,,0,25,52,,,,,,,,,,,,,,,,,,,,,,,,,2274,,1840
Arumic Valley,3DDATA\Maps\Lunar\LP02\lp02.zon,start,restore,0,Sound\BGM\Lunar_field01.ogg,Sound\BGM\Lunar_field02.ogg,2,3Ddata\Maps\Lunar\LP02\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,10,237,249,,2,3,,PvP1301-340,,,6000,LZON053,1,8,4,0,,,,0,25,53,,,,,,,,,,,,,,,,,,,,,,,,,2275,,1840
Crystal Snowfields,3DDATA\Maps\Lunar\LP03\LP03.zon,start,restore,0,Sound\BGM\Lunar_field02.ogg,Sound\BGM\Lunar_field01.ogg,2,3Ddata\Maps\Lunar\LP03\minimap.DDS,31,30,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,14,210,240,,2,3,,PvP1301-340,,,6000,LZON054,1,8,4,0,,,,0,25,54,,,,,,,,,,,,,,,,,,,,,,,,,2288,,1840
Freezing Plateau,3DDATA\Maps\Lunar\LP04\LP04.zon,start,restore,0,Sound\BGM\Lunar_field02.ogg,Sound\BGM\Lunar_field01.ogg,5,3Ddata\Maps\Lunar\LP04\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,20,190,230,,2,3,,MAP55-WeatherOn,,,6000,LZON055,1,8,4,0,,,,0,25,55,,,,,,,,,,,,,,,,,,,,,,,,,2289,,1840
