File Name,Mix Count,Description
Sound\skill\Skill_magic07.wav,5,
Sound\skill\Skill_magic08.wav,5,
Sound\skill\HeavyAtt_001.wav,5,
Sound\skill\HeavyArr001.wav,5,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Sound\skill\Skill_status01.wav,5,
Sound\skill\Skill_status02.wav,5,
Sound\skill\Skill_status03.wav,5,
Sound\skill\Skill_status04.wav,5,
Sound\skill\Skill_status05.wav,5,
Sound\skill\Skill_status06.wav,5,
Sound\skill\Skill_status07.wav,5,
Sound\skill\Skill_status08.wav,5,
Sound\skill\Skill_status09.wav,5,
Sound\skill\Skill_status10.wav,5,
Sound\skill\Skill_status11.wav,5,
Sound\skill\Skill_status12.wav,5,
Sound\skill\Skill_status13.wav,5,
Sound\skill\Skill_status14.wav,5,
Sound\skill\Skill_status15.wav,5,
,,
,,
,,
,,
,,
,3,????_N
Sound\mob\Mob01_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob01_A.wav,3,????????_A
,3,????_N
Sound\mob\Mob01_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob01_A.wav,3,????????_A
,3,????_N
Sound\mob\Mob01_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob01_A.wav,3,????????_A
,3,????_N
,3,????_D
,3,??????_H
,3,????????_A
,3,????_N
Sound\mob\Mob05_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob05_A.wav,3,????????_A
,3,????_N
Sound\mob\Mob05_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob06_A.wav,3,????????_A
Sound\mob\Mob07_N.wav,3,????_N
Sound\mob\Mob07_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob07_A.wav,3,????????_A
Sound\mob\Mob07_N.wav,3,????_N
Sound\mob\Mob08_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob09_N.wav,3,????_N
Sound\mob\Mob09_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob10_N.wav,3,????_N
Sound\mob\Mob10_D.wav,3,????_D
Sound\mob\Mob10_H.wav,3,??????_H
Sound\mob\Mob10_A.wav,3,????????_A
Sound\mob\Mob11_N.wav,3,????_N
Sound\mob\Mob11_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob12_N.wav,3,????_N
Sound\mob\Mob12_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob13_N.wav,3,????_N
Sound\mob\Mob13_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob14_N.wav,3,????_N
Sound\mob\Mob14_D.wav,3,????_D
Sound\mob\Mob10_H.wav,3,??????_H
,3,????????_A
Sound\mob\Mob15_N.wav,3,????_N
Sound\mob\Mob15_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob16_N.wav,3,????_N
Sound\mob\Mob16_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob17_N.wav,3,????_N
Sound\mob\Mob17_D.wav,3,????_D
,3,??????_H
,3,????????_A
,3,????_N
Sound\mob\Mob18_D.wav,3,????_D
Sound\mob\Mob18_H.wav,3,??????_H
Sound\mob\Mob18_A.wav,3,????????_A
Sound\mob\Mob19_N.wav,3,????_N
Sound\mob\Mob19_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob20_N.wav,3,????_N
Sound\mob\Mob20_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob21_N.wav,3,????_N
Sound\mob\Mob21_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob22_N.wav,3,????_N
Sound\mob\Mob22_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob23_N.wav,3,????_N
Sound\mob\Mob23_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob24_N.wav,3,????_N
Sound\mob\Mob24_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob24_A.wav,3,????????_A
Sound\mob\Mob25_N.wav,3,????_N
Sound\mob\Mob25_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob25_A.wav,3,????????_A
Sound\mob\Mob26_N.wav,3,????_N
Sound\mob\Mob26_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob27_N.wav,3,????_N
Sound\mob\Mob26_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob28_N.wav,3,????_N
Sound\mob\Mob26_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob29_N.wav,3,????_N
Sound\mob\Mob26_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob30_N.wav,3,????_N
Sound\mob\Mob30_D.wav,3,????_D
,3,??????_H
,3,????????_A
Sound\mob\Mob31_N.wav,3,????_N
Sound\mob\Mob31_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob31_A.wav,3,????????_A
Sound\mob\Mob31_N.wav,3,????_N
Sound\mob\Mob31_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob32_A.wav,3,????????_A
Sound\mob\Mob25_N.wav,3,????_N
Sound\mob\Mob33_D.wav,3,????_D
Sound\mob\Mob33_H.wav,3,??????_H
Sound\mob\Mob33_A.wav,3,????????_A
Sound\mob\Mob34_N.wav,3,????_N
Sound\mob\Mob33_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob34_A.wav,3,????????_A
Sound\mob\Mob25_N.wav,3,????_N
Sound\mob\Mob35_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob35_A.wav,3,????????_A
Sound\mob\Mob25_N.wav,3,????_N
Sound\mob\Mob36_D.wav,3,????_D
,3,??????_H
Sound\mob\Bugs02.wav,3,????????_A
Sound\mob\Mob07_N.wav,3,????_N
Sound\mob\Bugs04.wav,3,????_D
,3,??????_H
Sound\mob\Bugs02.wav,3,????????_A
Sound\mob\Mob07_N.wav,3,????_N
Sound\mob\Bugs04.wav,3,????_D
,3,??????_H
Sound\mob\Bugs02.wav,3,????????_A
Sound\mob\Mob09_N.wav,3,????_N
Sound\mob\Bugs03.wav,3,????_D
,3,??????_H
Sound\mob\Mob05_A.wav,3,????????_A
Sound\mob\Mob24_N.wav,3,????_N
Sound\mob\Mob14_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob01_A.wav,3,????????_A
Sound\mob\Mob10_N.wav,3,????_N
Sound\mob\Mob21_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob06_A.wav,3,????????_A
Sound\mob\Mob22_N.wav,3,????_N
Sound\mob\Mob05_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob06_A.wav,3,????????_A
Sound\mob\Mob22_N.wav,3,????_N
Sound\mob\Mob20_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob06_A.wav,3,????????_A
Sound\mob\Mob22_N.wav,3,????_N
Sound\mob\Mob24_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob35_A.wav,3,????????_A
Sound\mob\Mob25_N.wav,3,????_N
Sound\mob\Shout02.wav,3,????_D
,3,??????_H
Sound\mob\Mob35_A.wav,3,????????_A
Sound\mob\Mob25_N.wav,3,????_N
Sound\mob\Shout03.wav,3,????_D
,3,??????_H
Sound\mob\Mob35_A.wav,3,????????_A
Sound\mob\Mob25_N.wav,3,????_N
Sound\mob\Shout01.wav,3,????_D
,3,??????_H
Sound\mob\Mob35_A.wav,3,????????_A
Sound\mob\Mob25_N.wav,3,????_N
Sound\mob\Shout01.wav,3,????_D
,3,??????_H
Sound\mob\Mob35_A.wav,3,????????_A
Sound\mob\Mob25_N.wav,3,????_N
Sound\mob\Shout02.wav,3,????_D
,3,??????_H
Sound\mob\Mob35_A.wav,3,????????_A
Sound\mob\Mob25_N.wav,3,????_N
Sound\mob\Loud02.wav,3,????_D
,3,??????_H
Sound\mob\Mob35_A.wav,3,????????_A
Sound\mob\Mob25_N.wav,3,????_N
Sound\mob\Mob26_D.wav,3,????_D
,3,??????_H
Sound\mob\Mob35_A.wav,3,????????_A
Sound\mob\Mob25_N.wav,3,????_N
Sound\mob\Mob26_D.wav,3,????_D
,3,??????_H
Sound\attack\Magic_D02.wav,3,????????_A
Sound\mob\Shout05-2.wav,3,????_N
Sound\mob\Shout04.wav,3,????_D
,3,??????_H
Sound\attack\Magic_002.wav,3,????????_A
Sound\mob\Mob19_N.wav,3,????_N
Sound\mob\Mob10_H.wav,3,????_D
,3,??????_H
Sound\attack\Mace_D01.wav,3,????????_A
Sound\mob\Mob14_N.wav,3,????_N
Sound\mob\Mob21_D.wav,3,????_D
,3,??????_H
Sound\attack\Axe_D02.wav,3,????????_A
Sound\mob\Mob23_N.wav,3,????_N
Sound\mob\Mob18_D.wav,3,????_D
,3,??????_H
Sound\attack\Magic_D02.wav,3,????????_A
Sound\mob\Shout05-2.wav,3,????_N
Sound\mob\Shout04.wav,3,????_D
,3,??????_H
Sound\attack\Magic_D02.wav,3,????????_A
Sound\mob\Shout05-2.wav,3,????_N
Sound\mob\Shout04.wav,3,????_D
,,
Sound\mob\cow.wav,1,
Sound\mob\cow.wav,3,
Sound\attack\cow01.wav,5,
,,
Sound\mob\slender.wav,5,
Sound\mob\spiritual1.wav,5,
Sound\mob\spiritual2.wav,5,
,,
Sound\Instances\UnionWar_Crystal.wav,3,
Sound\Instances\UnionWar_Win.wav,3,
Sound\Instances\UnionWar_Lose.wav,3,
,,
Sound\mob\Mob36_N.wav,3,
Sound\mob\Mob37_A.wav,3,
Sound\mob\Mob38_N.wav,3,
Sound\mob\Mob39_N.wav,3,
Sound\mob\Mob40_N.wav,3,
Sound\mob\Mob41_N.wav,3,
Sound\mob\Mob42_N.wav,3,Chanting
Sound\mob\Mob43_N.wav,3,Evil Laugh
Sound\mob\Mob44_N.wav,3,Monster Breathing
Sound\mob\Mob45_N.wav,3,Dragon Breathing
Sound\mob\Mob46_N.wav,3,Man Breathing
Sound\mob\Mob47_N.wav,3,Man Chanting
Sound\mob\Mob48_N.wav,3,Crystal Tick
Sound\Skill\bjs.wav,3,Healing Altar
Sound\Skill\hcbb.wav,3,Aoe Altar
Sound\Skill\dyh.wav,3,Debuffing Altar
Sound\Skill\dzay.wav,3,Buffing Altar
Sound\Terrain\Fire_002.wav,3,Blocking Blizzard
Sound\mob\Mob49_N.wav,3,Strange wind
Sound\mob\Mob50_N.wav,3,Strong wind
Sound\Skill\hszj.wav,3,Strange portal
Sound\Terrain\Rain_001.wav,3,Raining
Sound\mob\Mob51_D.wav,3,Ill growl
Sound\mob\Mob52_N.wav,3,Growl
Sound\mob\Mob52_D.wav,3,Dying growl
Sound\mob\Mob53_N.wav,3,Deep growl
Sound\mob\Mob53_D.wav,3,Dying growl
Sound\mob\Mob54_D.wav,3,Dying growl
Sound\mob\Mob55_N.wav,3,Judge Radar
Sound\mob\Mob55_D.wav,3,Judge dying
Sound\mob\Mob56_N.wav,3,Flapping
Sound\mob\Mob56_D.wav,3,Stomp
Sound\mob\Mob57_N.wav,3,Stomp
Sound\mob\Mob57_D.wav,3,Die
Sound\mob\Mob58_N.wav,3,Growl
Sound\mob\Mob58_D.wav,3,Growl
Sound\mob\Mob59_N.wav,3,Female laugh
Sound\mob\Mob59_D.wav,3,Female laugh
Sound\mob\Mob60_D.wav,3,Shout die
Sound\mob\Mob61_N.wav,3,Chant
Sound\mob\Mob61_D.wav,3,Shout
Sound\mob\Mob62_N.wav,3,Bell
Sound\mob\Mob62_D.wav,3,Bell die
Sound\Skill\ns.wav,3,Beam
Sound\Skill\tthfs.wav,3,Moon Circle
Sound\mob\Mob31_N2.wav,,No mix
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Sound\item\Getitem_001.wav,1,Generic pick up item
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
Sound\item\Useitem_001.wav,1,When using food
Sound\item\Useitem_002.wav,1,When using potions
Sound\item\item_carol.wav,1,Grab Bag
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Sound\item\Item_weapon.wav,1,Weapon equipped (heavy metal)
Sound\item\Item_weapon2.wav,1,Weapon equipped (light metal)
Sound\item\Item_weapon3.wav,1,Weapon equipped (non metal)
Sound\item\Item_armor.wav,1,Armor equipped (cloth)
Sound\item\Item_armor2.wav,1,Armor equipped (metal)
Sound\item\Item_cristal.wav,1,Accessory equipped
Sound\item\Item_arrow.wav,1,Arrow and bullet equipped
Sound\item\Item_etc.wav,1,
Sound\item\Item_potion.wav,1,Not Used
Sound\item\Item_drua.wav,1,Magic Questitem
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Sound\avata\dead_w01.wav,2,
Sound\avata\Hu_mr01.wav,2,?????? ?????? ???? ????.(Action ?????? ????????)
Sound\avata\Step_sand.wav,2,"??, ????"
Sound\avata\Step_solid.wav,2,"????, ????(????????????)"
Sound\avata\Step_grass.wav,2,"????, ??"
Sound\avata\Step_water.wav,2,???? ??(????????)
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Sound\Terrain\Earthquake_001.wav,1,Cave of the Dead opening
,,
,,
,,
Sound\avata\Cart_Neutral.wav,5,
Sound\avata\Cart_Move.wav,5,
Sound\avata\GMCart_Move.wav,5,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Sound\avata\Gear_neutral.wav,5,
Sound\avata\Gear_move.wav,5,
Sound\avata\Gear_Steam.wav,5,
Sound\avata\Gear_Gear_Att01.wav,5,
Sound\avata\Gear_Gear_Att02.wav,5,
Sound\avata\Gear_Gear_Att03.wav,5,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Sound\skill\casting01.wav,3,??????????-
Sound\skill\casting02.wav,3,
Sound\skill\casting04.wav,3,
Sound\skill\casting05.wav,3,
Sound\skill\casting06.wav,3,
Sound\skill\casting_sol01.wav,3,??????????
Sound\skill\casting_mus01.wav,3,??????????
Sound\skill\casting_hor01.wav,3,??????????
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\action_heavy01.wav,3,????????
Sound\skill\action_leap01.wav,3,??????
Sound\skill\action_spin01.wav,3,????????
Sound\skill\action_double01.wav,3,????????????
Sound\skill\action_double02.wav,3,?????? ????????
Sound\skill\action_double03.wav,3,?????? ????????
Sound\skill\action_double04.wav,3,???? ????????
Sound\skill\action_triple01.wav,3,???? ??????????
Sound\skill\action_triple02.wav,3,??????????????
Sound\skill\action_heavyshot01.wav,3,??????
Sound\skill\action_sky01.wav,3,?????? ??
Sound\skill\action_sky02.wav,3,?????? ??????
Sound\skill\action_shot01.wav,3,??????
Sound\skill\action_shot02.wav,3,??????
Sound\skill\action_3shot02.wav,3,????????
Sound\skill\action_ice01.wav,3,??????????
Sound\skill\action_ice02.wav,3,??????????
Sound\skill\action_burn01.wav,3,????????
Sound\skill\action_burn02.wav,3,????????
Sound\skill\action_mana01.wav,3,????????
Sound\skill\action_mana02.wav,3,??????????
Sound\skill\action_twister01.wav,3,????????????
Sound\skill\action_twister02.wav,3,????????
Sound\skill\action_kickatt01.wav,3,??????
Sound\skill\action_thunder01.wav,3,?????? ????
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
Sound\skill\,,
